countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rkna,rtfpna,rwtfpna,labsh,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_k
BDI,Burundi,Burundi Franc,1990,4481.55078125,4906.630859375,5.613141,2.6130051612854,,1.13431704044342,4833.416015625,5077.29541015625,4202.77001953125,4609.0390625,8055.9111328125,0.198001950979233,0.215318486094475,3548.3427734375,3391.37475585937,3365.9013671875,6870.93994140625,0.9082310795784,0.770630657672882,0.726543724536896,0.03524910658598,171.255416666667,0.250471085309982,0.272538214921951,0.248514980077744,Extrapolated,Benchmark,Market,Regular,,,0.927566587924957,0.052913311868906,0.121115393936634,0.019413329660893,-0.104621522128582,-0.016387071460486,0.225515545589213,0.709883127662522,0.441594111505622,0.559498846530914,0.559168875217438,0.766098260879517
BDI,Burundi,Burundi Franc,1995,4086.70922851563,4472.65625,6.23903,2.72595310211182,,1.16980004310608,4258.3056640625,4428.37353515625,3828.58764648437,4217.3759765625,7968.03564453125,0.156987726688385,0.162828430533409,3187.80151367188,3022.53857421875,2949.9345703125,6691.765625,0.768320620059967,0.635971605777741,0.763354539871216,0.031422168016434,249.7575,0.242014840245247,0.261252582073212,0.237168416380882,Extrapolated,Benchmark,Market,Regular,,,0.886943817138672,0.040325500071049,0.122761189937592,0.035439733415842,-0.107651114463806,0.022180901840329,0.244128691441354,0.742943769125404,0.226742380283159,0.627634823322296,0.600630879402161,0.761252641677856
BDI,Burundi,Burundi Franc,2000,3999.044921875,4383.61279296875,6.767073,2.87759113311768,,1.20639288425446,4012.41040039063,4249.20703125,3727.95825195313,4118.150390625,8641.228515625,0.116382718086243,0.115390203893185,2997.96875,2822.56225585937,2907.21215820313,6891.94921875,0.664452254772186,0.576351583003998,0.800165355205536,0.030842769891024,720.673333333333,0.183275178074837,0.190176501870155,0.172157406806946,Extrapolated,Benchmark,Market,Regular,,,0.798109114170074,0.057500682771206,0.176214352250099,0.019921017810702,-0.067817442119122,0.016072252765298,0.195898368664674,0.30711621543553,0.126102330056904,0.487851709127426,0.53904664516449,0.287465989589691
BDI,Burundi,Burundi Franc,2005,4507.484375,5067.904296875,7.934213,3.53464198112488,,1.25133562088013,4808.92138671875,5369.6875,4373.9599609375,4905.111328125,10753.7705078125,0.105420015752316,0.106982015073299,3269.5810546875,3210.11010742188,3583.28271484375,7772.6689453125,0.599959135055542,0.58814549446106,0.836976170539856,0.034787368029356,1081.57716666667,0.242635399103165,0.25534924864769,0.227698683738708,Benchmark,Benchmark,Market,Regular,0.603250498699991,45.5555555555556,0.735292732715607,0.11432284116745,0.245097145438194,0.023461790755391,-0.11734663695097,-0.000827814626973,0.278652470509028,0.364378611270075,0.134583996889425,0.602550864219666,0.560593962669373,0.310178548097611
BDI,Burundi,Burundi Franc,2010,6031.2744140625,6477.205078125,9.461117,4.3190770149231,,1.29795265197754,6477.7314453125,7187.17138671875,5986.92626953125,6462.22021484375,9635.5869140625,0.193728804588318,0.20772984623909,6212.75634765625,6117.0224609375,6807.85009765625,9271.111328125,0.931825697422028,0.913344085216522,0.608643054962158,0.037483502179384,1230.74833333333,0.324432343244553,0.339428812265396,0.314463913440704,Interpolated,Benchmark,Market,Regular,,52.7777777777778,0.74884295463562,0.109782688319683,0.253557324409485,0.039301037788391,-0.151483997702599,-1.11889055395573E-16,0.359412319599549,0.476357790581335,0.221124354127563,0.776845753192902,0.617714285850525,0.366491198539734
BDI,Burundi,Burundi Franc,2014,8355.9853515625,9108.8193359375,10.81686,4.92557001113892,,1.34937453269959,9006.83203125,9888.40625,8340.23046875,9081.6396484375,12226.9775390625,0.217095673084259,0.22778531908989,8718.9052734375,8922.826171875,9854.958984375,11950.3544921875,1.05766642093658,1.06933975219727,0.608643054962158,0.042194895446301,1546.6875,0.324218958616257,0.343975692987442,0.315894097089767,Extrapolated,Benchmark,Market,Regular,,54.4444444444444,0.739282965660095,0.097072102129459,0.252479791641235,0.046594545245171,-0.137114778161049,0.001685434137471,0.364660778612527,0.545825349641215,0.205801761113258,0.712689757347107,0.673730909824371,0.346760272979736
NOR,Norway,Norwegian Krone,1990,112534.796875,123667.9375,4.240375,2.05820846557617,1502.57431513503,3.21486830711365,73139.4765625,105024.7578125,111966.5859375,128701.078125,439799.9375,0.966706812381744,0.778742849826813,236176.71875,89530.203125,135658.515625,655253.1875,0.887434959411621,0.774486422538757,0.590031743049622,0.049733486026526,6.25974166666667,1.14019536972046,1.07243943214417,0.932994306087494,Interpolated,Benchmark,Market,Regular,,,0.409849256277084,0.247746810317039,0.158440262079239,0.566832721233368,-0.385040938854218,0.002171932021156,1.11010527551819,0.917018647240606,1.2180316841352,0.467052638530731,0.542597532272339,1.01257801055908
NOR,Norway,Norwegian Krone,1995,132909.96875,145567.9375,4.359788,2.12033414840698,1487.75770156154,3.27760171890259,86837.6328125,122878.6875,130777.4140625,148429.6875,456538.59375,1.03283774852753,0.844598889350891,283599.46875,102972.2265625,157026.203125,706682.3125,1.00943720340729,0.849206566810608,0.583872556686401,0.044364091008902,6.33515666666667,1.22541034221649,1.16249775886536,1.02424550056458,Benchmark,Benchmark,Market,Regular,,,0.42899551987648,0.242815658450127,0.156046688556671,0.546627283096314,-0.375457137823105,0.000972015899606,1.16737094739037,1.0109154732263,1.3849693678467,0.514450669288635,0.586873114109039,1.1308388710022
NOR,Norway,Norwegian Krone,2000,196342.28125,226723.09375,4.491572,2.31957244873047,1456.56765961116,3.34155941009521,116518.6484375,160261,192636.3125,245230.265625,529693,1.42694437503815,0.896056890487671,338832.5,123322.671875,190389.203125,822950.0625,1.07492101192474,0.91770076751709,0.514497041702271,0.044201109558344,8.80184166666667,0.903473317623138,0.889317452907562,0.698587656021118,Benchmark,Benchmark,Market,Regular,,,0.342566341161728,0.17837256193161,0.132573425769806,0.594328224658966,-0.26672637462616,0.018885813653469,0.865554560291431,0.851609632963977,1.00145439493224,0.411037087440491,0.525169730186462,0.948719501495361
NOR,Norway,Norwegian Krone,2005,233581.390625,311339.78125,4.624388,2.35375213623047,1427.57624670801,3.45630311965942,132790.84375,198186.125,235935.625,327759.96875,712565.875,1.60341250896454,0.898773372173309,377779.71875,144352.734375,224085.84375,927919.4375,1.11626172065735,1.0060259103775,0.486131846904755,0.040139686316252,6.4425,1.4276328086853,1.3085013628006,0.941915154457092,Benchmark,Benchmark,Market,Regular,0.823885172187996,,0.302049428224564,0.199521869421005,0.103097163140774,0.663099408149719,-0.271410226821899,0.003642325755209,1.30857257023079,1.06659454307009,1.77645029192333,0.477409690618515,0.623761415481567,1.28534555435181
NOR,Norway,Norwegian Krone,2010,284315.03125,359414.125,4.891251,2.59097409248352,1426.04669110554,3.57498717308044,166150.859375,252168.203125,284074.34375,354896.1875,1055882.875,1.34428548812866,0.920892477035522,395572.90625,166925.703125,255927.34375,1089892.875,1.01287090778351,0.995661199092865,0.528360068798065,0.040359787642956,6.04416666666667,1.63555157184601,1.50850319862366,1.2074716091156,Benchmark,Benchmark,Market,Regular,,,0.333662152290344,0.242373257875442,0.134505346417427,0.600695133209229,-0.299109935760498,-0.012125946581364,1.51896429496221,1.26309675690673,1.92476511227645,0.612882494926453,0.728478491306305,1.37265229225159
NOR,Norway,Norwegian Krone,2014,330882.46875,403049.375,5.14797,2.74809503555298,1426.86567164179,3.61377096176147,189956.328125,296786,326789.6875,390833.78125,1294501.25,1.30215132236481,0.95285165309906,423662.1875,182314.015625,287118.28125,1218409.75,0.991685688495636,1.02113330364227,0.533614099025726,0.038980282843113,6.30166666666667,1.64737820625305,1.53162431716919,1.2806441783905,Benchmark,Benchmark,Market,Regular,,,0.344603776931763,0.273337870836258,0.141424641013145,0.55504310131073,-0.299012035131455,-0.015397380106151,1.50870231655619,1.32579967175473,1.98528427635931,0.658393323421478,0.762972056865692,1.35666906833649
