indic_sb,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
V12150,AT	2741.8 	2680.3 	2840 	2905 	2985.7 	3175.2 	3453 	3535.1 
V12150,BE	: 	2292.6 	2569.2 	: 	2771.7 	2705.6 	2684.7 	2843.5 
V12150,BG	501.6 	352.4 	441.4 	452.8 	459.2 	440.7 	486.7 	520.9 
V12150,CY	145.8 	148.8 	155.3 	146.9 	142.8 	: 	: 	143.6 
V12150,DE	: 	: 	: 	27234.9 	26676.1 	26333.6 	28362.8 	28711.2 
V12150,DK	2158.1 	1903.5 	1991.6 	2120.8 	2146.9 	2015.8 	2204.3 	2301.3 
V12150,EE	188.2 	: 	: 	175 	: 	: 	: 	: 
V12150,EL	: 	: 	: 	963.1 	: 	713.4 	721.2 	638.1 
V12150,ES	10811.6 	9451.9 	10255 	9612 	9318.3 	10794.9 	10653.4 	11038.1 
V12150,EU28	: 	: 	: 	: 	132442.7 	133497.6 	140586.1 	: 
V12150,FI	1643.6 	1540.9 	1773.1 	: 	: 	: 	1942.9 	2034.2 
V12150,FR	: 	18939.9 	20474.1 	21220 	20736.8 	21227.5 	21589.5 	21315.5 
V12150,HR	: 	: 	601.4 	529.3 	502.5 	517.9 	523.9 	551.9 
V12150,HU	802.6 	745 	825.2 	855.9 	782.4 	762.8 	873.9 	856 
V12150,IS	: 	: 	: 	: 	: 	: 	: 	193 
V12150,IT	17438 	14521.6 	17031.9 	17328 	17435.5 	16986.8 	17530.6 	17756.6 
V12150,LT	316.9 	204.6 	223.1 	289.4 	315.7 	324.9 	345.6 	354.1 
V12150,LV	291.5 	226.9 	215.9 	198.6 	251.8 	231 	241.4 	240 
V12150,NL	: 	5173.9 	5375.1 	6002.9 	5691.3 	5229.1 	5347.8 	5207.1 
V12150,NO	3459.7 	3029.8 	3497.7 	3656 	4042.5 	4008.1 	3925.2 	3800.1 
V12150,PL	4768.5 	3493.2 	4053.4 	4306.8 	4231.7 	4232.4 	4661.7 	4743.1 
V12150,PT	1373.5 	1363.2 	1394 	1284.5 	1201.9 	1184.3 	1255.2 	1355.6 
V12150,RO	1427.1 	1012.8 	1013.2 	1070.7 	978.7 	974.1 	1027.9 	1134.2 
V12150,SE	3582.5 	2936.8 	3468.2 	3945.4 	4079.2 	4909.4 	4074.9 	4102.9 
V12150,SI	413.5 	357.3 	445.2 	457.9 	476.4 	458.8 	493.9 	506.2 
V12150,SK	473 	359.5 	697.9 	789.2 	833.7 	586.7 	504.7 	586.9 
V12150,TR	: 	1397.1 	: 	: 	: 	: 	: 	: 
V12150,UK	21266.3 	17777.6 	19265.7 	21424.4 	23832.6 	23895.1 	27268.4 	30992.6 
V12151,AT	0.93 	0.93 	0.96 	0.94 	0.94 	0.98 	1.04 	1.03 
V12151,BE	: 	0.66 	0.7 	: 	0.72 	0.69 	0.67 	0.69 
V12151,BG	1.35 	0.94 	1.15 	1.1 	1.09 	1.05 	1.14 	1.15 
V12151,CY	0.77 	0.8 	0.8 	0.74 	0.73 	: 	: 	0.81 
V12151,DE	: 	: 	: 	1.01 	0.97 	0.93 	0.97 	0.94 
