geo\time	2004 	2006 	2008 	2010 	2012 	2014 	2016 
AL	: 	: 	: 	: 	: 	: c	: 
AT	12.1 	11.1 	12.4 	9.4 	8.3 	8.9 	9.3 s
BE	22.3 s	19.3 s	14.3 	24.0 	22.6 	23.8 	27.1 s
BG	13.4 s	10.4 s	11.2 s	12.3 s	14.0 s	13.2 s	13.0 ps
CY	10.5 s	4.9 s	2.6 	3.7 	5.0 	5.7 	5.1 s
CZ	9.3 	6.7 	6.4 	7.4 	8.0 	7.3 	7.8 
DE	9.0 	9.0 	9.7 	11.1 	11.0 	11.3 	11.9 ep
DK	5.9 	5.6 	6.3 	9.1 	7.5 	8.1 	7.2 e
EE	49.9 	36.1 	31.2 	34.4 	31.9 	33.6 	33.8 s
EL	15.5 s	16.7 s	10.0 	12.7 s	15.6 	15.1 	: 
ES	9.7 s	8.4 s	8.7 b	10.5 	15.6 	17.0 	17.3 s
EU28	11.9 s	11.6 s	10.9 s	12.2 s	12.6 s	12.8 s	13.3 ps
FI	12.4 s	12.9 s	11.1 s	13.1 s	11.8 s	8.1 s	8.2 s
FR	10.5 	10.5 	10.6 	12.4 	12.6 	12.3 	13.5 s
HR	8.6 	8.1 	4.8 	6.5 	6.6 	7.9 	8.2 
HU	11.9 	10.6 	9.0 	11.6 	13.1 	9.4 	8.9 ps
IE	3.3 	3.0 	1.7 	11.7 	8.9 	8.0 	: 
IT	9.9 	10.2 	11.7 	14.6 	18.0 	22.7 	21.5 s
LT	16.2 s	13.7 s	10.8 	7.9 	7.8 	7.5 	7.8 
LU	10.2 	10.7 	10.0 	14.0 	11.9 	7.5 	10.5 
LV	3.1 	3.8 	3.3 	3.6 	4.6 	4.8 	5.3 
MK	: 	: 	: 	7.9 	39.3 	10.8 	3.7 p
MT	8.1 	8.4 	12.6 	11.7 	9.1 	7.8 	9.2 
NL	22.2 	22.5 	21.0 	23.0 	24.2 	25.0 	26.2 ep
NO	: 	7.3 	6.5 	6.0 	6.6 	6.6 	5.6 
PL	10.8 	10.9 	9.3 	10.3 	10.2 s	11.5 	11.8 
PT	9.7 	11.9 	6.1 	7.4 	7.4 	8.0 	7.8 
RO	13.2 	13.6 	8.5 	5.9 s	5.3 s	4.6 s	4.1 ps
RS	: 	: 	: 	6.3 	6.6 	7.1 	8.1 
SE	13.2 	13.2 	11.4 	9.2 	8.7 	8.3 	9.4 
SI	11.2 	9.2 	8.0 	11.6 	13.7 	12.3 	11.5 
SK	10.0 	13.1 	10.7 	9.2 	10.5 	9.3 	10.9 
TR	9.0 	5.8 	7.3 	5.9 	6.5 	7.0 	: 
UK	21.4 	21.0 	21.2 	18.3 	17.5 	16.9 	21.0 ps
