indic_env,waste,unit,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
EXP,TOTAL,T,AT	1598775 	1483649 	1713493 	2012148 	1992794 	1819449 	1784590 	1708082 	1772475 	1728357 	1861689 	1858178 	1982909 
EXP,TOTAL,T,BE	5671626 	5634714 	6053732 	6063132 	5978178 	6483167 	6657468 	6756610 	6591295 	5924627 	6509167 	5565459 	5907978 
EXP,TOTAL,T,BG	805802 	825050 	774820 	727157 	798121 	563413 	1042379 	969482 	843812 	725895 	514672 	367306 	379285 
EXP,TOTAL,T,CY	66257 	78715 	90597 	94058 	106458 	119725 	156550 	198680 	198905 	163956 	137487 	123455 	123813 
EXP,TOTAL,T,CZ	1708919 	2044599 	1879310 	2126448 	2355669 	2088172 	2589828 	2840417 	2910481 	2797285 	2972015 	2723481 	2783857 
EXP,TOTAL,T,DE	13427046 	13026532 	13940218 	14509340 	14650901 	14196142 	16022205 	16701588 	16239600 	15031050 	15229587 	13934373 	14663777 
EXP,TOTAL,T,DK	2047084 	1970275 	1992260 	2428580 	2718580 	2301094 	2961395 	2743353 	2238597 	2054284 	2535797 	2106233 	2432484 
EXP,TOTAL,T,EE	409513 	588676 	736444 	659369 	752667 	479342 	673041 	707201 	751292 	620865 	528376 	395209 	487235 
EXP,TOTAL,T,EL	198060 	219263 	273669 	298380 	281238 	532999 	492055 	441246 	482755 	422357 	426221 	410182 	423438 
EXP,TOTAL,T,ES	667431 	893734 	767089 	942655 	1362379 	1626824 	1388700 	1562510 	2031357 	1748227 	2162425 	2017559 	2114189 
EXP,TOTAL,T,EU28	21595291 	22096197 	24293321 	25493504 	29007091 	35168598 	35227118 	36250113 	36949673 	32149273 	32823747 	30351677 	34801638 
EXP,TOTAL,T,FI	483948 	531500 	501258 	506340 	561535 	602372 	492651 	620557 	636776 	658908 	627486 	567604 	533069 
EXP,TOTAL,T,FR	8179385 	7942143 	9241963 	9433822 	9162467 	9353598 	10653234 	10527584 	10636510 	10425073 	10637350 	9703672 	9728756 
EXP,TOTAL,T,HR	337092 	385184 	477598 	522030 	443609 	391259 	472095 	630062 	654960 	568115 	528468 	460893 	543274 
EXP,TOTAL,T,HU	998620 	918277 	788232 	708651 	884936 	766486 	1314471 	1571845 	1470350 	1425019 	1347201 	1176874 	1266500 
EXP,TOTAL,T,IE	737105 	794543 	877642 	998581 	1020717 	974441 	924329 	1034334 	949581 	923976 	944357 	900792 	913779 
EXP,TOTAL,T,IT	1077725 	1228524 	1391757 	1675754 	2318545 	2701103 	2669010 	2700770 	2881642 	2505519 	2542090 	2784252 	2995037 
EXP,TOTAL,T,LT	710016 	642333 	715021 	720662 	712695 	491673 	664656 	755875 	721689 	621499 	729277 	634983 	717803 
EXP,TOTAL,T,LU	702109 	359006 	354157 	476679 	451733 	241799 	271557 	259110 	260756 	198916 	205363 	215689 	228205 
EXP,TOTAL,T,LV	113260 	269721 	365218 	297963 	442265 	272897 	448814 	627447 	572030 	549320 	569132 	555409 	452419 
EXP,TOTAL,T,MT	22084 	11325 	23375 	32446 	34546 	38090 	46970 	63130 	61081 	52237 	75927 	56905 	68963 
EXP,TOTAL,T,NL	7916029 	8032405 	9227860 	9341817 	9401451 	9685471 	10239221 	9910680 	9869237 	8511146 	8353373 	8428170 	9037987 
EXP,TOTAL,T,PL	2278739 	1842114 	1841131 	1833453 	2210826 	1618076 	2152129 	2774166 	2887749 	2935087 	3077667 	2595731 	2671234 
EXP,TOTAL,T,PT	492847 	775129 	965856 	961429 	832864 	842620 	995341 	917062 	820514 	781128 	746755 	702283 	857016 
EXP,TOTAL,T,RO	2427802 	1715178 	1945939 	2047937 	2071361 	2724415 	2695520 	2544414 	2138252 	2143038 	1624509 	912409 	915722 
EXP,TOTAL,T,SE	1117156 	1232794 	1230363 	1652851 	2032094 	2005978 	1980640 	2260274 	2286064 	2052943 	2236253 	1993154 	2207054 
EXP,TOTAL,T,SI	301888 	342828 	378356 	428586 	400622 	491260 	608618 	662268 	751252 	720651 	809521 	767016 	755737 
EXP,TOTAL,T,SK	534487 	449967 	632002 	492013 	684688 	435710 	656469 	862337 	667039 	760403 	916330 	928535 	982362 
EXP,TOTAL,T,UK	10846994 	10499650 	12599503 	12602182 	13445210 	12070164 	13692905 	14227311 	13600021 	12687702 	13119306 	13910902 	14753388 
