unit,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,AT	: 	: 	: 	: 	: 	: 	6.3 	6.4 s	7.1 	8.3 s	9.1 	: 	: 
PC,BE	: 	: 	: 	: 	: 	: 	12.6 	13.4 s	16.6 	17 s	18.1 	19.1 s	20.6 
PC,BG	: 	: 	: 	: 	: 	: 	2.1 	1.8 s	1.9 	2.5 s	2.7 	3.1 s	4.3 
PC,CY	: 	: 	: 	: 	: 	: 	2 	2.4 s	3.5 	3.9 s	3.1 	2.9 s	2.3 
PC,CZ	: 	: 	: 	: 	: 	: 	5.3 	5.4 s	6.3 	6.7 s	6.9 	: 	: 
PC,DE	: 	: 	: 	: 	: 	: 	11 	10.3 s	10.7 	10.9 s	10.7 	: 	: 
PC,DK	: 	: 	: 	: 	: 	: 	8 	7.1 s	6.5 	7.7 s	9 	8.4 s	8.2 
PC,EE	: 	: 	: 	: 	: 	: 	8.8 	14.3 s	19.2 	14.6 s	11 	11.2 s	11.8 
PC,EL	: 	: 	: 	: 	: 	: 	2.7 	2.2 s	1.9 	1.9 s	1.4 	: 	: 
PC,ES	: 	: 	: 	: 	: 	: 	10.4 	9.8 s	9.8 	8.9 s	7.7 	7.6 s	8.2 
PC,EU28	8.3 	8.8 s	9.3 	9.3 s	9.6 	10.8 s	10.9 	10.5 s	11.2 	11.4 s	11.3 	11.4 s	11.7 s
PC,FI	: 	: 	: 	: 	: 	: 	13.5 	14 s	15.3 	10.1 s	7.3 	6.5 s	5.3 
PC,FR	: 	: 	: 	: 	: 	: 	17.5 	16.8 s	16.9 	17.3 s	17.8 	18.7 s	19.5 p
PC,HR	: 	: 	: 	: 	: 	: 	1.6 	2.4 s	3.6 	3.7 s	4.6 	4.3 s	4.4 
PC,HU	: 	: 	: 	: 	: 	: 	5.2 	5.4 s	6.1 	6.2 s	5.4 	5.8 s	6.4 
PC,IE	: 	: 	: 	: 	: 	: 	1.7 	1.9 s	1.7 	1.6 s	1.9 	1.8 s	1.7 
PC,IT	: 	: 	: 	: 	: 	: 	11.6 	12.1 s	14.5 	16.2 s	16.8 	16.6 s	17.1 
PC,LT	: 	: 	: 	: 	: 	: 	3.9 	3.6 s	3.8 	3.2 s	3.8 	4.1 s	4.5 
PC,LU	: 	: 	: 	: 	: 	: 	24.1 	20.7 s	18.5 	15.3 s	11.2 	: 	: 
PC,LV	: 	: 	: 	: 	: 	: 	0.7 	1.6 s	0.7 	2.3 s	3.1 	3.3 s	3.9 
PC,MT	: 	: 	: 	: 	: 	: 	5.4 	4.7 s	4 	8.8 s	10.2 	6.8 s	5.2 
PC,NL	: 	: 	: 	: 	: 	: 	25.4 	25.3 s	26.6 	27.3 s	26.7 	25.9 s	29 
PC,PL	: 	: 	: 	: 	: 	: 	10.8 	9.2 s	10.6 	11.8 s	12.5 	11.6 s	10.2 
PC,PT	: 	: 	: 	: 	: 	: 	2.2 	2 s	2.1 	2.6 s	2.5 	2.2 s	2.1 
PC,RO	: 	: 	: 	: 	: 	: 	2.4 	2.2 s	2.2 	2 s	1.7 	1.4 s	1.5 
PC,SE	: 	: 	: 	: 	: 	: 	7.4 	7.8 s	8.4 	7.5 s	6.7 	6.9 s	7.1 
PC,SI	: 	: 	: 	: 	: 	: 	5.9 	7.6 s	9.4 	9.2 s	8.4 	8.5 s	8.5 
PC,SK	: 	: 	: 	: 	: 	: 	5.1 	4.8 s	4.1 	4.6 s	4.8 	5 s	4.9 
PC,UK	: 	: 	: 	: 	: 	: 	14.6 	14.5 s	14.8 	14.9 s	15 	15.9 s	17.2 
