wst_oper,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RCY_C_D,KG_HAB,AT	227 	231 e	242 e	253 e	192 	192 e	201 	200 	202 	186 	182 	188 	196 	192 	175 	175 	181 
RCY_C_D,KG_HAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 	: 	0 
RCY_C_D,KG_HAB,BE	106 	100 	106 	108 	116 	112 	113 	116 	98 	95 	97 	93 	93 	92 	87 	80 	84 
RCY_C_D,KG_HAB,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	11 	13 	15 	8 	43 	37 
RCY_C_D,KG_HAB,CH	89 	89 	99 	100 	100 	103 	118 	123 	121 	120 	118 	107 	106 e	122 	153 e	151 	155 
RCY_C_D,KG_HAB,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	8 	9 	21 	30 	25 e
RCY_C_D,KG_HAB,CZ	1 	1 	1 	1 	2 e	2 e	2 e	3 e	5 e	5 e	7 e	7 e	8 e	9 e	9 e	13 e	23 e
RCY_C_D,KG_HAB,DE	92 s	92 s	92 	88 	94 	93 	93 	94 	98 	102 	101 	106 	110 	106 	114 	114 	113 e
RCY_C_D,KG_HAB,DK	105 	90 	102 	103 	112 	122 	129 	139 	114 	134 e	: 	111 	130 	136 	144 	150 	149 
RCY_C_D,KG_HAB,EE	1 	8 	3 	6 	6 	8 	17 	13 	21 	32 	24 	27 	14 	15 	17 	13 	10 
RCY_C_D,KG_HAB,EL	3 	3 	3 	0 	0 	3 	7 	9 	9 	3 	13 	14 	16 	17 	15 	12 	17 
RCY_C_D,KG_HAB,ES	77 	67 	94 	96 	98 	100 	102 	99 	134 	97 	59 	49 	48 	77 	62 	53 	51 
RCY_C_D,KG_HAB,EU27	49 s	50 s	53 s	54 s	57 s	59 s	62 s	64 s	71 s	69 s	67 	68 s	70 s	72 s	75 s	76 s	78 s
RCY_C_D,KG_HAB,EU28	: 	: 	: 	: 	: 	: 	: 	64 s	70 s	68 s	67 s	67 s	70 s	72 s	74 s	75 s	78 s
RCY_C_D,KG_HAB,FI	38 	35 	35 	35 	36 	36 	37 	49 	44 	57 	62 	66 	60 	67 	70 	62 	65 
RCY_C_D,KG_HAB,FR	60 	65 	68 	66 	71 	72 	75 	80 	87 	89 	85 e	86 	87 e	89 	91 e	92 	93 e
RCY_C_D,KG_HAB,HR	: 	: 	: 	: 	: 	: 	: 	4 	3 	3 	3 	3 	6 	7 	8 	7 	7 
RCY_C_D,KG_HAB,HU	2 	2 	5 	5 	4 	4 	6 	6 	8 	9 	15 	18 	18 	19 	24 	23 	30 
RCY_C_D,KG_HAB,IE	4 	6 	9 	10 	12 	12 	13 	18 	24 	19 	23 	34 	34 	34 	39 	: 	: 
RCY_C_D,KG_HAB,IS	11 	11 	10 	10 	: 	: 	: 	: 	13 	19 	25 	25 	22 	25 	46 	44 	50 
RCY_C_D,KG_HAB,IT	22 	30 	30 	31 	34 	38 	42 	44 	53 	59 	67 	67 	73 	72 	80 	86 	94 
RCY_C_D,KG_HAB,LT	0 	0 	0 	0 	3 s	3 s	3 s	7 	5 	5 	6 	8 	17 	32 	41 	46 	104 
RCY_C_D,KG_HAB,LU	93 	91 	101 	130 	123 	121 	121 	134 	138 	135 	133 	120 	128 	111 	121 	111 	121 e
RCY_C_D,KG_HAB,LV	0 e	1 	0 	1 	3 	1 	2 	2 	3 	1 	2 	4 	6 	20 	13 	24 	42 
RCY_C_D,KG_HAB,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 
RCY_C_D,KG_HAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	0 	: 	: 	: 	: 	: 
RCY_C_D,KG_HAB,MT	50 	46 	24 	36 	32 	45 	70 	15 	0 	0 	0 	7 	12 	0 	0 	0 	0 
RCY_C_D,KG_HAB,NL	145 	141 	147 	141 	147 	149 	142 	147 	142 	145 	139 	141 	140 	137 	143 	143 	144 
RCY_C_D,KG_HAB,NO	53 	50 	55 	58 	48 	55 	62 	73 	72 	74 	73 	73 	66 	78 	68 	70 	77 
RCY_C_D,KG_HAB,PL	6 	8 	6 	3 	6 	8 	9 	10 	10 	4 	5 	6 	5 	6 	15 e	17 e	21 e
RCY_C_D,KG_HAB,PT	33 	36 	13 	27 	29 	30 	29 	30 	36 	40 	38 	42 	66 	57 	64 	72 	79 
RCY_C_D,KG_HAB,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	32 	22 	29 	23 	20 	18 	18 
RCY_C_D,KG_HAB,RS	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
RCY_C_D,KG_HAB,SE	41 	44 	40 	45 	48 	50 	52 	54 	57 	60 	60 	64 	65 	69 	72 	70 	72 
RCY_C_D,KG_HAB,SI	7 	6 	6 	7 	8 	8 	7 	7 	8 	10 	11 	22 	21 	28 	30 	34 e	69 e
RCY_C_D,KG_HAB,SK	7 	6 	6 	7 	8 	3 	9 	12 	12 	12 	11 	13 	15 	13 	17 	24 	26 
RCY_C_D,KG_HAB,TR	4 e	3 	6 	5 	5 	5 e	4 	5 e	4 	4 e	3 	4 e	2 	2 e	2 	2 e	2 
RCY_C_D,KG_HAB,UK	16 	19 	24 	28 	42 	50 	60 	65 	71 	73 	76 	78 	75 	76 	79 	79 	82 
