indic_sb,geo\time,date,value
V12150,AT,2008-01-01,2741.8 
V12150,AT,2009-01-01,2680.3 
V12150,AT,2010-01-01,2840 
V12150,AT,2011-01-01,2905 
V12150,AT,2012-01-01,2985.7 
V12150,AT,2013-01-01,3175.2 
V12150,AT,2014-01-01,3453 
V12150,AT,2015-01-01,3535.1 
V12150,BE,2008-01-01,: 
V12150,BE,2009-01-01,2292.6 
V12150,BE,2010-01-01,2569.2 
V12150,BE,2011-01-01,: 
V12150,BE,2012-01-01,2771.7 
V12150,BE,2013-01-01,2705.6 
V12150,BE,2014-01-01,2684.7 
V12150,BE,2015-01-01,2843.5 
V12150,BG,2008-01-01,501.6 
V12150,BG,2009-01-01,352.4 
V12150,BG,2010-01-01,441.4 
V12150,BG,2011-01-01,452.8 
V12150,BG,2012-01-01,459.2 
V12150,BG,2013-01-01,440.7 
V12150,BG,2014-01-01,486.7 
V12150,BG,2015-01-01,520.9 
V12150,CY,2008-01-01,145.8 
V12150,CY,2009-01-01,148.8 
V12150,CY,2010-01-01,155.3 
V12150,CY,2011-01-01,146.9 
V12150,CY,2012-01-01,142.8 
V12150,CY,2013-01-01,: 
V12150,CY,2014-01-01,: 
V12150,CY,2015-01-01,143.6 
V12150,DE,2008-01-01,: 
V12150,DE,2009-01-01,: 
V12150,DE,2010-01-01,: 
V12150,DE,2011-01-01,27234.9 
V12150,DE,2012-01-01,26676.1 
V12150,DE,2013-01-01,26333.6 
V12150,DE,2014-01-01,28362.8 
V12150,DE,2015-01-01,28711.2 
V12150,DK,2008-01-01,2158.1 
V12150,DK,2009-01-01,1903.5 
V12150,DK,2010-01-01,1991.6 
V12150,DK,2011-01-01,2120.8 
V12150,DK,2012-01-01,2146.9 
V12150,DK,2013-01-01,2015.8 
V12150,DK,2014-01-01,2204.3 
V12150,DK,2015-01-01,2301.3 
V12150,EE,2008-01-01,188.2 
V12150,EE,2009-01-01,: 
V12150,EE,2010-01-01,: 
V12150,EE,2011-01-01,175 
V12150,EE,2012-01-01,: 
V12150,EE,2013-01-01,: 
V12150,EE,2014-01-01,: 
V12150,EE,2015-01-01,: 
V12150,EL,2008-01-01,: 
V12150,EL,2009-01-01,: 
V12150,EL,2010-01-01,: 
V12150,EL,2011-01-01,963.1 
V12150,EL,2012-01-01,: 
V12150,EL,2013-01-01,713.4 
V12150,EL,2014-01-01,721.2 
V12150,EL,2015-01-01,638.1 
V12150,ES,2008-01-01,10811.6 
V12150,ES,2009-01-01,9451.9 
V12150,ES,2010-01-01,10255 
V12150,ES,2011-01-01,9612 
V12150,ES,2012-01-01,9318.3 
V12150,ES,2013-01-01,10794.9 
V12150,ES,2014-01-01,10653.4 
