wst_oper,unit,geotime,date,value
GEN,KG_HAB,AT,2000-01-01,580.0
GEN,KG_HAB,AT,2001-01-01,576.0
GEN,KG_HAB,AT,2002-01-01,608.0
GEN,KG_HAB,AT,2003-01-01,607.0
GEN,KG_HAB,AT,2004-01-01,574.0
GEN,KG_HAB,AT,2005-01-01,575.0
GEN,KG_HAB,AT,2006-01-01,597.0
GEN,KG_HAB,AT,2007-01-01,597.0
GEN,KG_HAB,AT,2008-01-01,600.0
GEN,KG_HAB,AT,2009-01-01,590.0
GEN,KG_HAB,AT,2010-01-01,562.0
GEN,KG_HAB,AT,2011-01-01,573.0
GEN,KG_HAB,AT,2012-01-01,579.0
GEN,KG_HAB,AT,2013-01-01,578.0
GEN,KG_HAB,AT,2014-01-01,565.0
GEN,KG_HAB,AT,2015-01-01,560.0
GEN,KG_HAB,AT,2016-01-01,564.0
GEN,KG_HAB,BA,2000-01-01,
GEN,KG_HAB,BA,2001-01-01,
GEN,KG_HAB,BA,2002-01-01,
GEN,KG_HAB,BA,2003-01-01,
GEN,KG_HAB,BA,2004-01-01,
GEN,KG_HAB,BA,2005-01-01,
GEN,KG_HAB,BA,2006-01-01,
GEN,KG_HAB,BA,2007-01-01,
GEN,KG_HAB,BA,2008-01-01,356.0
GEN,KG_HAB,BA,2009-01-01,354.0
GEN,KG_HAB,BA,2010-01-01,332.0
GEN,KG_HAB,BA,2011-01-01,340.0
GEN,KG_HAB,BA,2012-01-01,340.0
GEN,KG_HAB,BA,2013-01-01,311.0
GEN,KG_HAB,BA,2014-01-01,
GEN,KG_HAB,BA,2015-01-01,
GEN,KG_HAB,BA,2016-01-01,354.0
GEN,KG_HAB,BE,2000-01-01,471.0
GEN,KG_HAB,BE,2001-01-01,467.0
GEN,KG_HAB,BE,2002-01-01,482.0
GEN,KG_HAB,BE,2003-01-01,465.0
GEN,KG_HAB,BE,2004-01-01,485.0
GEN,KG_HAB,BE,2005-01-01,482.0
GEN,KG_HAB,BE,2006-01-01,485.0
GEN,KG_HAB,BE,2007-01-01,493.0
GEN,KG_HAB,BE,2008-01-01,479.0
GEN,KG_HAB,BE,2009-01-01,467.0
GEN,KG_HAB,BE,2010-01-01,456.0
GEN,KG_HAB,BE,2011-01-01,456.0
GEN,KG_HAB,BE,2012-01-01,445.0
GEN,KG_HAB,BE,2013-01-01,438.0
GEN,KG_HAB,BE,2014-01-01,426.0
GEN,KG_HAB,BE,2015-01-01,412.0
GEN,KG_HAB,BE,2016-01-01,420.0
GEN,KG_HAB,BG,2000-01-01,612.0
GEN,KG_HAB,BG,2001-01-01,596.0
GEN,KG_HAB,BG,2002-01-01,602.0
GEN,KG_HAB,BG,2003-01-01,603.0
GEN,KG_HAB,BG,2004-01-01,599.0
GEN,KG_HAB,BG,2005-01-01,588.0
GEN,KG_HAB,BG,2006-01-01,577.0
GEN,KG_HAB,BG,2007-01-01,553.0
GEN,KG_HAB,BG,2008-01-01,599.0
GEN,KG_HAB,BG,2009-01-01,598.0
GEN,KG_HAB,BG,2010-01-01,554.0
GEN,KG_HAB,BG,2011-01-01,508.0
GEN,KG_HAB,BG,2012-01-01,460.0
GEN,KG_HAB,BG,2013-01-01,432.0
GEN,KG_HAB,BG,2014-01-01,442.0
GEN,KG_HAB,BG,2015-01-01,419.0
GEN,KG_HAB,BG,2016-01-01,404.0
GEN,KG_HAB,CH,2000-01-01,656.0
GEN,KG_HAB,CH,2001-01-01,660.0
GEN,KG_HAB,CH,2002-01-01,674.0
GEN,KG_HAB,CH,2003-01-01,667.0
GEN,KG_HAB,CH,2004-01-01,660.0
GEN,KG_HAB,CH,2005-01-01,661.0
GEN,KG_HAB,CH,2006-01-01,709.0
GEN,KG_HAB,CH,2007-01-01,720.0
GEN,KG_HAB,CH,2008-01-01,736.0
GEN,KG_HAB,CH,2009-01-01,702.0
GEN,KG_HAB,CH,2010-01-01,708.0
GEN,KG_HAB,CH,2011-01-01,689.0
GEN,KG_HAB,CH,2012-01-01,694.0
GEN,KG_HAB,CH,2013-01-01,702.0
GEN,KG_HAB,CH,2014-01-01,730.0
GEN,KG_HAB,CH,2015-01-01,725.0
GEN,KG_HAB,CH,2016-01-01,720.0
GEN,KG_HAB,CY,2000-01-01,628.0
GEN,KG_HAB,CY,2001-01-01,650.0
GEN,KG_HAB,CY,2002-01-01,655.0
GEN,KG_HAB,CY,2003-01-01,670.0
GEN,KG_HAB,CY,2004-01-01,684.0
GEN,KG_HAB,CY,2005-01-01,688.0
GEN,KG_HAB,CY,2006-01-01,694.0
GEN,KG_HAB,CY,2007-01-01,704.0
GEN,KG_HAB,CY,2008-01-01,728.0
GEN,KG_HAB,CY,2009-01-01,729.0
GEN,KG_HAB,CY,2010-01-01,689.0
GEN,KG_HAB,CY,2011-01-01,672.0
GEN,KG_HAB,CY,2012-01-01,657.0
GEN,KG_HAB,CY,2013-01-01,618.0
GEN,KG_HAB,CY,2014-01-01,614.0
GEN,KG_HAB,CY,2015-01-01,638.0
GEN,KG_HAB,CY,2016-01-01,640.0
GEN,KG_HAB,CZ,2000-01-01,335.0
GEN,KG_HAB,CZ,2001-01-01,274.0
GEN,KG_HAB,CZ,2002-01-01,279.0
GEN,KG_HAB,CZ,2003-01-01,280.0
GEN,KG_HAB,CZ,2004-01-01,279.0
GEN,KG_HAB,CZ,2005-01-01,289.0
GEN,KG_HAB,CZ,2006-01-01,297.0
GEN,KG_HAB,CZ,2007-01-01,294.0
GEN,KG_HAB,CZ,2008-01-01,306.0
GEN,KG_HAB,CZ,2009-01-01,317.0
GEN,KG_HAB,CZ,2010-01-01,318.0
GEN,KG_HAB,CZ,2011-01-01,320.0
GEN,KG_HAB,CZ,2012-01-01,308.0
GEN,KG_HAB,CZ,2013-01-01,307.0
GEN,KG_HAB,CZ,2014-01-01,310.0
GEN,KG_HAB,CZ,2015-01-01,316.0
GEN,KG_HAB,CZ,2016-01-01,339.0
GEN,KG_HAB,DE,2000-01-01,642.0
GEN,KG_HAB,DE,2001-01-01,632.0
GEN,KG_HAB,DE,2002-01-01,640.0
GEN,KG_HAB,DE,2003-01-01,601.0
GEN,KG_HAB,DE,2004-01-01,587.0
GEN,KG_HAB,DE,2005-01-01,565.0
GEN,KG_HAB,DE,2006-01-01,564.0
GEN,KG_HAB,DE,2007-01-01,582.0
GEN,KG_HAB,DE,2008-01-01,589.0
GEN,KG_HAB,DE,2009-01-01,592.0
GEN,KG_HAB,DE,2010-01-01,602.0
GEN,KG_HAB,DE,2011-01-01,626.0
GEN,KG_HAB,DE,2012-01-01,619.0
GEN,KG_HAB,DE,2013-01-01,615.0
GEN,KG_HAB,DE,2014-01-01,631.0
GEN,KG_HAB,DE,2015-01-01,632.0
GEN,KG_HAB,DE,2016-01-01,627.0
GEN,KG_HAB,DK,2000-01-01,664.0
GEN,KG_HAB,DK,2001-01-01,657.0
GEN,KG_HAB,DK,2002-01-01,664.0
GEN,KG_HAB,DK,2003-01-01,671.0
GEN,KG_HAB,DK,2004-01-01,695.0
GEN,KG_HAB,DK,2005-01-01,736.0
GEN,KG_HAB,DK,2006-01-01,740.0
GEN,KG_HAB,DK,2007-01-01,790.0
GEN,KG_HAB,DK,2008-01-01,830.0
GEN,KG_HAB,DK,2009-01-01,762.0
GEN,KG_HAB,DK,2010-01-01,
GEN,KG_HAB,DK,2011-01-01,781.0
GEN,KG_HAB,DK,2012-01-01,791.0
GEN,KG_HAB,DK,2013-01-01,790.0
GEN,KG_HAB,DK,2014-01-01,789.0
GEN,KG_HAB,DK,2015-01-01,789.0
GEN,KG_HAB,DK,2016-01-01,777.0
GEN,KG_HAB,EE,2000-01-01,453.0
GEN,KG_HAB,EE,2001-01-01,366.0
GEN,KG_HAB,EE,2002-01-01,401.0
GEN,KG_HAB,EE,2003-01-01,414.0
GEN,KG_HAB,EE,2004-01-01,445.0
GEN,KG_HAB,EE,2005-01-01,433.0
GEN,KG_HAB,EE,2006-01-01,398.0
GEN,KG_HAB,EE,2007-01-01,449.0
GEN,KG_HAB,EE,2008-01-01,392.0
GEN,KG_HAB,EE,2009-01-01,339.0
GEN,KG_HAB,EE,2010-01-01,305.0
GEN,KG_HAB,EE,2011-01-01,301.0
GEN,KG_HAB,EE,2012-01-01,280.0
GEN,KG_HAB,EE,2013-01-01,293.0
