geo\time,date,value
AL,2004-01-01,: 
AL,2006-01-01,: 
AL,2008-01-01,: 
AL,2010-01-01,: 
AL,2012-01-01,: 
AL,2014-01-01,: c
AL,2016-01-01,: 
AT,2004-01-01,12.1 
AT,2006-01-01,11.1 
AT,2008-01-01,12.4 
AT,2010-01-01,9.4 
AT,2012-01-01,8.3 
AT,2014-01-01,8.9 
AT,2016-01-01,9.3 s
BE,2004-01-01,22.3 s
BE,2006-01-01,19.3 s
BE,2008-01-01,14.3 
BE,2010-01-01,24.0 
BE,2012-01-01,22.6 
BE,2014-01-01,23.8 
BE,2016-01-01,27.1 s
BG,2004-01-01,13.4 s
BG,2006-01-01,10.4 s
BG,2008-01-01,11.2 s
BG,2010-01-01,12.3 s
BG,2012-01-01,14.0 s
BG,2014-01-01,13.2 s
BG,2016-01-01,13.0 ps
CY,2004-01-01,10.5 s
CY,2006-01-01,4.9 s
CY,2008-01-01,2.6 
CY,2010-01-01,3.7 
CY,2012-01-01,5.0 
CY,2014-01-01,5.7 
CY,2016-01-01,5.1 s
CZ,2004-01-01,9.3 
CZ,2006-01-01,6.7 
CZ,2008-01-01,6.4 
CZ,2010-01-01,7.4 
CZ,2012-01-01,8.0 
CZ,2014-01-01,7.3 
CZ,2016-01-01,7.8 
DE,2004-01-01,9.0 
DE,2006-01-01,9.0 
DE,2008-01-01,9.7 
DE,2010-01-01,11.1 
DE,2012-01-01,11.0 
DE,2014-01-01,11.3 
DE,2016-01-01,11.9 ep
DK,2004-01-01,5.9 
DK,2006-01-01,5.6 
DK,2008-01-01,6.3 
DK,2010-01-01,9.1 
DK,2012-01-01,7.5 
DK,2014-01-01,8.1 
DK,2016-01-01,7.2 e
EE,2004-01-01,49.9 
EE,2006-01-01,36.1 
EE,2008-01-01,31.2 
EE,2010-01-01,34.4 
EE,2012-01-01,31.9 
EE,2014-01-01,33.6 
EE,2016-01-01,33.8 s
EL,2004-01-01,15.5 s
EL,2006-01-01,16.7 s
EL,2008-01-01,10.0 
EL,2010-01-01,12.7 s
EL,2012-01-01,15.6 
EL,2014-01-01,15.1 
EL,2016-01-01,: 
ES,2004-01-01,9.7 s
ES,2006-01-01,8.4 s
ES,2008-01-01,8.7 b
ES,2010-01-01,10.5 
ES,2012-01-01,15.6 
ES,2014-01-01,17.0 
ES,2016-01-01,17.3 s
EU28,2004-01-01,11.9 s
EU28,2006-01-01,11.6 s
EU28,2008-01-01,10.9 s
EU28,2010-01-01,12.2 s
EU28,2012-01-01,12.6 s
EU28,2014-01-01,12.8 s
EU28,2016-01-01,13.3 ps
FI,2004-01-01,12.4 s
FI,2006-01-01,12.9 s
FI,2008-01-01,11.1 s
FI,2010-01-01,13.1 s
FI,2012-01-01,11.8 s
