wst_oper,unit,geo\time,date,value
RCV_R,PC,AT,2010-01-01,60 
RCV_R,PC,AT,2012-01-01,65 
RCV_R,PC,AT,2014-01-01,62 
RCV_R,PC,BE,2010-01-01,71 
RCV_R,PC,BE,2012-01-01,63 
RCV_R,PC,BE,2014-01-01,78 
RCV_R,PC,BG,2010-01-01,27 
RCV_R,PC,BG,2012-01-01,14 
RCV_R,PC,BG,2014-01-01,17 
RCV_R,PC,CY,2010-01-01,40 d
RCV_R,PC,CY,2012-01-01,47 d
RCV_R,PC,CY,2014-01-01,38 d
RCV_R,PC,CZ,2010-01-01,50 
RCV_R,PC,CZ,2012-01-01,58 
RCV_R,PC,CZ,2014-01-01,60 
RCV_R,PC,DE,2010-01-01,55 s
RCV_R,PC,DE,2012-01-01,54 s
RCV_R,PC,DE,2014-01-01,53 s
RCV_R,PC,DK,2010-01-01,56 d
RCV_R,PC,DK,2012-01-01,64 d
RCV_R,PC,DK,2014-01-01,59 d
RCV_R,PC,EE,2010-01-01,22 
RCV_R,PC,EE,2012-01-01,25 
RCV_R,PC,EE,2014-01-01,19 
RCV_R,PC,EL,2010-01-01,18 
RCV_R,PC,EL,2012-01-01,13 
RCV_R,PC,EL,2014-01-01,10 
RCV_R,PC,ES,2010-01-01,44 
RCV_R,PC,ES,2012-01-01,46 
RCV_R,PC,ES,2014-01-01,46 
RCV_R,PC,EU28,2010-01-01,53 
RCV_R,PC,EU28,2012-01-01,53 
RCV_R,PC,EU28,2014-01-01,55 
RCV_R,PC,FI,2010-01-01,33 
RCV_R,PC,FI,2012-01-01,41 
RCV_R,PC,FI,2014-01-01,41 
RCV_R,PC,FR,2010-01-01,50 
RCV_R,PC,FR,2012-01-01,51 
RCV_R,PC,FR,2014-01-01,53 
RCV_R,PC,HR,2010-01-01,26 d
RCV_R,PC,HR,2012-01-01,37 d
RCV_R,PC,HR,2014-01-01,50 d
RCV_R,PC,HU,2010-01-01,36 
RCV_R,PC,HU,2012-01-01,35 
RCV_R,PC,HU,2014-01-01,40 
RCV_R,PC,IE,2010-01-01,36 
RCV_R,PC,IE,2012-01-01,37 
RCV_R,PC,IE,2014-01-01,44 d
RCV_R,PC,IT,2010-01-01,60 d
RCV_R,PC,IT,2012-01-01,64 d
RCV_R,PC,IT,2014-01-01,67 d
RCV_R,PC,LT,2010-01-01,50 
RCV_R,PC,LT,2012-01-01,51 
RCV_R,PC,LT,2014-01-01,57 
RCV_R,PC,LU,2010-01-01,87 
RCV_R,PC,LU,2012-01-01,77 
RCV_R,PC,LU,2014-01-01,62 
RCV_R,PC,LV,2010-01-01,39 d
RCV_R,PC,LV,2012-01-01,58 d
RCV_R,PC,LV,2014-01-01,61 d
RCV_R,PC,MT,2010-01-01,23 d
RCV_R,PC,MT,2012-01-01,29 d
RCV_R,PC,MT,2014-01-01,28 d
RCV_R,PC,NL,2010-01-01,71 d
RCV_R,PC,NL,2012-01-01,71 d
RCV_R,PC,NL,2014-01-01,72 
RCV_R,PC,PL,2010-01-01,58 
RCV_R,PC,PL,2012-01-01,55 
RCV_R,PC,PL,2014-01-01,60 
RCV_R,PC,PT,2010-01-01,45 d
RCV_R,PC,PT,2012-01-01,47 d
RCV_R,PC,PT,2014-01-01,53 d
RCV_R,PC,RO,2010-01-01,33 d
RCV_R,PC,RO,2012-01-01,35 d
RCV_R,PC,RO,2014-01-01,32 d
RCV_R,PC,SE,2010-01-01,51 
RCV_R,PC,SE,2012-01-01,53 
RCV_R,PC,SE,2014-01-01,51 
RCV_R,PC,SI,2010-01-01,52 
RCV_R,PC,SI,2012-01-01,74 
RCV_R,PC,SI,2014-01-01,75 
RCV_R,PC,SK,2010-01-01,38 d
RCV_R,PC,SK,2012-01-01,40 d
RCV_R,PC,SK,2014-01-01,40 d
RCV_R,PC,UK,2010-01-01,60 
RCV_R,PC,UK,2012-01-01,59 
RCV_R,PC,UK,2014-01-01,59 
