wst_oper,unit,geotime,date,value
RCY,THS_T,AT,2000-01-01,63.4
RCY,THS_T,AT,2001-01-01,64.3
RCY,THS_T,AT,2002-01-01,62.5
RCY,THS_T,AT,2003-01-01,64.2
RCY,THS_T,AT,2004-01-01,57.4
RCY,THS_T,AT,2005-01-01,58.3
RCY,THS_T,AT,2006-01-01,59.2
RCY,THS_T,AT,2007-01-01,60.2
RCY,THS_T,AT,2008-01-01,63.2
RCY,THS_T,AT,2009-01-01,61.9
RCY,THS_T,AT,2010-01-01,59.4
RCY,THS_T,AT,2011-01-01,56.7
RCY,THS_T,AT,2012-01-01,57.7
RCY,THS_T,AT,2013-01-01,57.7
RCY,THS_T,AT,2014-01-01,56.3
RCY,THS_T,AT,2015-01-01,56.9
RCY,THS_T,AT,2016-01-01,57.6
RCY,THS_T,BA,2000-01-01,
RCY,THS_T,BA,2001-01-01,
RCY,THS_T,BA,2002-01-01,
RCY,THS_T,BA,2003-01-01,
RCY,THS_T,BA,2004-01-01,
RCY,THS_T,BA,2005-01-01,
RCY,THS_T,BA,2006-01-01,
RCY,THS_T,BA,2007-01-01,
RCY,THS_T,BA,2008-01-01,0.0
RCY,THS_T,BA,2009-01-01,0.0
RCY,THS_T,BA,2010-01-01,0.0
RCY,THS_T,BA,2011-01-01,0.0
RCY,THS_T,BA,2012-01-01,0.0
RCY,THS_T,BA,2013-01-01,0.0
RCY,THS_T,BA,2014-01-01,0.0
RCY,THS_T,BA,2015-01-01,0.0
RCY,THS_T,BA,2016-01-01,0.0
RCY,THS_T,BE,2000-01-01,48.4
RCY,THS_T,BE,2001-01-01,48.6
RCY,THS_T,BE,2002-01-01,49.4
RCY,THS_T,BE,2003-01-01,51.0
RCY,THS_T,BE,2004-01-01,51.7
RCY,THS_T,BE,2005-01-01,53.8
RCY,THS_T,BE,2006-01-01,54.6
RCY,THS_T,BE,2007-01-01,56.8
RCY,THS_T,BE,2008-01-01,52.8
RCY,THS_T,BE,2009-01-01,54.0
RCY,THS_T,BE,2010-01-01,54.9
RCY,THS_T,BE,2011-01-01,54.3
RCY,THS_T,BE,2012-01-01,53.4
RCY,THS_T,BE,2013-01-01,52.6
RCY,THS_T,BE,2014-01-01,53.6
RCY,THS_T,BE,2015-01-01,53.4
RCY,THS_T,BE,2016-01-01,53.5
RCY,THS_T,BG,2000-01-01,15.5
RCY,THS_T,BG,2001-01-01,16.1
RCY,THS_T,BG,2002-01-01,16.3
RCY,THS_T,BG,2003-01-01,16.5
RCY,THS_T,BG,2004-01-01,17.2
RCY,THS_T,BG,2005-01-01,18.3
RCY,THS_T,BG,2006-01-01,19.1
RCY,THS_T,BG,2007-01-01,20.6
RCY,THS_T,BG,2008-01-01,19.4
RCY,THS_T,BG,2009-01-01,19.9
RCY,THS_T,BG,2010-01-01,24.5
RCY,THS_T,BG,2011-01-01,26.2
RCY,THS_T,BG,2012-01-01,25.0
RCY,THS_T,BG,2013-01-01,28.5
RCY,THS_T,BG,2014-01-01,23.1
RCY,THS_T,BG,2015-01-01,29.4
RCY,THS_T,BG,2016-01-01,31.8
RCY,THS_T,CH,2000-01-01,45.3
RCY,THS_T,CH,2001-01-01,46.6
RCY,THS_T,CH,2002-01-01,46.7
RCY,THS_T,CH,2003-01-01,47.5
RCY,THS_T,CH,2004-01-01,48.7
RCY,THS_T,CH,2005-01-01,50.6
RCY,THS_T,CH,2006-01-01,50.1
RCY,THS_T,CH,2007-01-01,51.0
RCY,THS_T,CH,2008-01-01,49.9
RCY,THS_T,CH,2009-01-01,51.3
RCY,THS_T,CH,2010-01-01,50.5
RCY,THS_T,CH,2011-01-01,50.1
RCY,THS_T,CH,2012-01-01,50.0
RCY,THS_T,CH,2013-01-01,51.0
RCY,THS_T,CH,2014-01-01,53.5
RCY,THS_T,CH,2015-01-01,52.7
RCY,THS_T,CH,2016-01-01,52.5
RCY,THS_T,CY,2000-01-01,3.0
RCY,THS_T,CY,2001-01-01,3.1
RCY,THS_T,CY,2002-01-01,3.2
RCY,THS_T,CY,2003-01-01,3.1
RCY,THS_T,CY,2004-01-01,3.2
RCY,THS_T,CY,2005-01-01,3.7
RCY,THS_T,CY,2006-01-01,4.2
RCY,THS_T,CY,2007-01-01,5.2
RCY,THS_T,CY,2008-01-01,7.3
RCY,THS_T,CY,2009-01-01,8.3
RCY,THS_T,CY,2010-01-01,10.7
RCY,THS_T,CY,2011-01-01,12.6
RCY,THS_T,CY,2012-01-01,13.6
RCY,THS_T,CY,2013-01-01,14.6
RCY,THS_T,CY,2014-01-01,16.8
RCY,THS_T,CY,2015-01-01,17.9
RCY,THS_T,CY,2016-01-01,17.2
RCY,THS_T,CZ,2000-01-01,0.9
RCY,THS_T,CZ,2001-01-01,0.9
RCY,THS_T,CZ,2002-01-01,0.9
RCY,THS_T,CZ,2003-01-01,0.9
RCY,THS_T,CZ,2004-01-01,5.5
RCY,THS_T,CZ,2005-01-01,6.2
RCY,THS_T,CZ,2006-01-01,7.4
RCY,THS_T,CZ,2007-01-01,10.1
RCY,THS_T,CZ,2008-01-01,10.4
RCY,THS_T,CZ,2009-01-01,12.4
RCY,THS_T,CZ,2010-01-01,15.8
RCY,THS_T,CZ,2011-01-01,17.0
RCY,THS_T,CZ,2012-01-01,23.2
RCY,THS_T,CZ,2013-01-01,24.2
RCY,THS_T,CZ,2014-01-01,25.4
RCY,THS_T,CZ,2015-01-01,29.7
RCY,THS_T,CZ,2016-01-01,33.6
RCY,THS_T,DE,2000-01-01,52.5
RCY,THS_T,DE,2001-01-01,52.3
RCY,THS_T,DE,2002-01-01,56.1
RCY,THS_T,DE,2003-01-01,57.8
RCY,THS_T,DE,2004-01-01,56.4
RCY,THS_T,DE,2005-01-01,60.9
RCY,THS_T,DE,2006-01-01,62.1
RCY,THS_T,DE,2007-01-01,63.2
RCY,THS_T,DE,2008-01-01,63.8
RCY,THS_T,DE,2009-01-01,63.1
RCY,THS_T,DE,2010-01-01,62.5
RCY,THS_T,DE,2011-01-01,63.0
RCY,THS_T,DE,2012-01-01,65.2
RCY,THS_T,DE,2013-01-01,63.8
RCY,THS_T,DE,2014-01-01,65.6
RCY,THS_T,DE,2015-01-01,66.7
RCY,THS_T,DE,2016-01-01,66.1
RCY,THS_T,DK,2000-01-01,37.1
RCY,THS_T,DK,2001-01-01,36.1
RCY,THS_T,DK,2002-01-01,37.6
RCY,THS_T,DK,2003-01-01,40.9
RCY,THS_T,DK,2004-01-01,41.0
RCY,THS_T,DK,2005-01-01,41.0
RCY,THS_T,DK,2006-01-01,41.8
RCY,THS_T,DK,2007-01-01,44.2
RCY,THS_T,DK,2008-01-01,47.9
RCY,THS_T,DK,2009-01-01,48.8
RCY,THS_T,DK,2010-01-01,
RCY,THS_T,DK,2011-01-01,41.5
RCY,THS_T,DK,2012-01-01,42.1
RCY,THS_T,DK,2013-01-01,43.2
RCY,THS_T,DK,2014-01-01,45.1
RCY,THS_T,DK,2015-01-01,46.3
RCY,THS_T,DK,2016-01-01,47.7
RCY,THS_T,EE,2000-01-01,2.4
RCY,THS_T,EE,2001-01-01,5.1
RCY,THS_T,EE,2002-01-01,2.7
RCY,THS_T,EE,2003-01-01,15.0
RCY,THS_T,EE,2004-01-01,24.8
RCY,THS_T,EE,2005-01-01,22.5
RCY,THS_T,EE,2006-01-01,17.4
RCY,THS_T,EE,2007-01-01,23.1
RCY,THS_T,EE,2008-01-01,20.2
RCY,THS_T,EE,2009-01-01,21.0
RCY,THS_T,EE,2010-01-01,18.2
RCY,THS_T,EE,2011-01-01,23.3
RCY,THS_T,EE,2012-01-01,19.1
RCY,THS_T,EE,2013-01-01,17.9
RCY,THS_T,EE,2014-01-01,31.3
RCY,THS_T,EE,2015-01-01,28.3
RCY,THS_T,EE,2016-01-01,28.1
RCY,THS_T,EL,2000-01-01,8.8
RCY,THS_T,EL,2001-01-01,8.8
RCY,THS_T,EL,2002-01-01,8.8
RCY,THS_T,EL,2003-01-01,8.1
RCY,THS_T,EL,2004-01-01,10.1
RCY,THS_T,EL,2005-01-01,11.8
RCY,THS_T,EL,2006-01-01,12.8
RCY,THS_T,EL,2007-01-01,20.1
RCY,THS_T,EL,2008-01-01,17.7
RCY,THS_T,EL,2009-01-01,18.9
RCY,THS_T,EL,2010-01-01,17.1
RCY,THS_T,EL,2011-01-01,17.8
RCY,THS_T,EL,2012-01-01,17.0
RCY,THS_T,EL,2013-01-01,15.8
RCY,THS_T,EL,2014-01-01,15.4
RCY,THS_T,EL,2015-01-01,15.8
RCY,THS_T,EL,2016-01-01,17.2
RCY,THS_T,ES,2000-01-01,18.4
RCY,THS_T,ES,2001-01-01,21.4
RCY,THS_T,ES,2002-01-01,29.3
RCY,THS_T,ES,2003-01-01,28.7
RCY,THS_T,ES,2004-01-01,30.9
RCY,THS_T,ES,2005-01-01,31.4
RCY,THS_T,ES,2006-01-01,31.2
RCY,THS_T,ES,2007-01-01,30.6
RCY,THS_T,ES,2008-01-01,39.7
