waste,stk_flow,wst_oper,unit,geotime,date,value
W1501,DOM,RCY,PC,AT,2000-01-01,69
W1501,DOM,RCY,PC,AT,2001-01-01,64
W1501,DOM,RCY,PC,AT,2002-01-01,65
W1501,DOM,RCY,PC,AT,2003-01-01,64
W1501,DOM,RCY,PC,AT,2004-01-01,66
W1501,DOM,RCY,PC,AT,2005-01-01,66
W1501,DOM,RCY,PC,AT,2006-01-01,68
W1501,DOM,RCY,PC,AT,2007-01-01,67
W1501,DOM,RCY,PC,AT,2008-01-01,67
W1501,DOM,RCY,PC,AT,2009-01-01,66
W1501,DOM,RCY,PC,AT,2010-01-01,66
W1501,DOM,RCY,PC,AT,2011-01-01,65
W1501,DOM,RCY,PC,AT,2012-01-01,
W1501,DOM,RCY,PC,AT,2013-01-01,66
W1501,DOM,RCY,PC,AT,2014-01-01,66
W1501,DOM,RCY,PC,AT,2015-01-01,
W1501,DOM,RCY,PC,AT,2016-01-01,66
W1501,DOM,RCY,PC,BE,2000-01-01,62
W1501,DOM,RCY,PC,BE,2001-01-01,71
W1501,DOM,RCY,PC,BE,2002-01-01,70
W1501,DOM,RCY,PC,BE,2003-01-01,73
W1501,DOM,RCY,PC,BE,2004-01-01,76
W1501,DOM,RCY,PC,BE,2005-01-01,76
W1501,DOM,RCY,PC,BE,2006-01-01,79
W1501,DOM,RCY,PC,BE,2007-01-01,80
W1501,DOM,RCY,PC,BE,2008-01-01,78
W1501,DOM,RCY,PC,BE,2009-01-01,79
W1501,DOM,RCY,PC,BE,2010-01-01,79
W1501,DOM,RCY,PC,BE,2011-01-01,80
W1501,DOM,RCY,PC,BE,2012-01-01,
W1501,DOM,RCY,PC,BE,2013-01-01,78
W1501,DOM,RCY,PC,BE,2014-01-01,81
W1501,DOM,RCY,PC,BE,2015-01-01,
W1501,DOM,RCY,PC,BE,2016-01-01,81
W1501,DOM,RCY,PC,BG,2000-01-01,
W1501,DOM,RCY,PC,BG,2001-01-01,
W1501,DOM,RCY,PC,BG,2002-01-01,
W1501,DOM,RCY,PC,BG,2003-01-01,
W1501,DOM,RCY,PC,BG,2004-01-01,
W1501,DOM,RCY,PC,BG,2005-01-01,30
W1501,DOM,RCY,PC,BG,2006-01-01,35
W1501,DOM,RCY,PC,BG,2007-01-01,54
W1501,DOM,RCY,PC,BG,2008-01-01,50
W1501,DOM,RCY,PC,BG,2009-01-01,45
W1501,DOM,RCY,PC,BG,2010-01-01,61
W1501,DOM,RCY,PC,BG,2011-01-01,65
W1501,DOM,RCY,PC,BG,2012-01-01,
W1501,DOM,RCY,PC,BG,2013-01-01,65
W1501,DOM,RCY,PC,BG,2014-01-01,62
W1501,DOM,RCY,PC,BG,2015-01-01,
W1501,DOM,RCY,PC,BG,2016-01-01,63
W1501,DOM,RCY,PC,CY,2000-01-01,
W1501,DOM,RCY,PC,CY,2001-01-01,
W1501,DOM,RCY,PC,CY,2002-01-01,
W1501,DOM,RCY,PC,CY,2003-01-01,
W1501,DOM,RCY,PC,CY,2004-01-01,22
W1501,DOM,RCY,PC,CY,2005-01-01,11
W1501,DOM,RCY,PC,CY,2006-01-01,25
W1501,DOM,RCY,PC,CY,2007-01-01,25
W1501,DOM,RCY,PC,CY,2008-01-01,34
W1501,DOM,RCY,PC,CY,2009-01-01,42
W1501,DOM,RCY,PC,CY,2010-01-01,50
W1501,DOM,RCY,PC,CY,2011-01-01,52
W1501,DOM,RCY,PC,CY,2012-01-01,
W1501,DOM,RCY,PC,CY,2013-01-01,56
W1501,DOM,RCY,PC,CY,2014-01-01,58
W1501,DOM,RCY,PC,CY,2015-01-01,
W1501,DOM,RCY,PC,CY,2016-01-01,
W1501,DOM,RCY,PC,CZ,2000-01-01,
W1501,DOM,RCY,PC,CZ,2001-01-01,
W1501,DOM,RCY,PC,CZ,2002-01-01,
W1501,DOM,RCY,PC,CZ,2003-01-01,51
W1501,DOM,RCY,PC,CZ,2004-01-01,55
W1501,DOM,RCY,PC,CZ,2005-01-01,59
W1501,DOM,RCY,PC,CZ,2006-01-01,63
W1501,DOM,RCY,PC,CZ,2007-01-01,65
W1501,DOM,RCY,PC,CZ,2008-01-01,67
W1501,DOM,RCY,PC,CZ,2009-01-01,68
W1501,DOM,RCY,PC,CZ,2010-01-01,70
W1501,DOM,RCY,PC,CZ,2011-01-01,69
W1501,DOM,RCY,PC,CZ,2012-01-01,
W1501,DOM,RCY,PC,CZ,2013-01-01,69
W1501,DOM,RCY,PC,CZ,2014-01-01,73
W1501,DOM,RCY,PC,CZ,2015-01-01,
W1501,DOM,RCY,PC,CZ,2016-01-01,75
W1501,DOM,RCY,PC,DE,2000-01-01,78
W1501,DOM,RCY,PC,DE,2001-01-01,75
W1501,DOM,RCY,PC,DE,2002-01-01,74
W1501,DOM,RCY,PC,DE,2003-01-01,70
W1501,DOM,RCY,PC,DE,2004-01-01,69
W1501,DOM,RCY,PC,DE,2005-01-01,68
W1501,DOM,RCY,PC,DE,2006-01-01,66
W1501,DOM,RCY,PC,DE,2007-01-01,66
W1501,DOM,RCY,PC,DE,2008-01-01,70
W1501,DOM,RCY,PC,DE,2009-01-01,73
W1501,DOM,RCY,PC,DE,2010-01-01,72
