geotime,date,value
AT,2010-01-01,92.0
AT,2012-01-01,92.0
AT,2014-01-01,94.0
AT,2016-01-01,
BE,2010-01-01,17.0
BE,2012-01-01,18.0
BE,2014-01-01,32.0
BE,2016-01-01,95.0
BG,2010-01-01,62.0
BG,2012-01-01,12.0
BG,2014-01-01,96.0
BG,2016-01-01,90.0
CY,2010-01-01,0.0
CY,2012-01-01,60.0
CY,2014-01-01,38.0
CY,2016-01-01,57.0
CZ,2010-01-01,91.0
CZ,2012-01-01,91.0
CZ,2014-01-01,90.0
CZ,2016-01-01,
DE,2010-01-01,95.0
DE,2012-01-01,94.0
DE,2014-01-01,
DE,2016-01-01,
DK,2010-01-01,84.0
DK,2012-01-01,91.0
DK,2014-01-01,92.0
DK,2016-01-01,90.0
EE,2010-01-01,96.0
EE,2012-01-01,96.0
EE,2014-01-01,98.0
EE,2016-01-01,97.0
EL,2010-01-01,0.0
EL,2012-01-01,0.0
EL,2014-01-01,0.0
EL,2016-01-01,
ES,2010-01-01,65.0
ES,2012-01-01,84.0
ES,2014-01-01,70.0
ES,2016-01-01,79.0
EU28,2010-01-01,78.0
EU28,2012-01-01,86.0
EU28,2014-01-01,88.0
EU28,2016-01-01,90.0
FI,2010-01-01,5.0
FI,2012-01-01,12.0
FI,2014-01-01,83.0
FI,2016-01-01,87.0
FR,2010-01-01,66.0
FR,2012-01-01,66.0
FR,2014-01-01,71.0
FR,2016-01-01,72.0
HR,2010-01-01,2.0
HR,2012-01-01,51.0
HR,2014-01-01,69.0
HR,2016-01-01,76.0
HU,2010-01-01,61.0
HU,2012-01-01,75.0
HU,2014-01-01,86.0
HU,2016-01-01,99.0
IE,2010-01-01,97.0
IE,2012-01-01,100.0
IE,2014-01-01,100.0
IE,2016-01-01,96.0
IS,2010-01-01,75.0
IS,2012-01-01,100.0
IS,2014-01-01,86.0
IS,2016-01-01,
IT,2010-01-01,97.0
IT,2012-01-01,97.0
IT,2014-01-01,97.0
IT,2016-01-01,98.0
LT,2010-01-01,73.0
LT,2012-01-01,88.0
LT,2014-01-01,92.0
LT,2016-01-01,97.0
LU,2010-01-01,98.0
LU,2012-01-01,99.0
LU,2014-01-01,
LU,2016-01-01,
LV,2010-01-01,91.0
LV,2012-01-01,96.0
LV,2014-01-01,92.0
LV,2016-01-01,98.0
MK,2010-01-01,0.0
MK,2012-01-01,0.0
MK,2014-01-01,0.0
MK,2016-01-01,
MT,2010-01-01,16.0
MT,2012-01-01,100.0
MT,2014-01-01,100.0
MT,2016-01-01,100.0
NL,2010-01-01,100.0
NL,2012-01-01,100.0
NL,2014-01-01,99.0
NL,2016-01-01,100.0
NO,2010-01-01,44.0
NO,2012-01-01,75.0
NO,2014-01-01,78.0
NO,2016-01-01,
PL,2010-01-01,93.0
PL,2012-01-01,92.0
PL,2014-01-01,96.0
PL,2016-01-01,91.0
PT,2010-01-01,58.0
PT,2012-01-01,74.0
PT,2014-01-01,96.0
PT,2016-01-01,97.0
RO,2010-01-01,47.0
RO,2012-01-01,67.0
RO,2014-01-01,65.0
RO,2016-01-01,85.0
RS,2010-01-01,5.0
RS,2012-01-01,0.0
RS,2014-01-01,3.0
RS,2016-01-01,
SE,2010-01-01,78.0
SE,2012-01-01,81.0
SE,2014-01-01,55.0
SE,2016-01-01,61.0
SI,2010-01-01,94.0
SI,2012-01-01,92.0
SI,2014-01-01,98.0
SI,2016-01-01,98.0
SK,2010-01-01,47.0
SK,2012-01-01,38.0
SK,2014-01-01,54.0
SK,2016-01-01,54.0
TR,2010-01-01,
TR,2012-01-01,20.0
TR,2014-01-01,
TR,2016-01-01,
UK,2010-01-01,95.0
UK,2012-01-01,95.0
UK,2014-01-01,95.0
UK,2016-01-01,96.0
