n_item,sex,age,unit,geotime,date,value
GE4,T,TOTAL,PC,AT,2003-01-01,3
GE4,T,TOTAL,PC,AT,2004-01-01,3
GE4,T,TOTAL,PC,AT,2005-01-01,3
GE4,T,TOTAL,PC,AT,2006-01-01,3
GE4,T,TOTAL,PC,AT,2007-01-01,3
GE4,T,TOTAL,PC,AT,2008-01-01,5
GE4,T,TOTAL,PC,AT,2009-01-01,4
GE4,T,TOTAL,PC,AT,2010-01-01,4
GE4,T,TOTAL,PC,AT,2011-01-01,4
GE4,T,TOTAL,PC,AT,2012-01-01,4
GE4,T,TOTAL,PC,AT,2013-01-01,4
GE4,T,TOTAL,PC,AT,2014-01-01,4
GE4,T,TOTAL,PC,AT,2015-01-01,3
GE4,T,TOTAL,PC,AT,2016-01-01,3
GE4,T,TOTAL,PC,AT,2017-01-01,3
GE4,T,TOTAL,PC,BE,2003-01-01,4
GE4,T,TOTAL,PC,BE,2004-01-01,4
GE4,T,TOTAL,PC,BE,2005-01-01,6
GE4,T,TOTAL,PC,BE,2006-01-01,6
GE4,T,TOTAL,PC,BE,2007-01-01,5
GE4,T,TOTAL,PC,BE,2008-01-01,5
GE4,T,TOTAL,PC,BE,2009-01-01,5
GE4,T,TOTAL,PC,BE,2010-01-01,5
GE4,T,TOTAL,PC,BE,2011-01-01,5
GE4,T,TOTAL,PC,BE,2012-01-01,6
GE4,T,TOTAL,PC,BE,2013-01-01,5
GE4,T,TOTAL,PC,BE,2014-01-01,5
GE4,T,TOTAL,PC,BE,2015-01-01,5
GE4,T,TOTAL,PC,BE,2016-01-01,5
GE4,T,TOTAL,PC,BE,2017-01-01,5
GE4,T,TOTAL,PC,BG,2003-01-01,
GE4,T,TOTAL,PC,BG,2004-01-01,
GE4,T,TOTAL,PC,BG,2005-01-01,
GE4,T,TOTAL,PC,BG,2006-01-01,57
GE4,T,TOTAL,PC,BG,2007-01-01,57
GE4,T,TOTAL,PC,BG,2008-01-01,41
GE4,T,TOTAL,PC,BG,2009-01-01,41
GE4,T,TOTAL,PC,BG,2010-01-01,45
GE4,T,TOTAL,PC,BG,2011-01-01,43
GE4,T,TOTAL,PC,BG,2012-01-01,44
GE4,T,TOTAL,PC,BG,2013-01-01,43
GE4,T,TOTAL,PC,BG,2014-01-01,33
GE4,T,TOTAL,PC,BG,2015-01-01,34
GE4,T,TOTAL,PC,BG,2016-01-01,31
GE4,T,TOTAL,PC,BG,2017-01-01,30
GE4,T,TOTAL,PC,CH,2003-01-01,
GE4,T,TOTAL,PC,CH,2004-01-01,
GE4,T,TOTAL,PC,CH,2005-01-01,
GE4,T,TOTAL,PC,CH,2006-01-01,
GE4,T,TOTAL,PC,CH,2007-01-01,2
GE4,T,TOTAL,PC,CH,2008-01-01,2
GE4,T,TOTAL,PC,CH,2009-01-01,2
GE4,T,TOTAL,PC,CH,2010-01-01,1
GE4,T,TOTAL,PC,CH,2011-01-01,1
GE4,T,TOTAL,PC,CH,2012-01-01,0
GE4,T,TOTAL,PC,CH,2013-01-01,0
GE4,T,TOTAL,PC,CH,2014-01-01,1
GE4,T,TOTAL,PC,CH,2015-01-01,1
GE4,T,TOTAL,PC,CH,2016-01-01,1
GE4,T,TOTAL,PC,CH,2017-01-01,
GE4,T,TOTAL,PC,CY,2003-01-01,
GE4,T,TOTAL,PC,CY,2004-01-01,
GE4,T,TOTAL,PC,CY,2005-01-01,12
GE4,T,TOTAL,PC,CY,2006-01-01,12
GE4,T,TOTAL,PC,CY,2007-01-01,13
GE4,T,TOTAL,PC,CY,2008-01-01,9
GE4,T,TOTAL,PC,CY,2009-01-01,9
GE4,T,TOTAL,PC,CY,2010-01-01,11
GE4,T,TOTAL,PC,CY,2011-01-01,11
GE4,T,TOTAL,PC,CY,2012-01-01,15
