unit,bmi,geotime,date,value
PC,BMI25-29,AT,2008-01-01,36.5
PC,BMI25-29,AT,2014-01-01,33.3
PC,BMI25-29,BE,2008-01-01,33.5
PC,BMI25-29,BE,2014-01-01,35.3
PC,BMI25-29,BG,2008-01-01,39.3
PC,BMI25-29,BG,2014-01-01,39.2
PC,BMI25-29,CY,2008-01-01,35.7
PC,BMI25-29,CY,2014-01-01,33.8
PC,BMI25-29,CZ,2008-01-01,38.3
PC,BMI25-29,CZ,2014-01-01,37.6
PC,BMI25-29,DE,2008-01-01,36.3
PC,BMI25-29,DE,2014-01-01,35.2
PC,BMI25-29,DK,2008-01-01,
PC,BMI25-29,DK,2014-01-01,32.9
PC,BMI25-29,EE,2008-01-01,32.5
PC,BMI25-29,EE,2014-01-01,33.5
PC,BMI25-29,EL,2008-01-01,38.7
PC,BMI25-29,EL,2014-01-01,39.4
PC,BMI25-29,ES,2008-01-01,37.3
PC,BMI25-29,ES,2014-01-01,35.7
PC,BMI25-29,EU28,2008-01-01,
PC,BMI25-29,EU28,2014-01-01,35.7
PC,BMI25-29,FI,2008-01-01,
PC,BMI25-29,FI,2014-01-01,36.4
PC,BMI25-29,FR,2008-01-01,31.4
PC,BMI25-29,FR,2014-01-01,31.9
PC,BMI25-29,HR,2008-01-01,
PC,BMI25-29,HR,2014-01-01,38.7
PC,BMI25-29,HU,2008-01-01,34.9
PC,BMI25-29,HU,2014-01-01,34.0
PC,BMI25-29,IE,2008-01-01,
PC,BMI25-29,IE,2014-01-01,37.0
PC,BMI25-29,IS,2008-01-01,
PC,BMI25-29,IS,2014-01-01,38.6
PC,BMI25-29,IT,2008-01-01,
PC,BMI25-29,IT,2014-01-01,34.1
PC,BMI25-29,LT,2008-01-01,
PC,BMI25-29,LT,2014-01-01,38.3
PC,BMI25-29,LU,2008-01-01,
PC,BMI25-29,LU,2014-01-01,32.4
PC,BMI25-29,LV,2008-01-01,38.0
PC,BMI25-29,LV,2014-01-01,35.2
PC,BMI25-29,MT,2008-01-01,36.8
PC,BMI25-29,MT,2014-01-01,35.0
PC,BMI25-29,NL,2008-01-01,
PC,BMI25-29,NL,2014-01-01,36.0
PC,BMI25-29,NO,2008-01-01,
PC,BMI25-29,NO,2014-01-01,36.2
PC,BMI25-29,PL,2008-01-01,37.6
PC,BMI25-29,PL,2014-01-01,37.5
PC,BMI25-29,PT,2008-01-01,
PC,BMI25-29,PT,2014-01-01,36.9
PC,BMI25-29,RO,2008-01-01,42.4
PC,BMI25-29,RO,2014-01-01,46.4
PC,BMI25-29,SE,2008-01-01,
PC,BMI25-29,SE,2014-01-01,35.9
PC,BMI25-29,SI,2008-01-01,39.8
PC,BMI25-29,SI,2014-01-01,37.4
PC,BMI25-29,SK,2008-01-01,35.6
PC,BMI25-29,SK,2014-01-01,38.0
PC,BMI25-29,TR,2008-01-01,34.4
PC,BMI25-29,TR,2014-01-01,35.3
PC,BMI25-29,UK,2008-01-01,
PC,BMI25-29,UK,2014-01-01,35.6
PC,BMI_GE25,AT,2008-01-01,49.3
PC,BMI_GE25,AT,2014-01-01,48.0
PC,BMI_GE25,BE,2008-01-01,47.5
PC,BMI_GE25,BE,2014-01-01,49.3
PC,BMI_GE25,BG,2008-01-01,50.8
PC,BMI_GE25,BG,2014-01-01,54.0
PC,BMI_GE25,CY,2008-01-01,51.3
PC,BMI_GE25,CY,2014-01-01,48.3
PC,BMI_GE25,CZ,2008-01-01,56.6
PC,BMI_GE25,CZ,2014-01-01,56.8
PC,BMI_GE25,DE,2008-01-01,52.1
PC,BMI_GE25,DE,2014-01-01,52.1
PC,BMI_GE25,DK,2008-01-01,
PC,BMI_GE25,DK,2014-01-01,47.7
PC,BMI_GE25,EE,2008-01-01,51.0
PC,BMI_GE25,EE,2014-01-01,53.9
PC,BMI_GE25,EL,2008-01-01,56.3
PC,BMI_GE25,EL,2014-01-01,56.7
PC,BMI_GE25,ES,2008-01-01,53.0
PC,BMI_GE25,ES,2014-01-01,52.4
PC,BMI_GE25,EU28,2008-01-01,
PC,BMI_GE25,EU28,2014-01-01,51.6
PC,BMI_GE25,FI,2008-01-01,
