nabs07,unit,geotime,date,value
NABS08,EUR_HAB,AT,2004-01-01,4
NABS08,EUR_HAB,AT,2005-01-01,3
NABS08,EUR_HAB,AT,2006-01-01,3
NABS08,EUR_HAB,AT,2007-01-01,4
NABS08,EUR_HAB,AT,2008-01-01,4
NABS08,EUR_HAB,AT,2009-01-01,4
NABS08,EUR_HAB,AT,2010-01-01,4
NABS08,EUR_HAB,AT,2011-01-01,4
NABS08,EUR_HAB,AT,2012-01-01,4
NABS08,EUR_HAB,AT,2013-01-01,5
NABS08,EUR_HAB,AT,2014-01-01,4
NABS08,EUR_HAB,AT,2015-01-01,3
NABS08,EUR_HAB,AT,2016-01-01,3
NABS08,EUR_HAB,AT,2017-01-01,3
NABS08,EUR_HAB,AT,2018-01-01,
NABS08,EUR_HAB,BE,2004-01-01,3
NABS08,EUR_HAB,BE,2005-01-01,2
NABS08,EUR_HAB,BE,2006-01-01,2
NABS08,EUR_HAB,BE,2007-01-01,2
NABS08,EUR_HAB,BE,2008-01-01,2
NABS08,EUR_HAB,BE,2009-01-01,3
NABS08,EUR_HAB,BE,2010-01-01,3
NABS08,EUR_HAB,BE,2011-01-01,3
NABS08,EUR_HAB,BE,2012-01-01,3
NABS08,EUR_HAB,BE,2013-01-01,3
NABS08,EUR_HAB,BE,2014-01-01,3
NABS08,EUR_HAB,BE,2015-01-01,3
NABS08,EUR_HAB,BE,2016-01-01,3
NABS08,EUR_HAB,BE,2017-01-01,3
NABS08,EUR_HAB,BE,2018-01-01,
NABS08,EUR_HAB,BG,2004-01-01,
NABS08,EUR_HAB,BG,2005-01-01,
NABS08,EUR_HAB,BG,2006-01-01,
NABS08,EUR_HAB,BG,2007-01-01,1
NABS08,EUR_HAB,BG,2008-01-01,3
NABS08,EUR_HAB,BG,2009-01-01,3
NABS08,EUR_HAB,BG,2010-01-01,1
NABS08,EUR_HAB,BG,2011-01-01,2
NABS08,EUR_HAB,BG,2012-01-01,2
NABS08,EUR_HAB,BG,2013-01-01,2
NABS08,EUR_HAB,BG,2014-01-01,2
NABS08,EUR_HAB,BG,2015-01-01,2
NABS08,EUR_HAB,BG,2016-01-01,2
NABS08,EUR_HAB,BG,2017-01-01,3
NABS08,EUR_HAB,BG,2018-01-01,
NABS08,EUR_HAB,CH,2004-01-01,6
NABS08,EUR_HAB,CH,2005-01-01,
NABS08,EUR_HAB,CH,2006-01-01,6
NABS08,EUR_HAB,CH,2007-01-01,
NABS08,EUR_HAB,CH,2008-01-01,6
NABS08,EUR_HAB,CH,2009-01-01,
NABS08,EUR_HAB,CH,2010-01-01,7
NABS08,EUR_HAB,CH,2011-01-01,
NABS08,EUR_HAB,CH,2012-01-01,9
NABS08,EUR_HAB,CH,2013-01-01,
NABS08,EUR_HAB,CH,2014-01-01,13
NABS08,EUR_HAB,CH,2015-01-01,15
NABS08,EUR_HAB,CH,2016-01-01,
NABS08,EUR_HAB,CH,2017-01-01,
NABS08,EUR_HAB,CH,2018-01-01,
NABS08,EUR_HAB,CY,2004-01-01,14
NABS08,EUR_HAB,CY,2005-01-01,14
NABS08,EUR_HAB,CY,2006-01-01,13
NABS08,EUR_HAB,CY,2007-01-01,14
NABS08,EUR_HAB,CY,2008-01-01,12
NABS08,EUR_HAB,CY,2009-01-01,12
NABS08,EUR_HAB,CY,2010-01-01,11
NABS08,EUR_HAB,CY,2011-01-01,11
NABS08,EUR_HAB,CY,2012-01-01,10
NABS08,EUR_HAB,CY,2013-01-01,8
NABS08,EUR_HAB,CY,2014-01-01,7
NABS08,EUR_HAB,CY,2015-01-01,7
NABS08,EUR_HAB,CY,2016-01-01,6
NABS08,EUR_HAB,CY,2017-01-01,6
NABS08,EUR_HAB,CY,2018-01-01,
NABS08,EUR_HAB,CZ,2004-01-01,2
NABS08,EUR_HAB,CZ,2005-01-01,2
NABS08,EUR_HAB,CZ,2006-01-01,3
NABS08,EUR_HAB,CZ,2007-01-01,3
NABS08,EUR_HAB,CZ,2008-01-01,4
NABS08,EUR_HAB,CZ,2009-01-01,4
NABS08,EUR_HAB,CZ,2010-01-01,4
NABS08,EUR_HAB,CZ,2011-01-01,4
NABS08,EUR_HAB,CZ,2012-01-01,3
NABS08,EUR_HAB,CZ,2013-01-01,3
NABS08,EUR_HAB,CZ,2014-01-01,3
NABS08,EUR_HAB,CZ,2015-01-01,4
NABS08,EUR_HAB,CZ,2016-01-01,3
NABS08,EUR_HAB,CZ,2017-01-01,4
NABS08,EUR_HAB,CZ,2018-01-01,
NABS08,EUR_HAB,DE,2004-01-01,4
NABS08,EUR_HAB,DE,2005-01-01,3
NABS08,EUR_HAB,DE,2006-01-01,4
NABS08,EUR_HAB,DE,2007-01-01,5
NABS08,EUR_HAB,DE,2008-01-01,6
NABS08,EUR_HAB,DE,2009-01-01,8
NABS08,EUR_HAB,DE,2010-01-01,9
NABS08,EUR_HAB,DE,2011-01-01,9
NABS08,EUR_HAB,DE,2012-01-01,8
NABS08,EUR_HAB,DE,2013-01-01,8
NABS08,EUR_HAB,DE,2014-01-01,9
NABS08,EUR_HAB,DE,2015-01-01,10
NABS08,EUR_HAB,DE,2016-01-01,10
NABS08,EUR_HAB,DE,2017-01-01,10
NABS08,EUR_HAB,DE,2018-01-01,
NABS08,EUR_HAB,DK,2004-01-01,14
NABS08,EUR_HAB,DK,2005-01-01,15
NABS08,EUR_HAB,DK,2006-01-01,17
NABS08,EUR_HAB,DK,2007-01-01,16
NABS08,EUR_HAB,DK,2008-01-01,13
NABS08,EUR_HAB,DK,2009-01-01,13
NABS08,EUR_HAB,DK,2010-01-01,13
NABS08,EUR_HAB,DK,2011-01-01,14
NABS08,EUR_HAB,DK,2012-01-01,12
NABS08,EUR_HAB,DK,2013-01-01,16
NABS08,EUR_HAB,DK,2014-01-01,12
NABS08,EUR_HAB,DK,2015-01-01,16
NABS08,EUR_HAB,DK,2016-01-01,16
NABS08,EUR_HAB,DK,2017-01-01,13
NABS08,EUR_HAB,DK,2018-01-01,
NABS08,EUR_HAB,EA19,2004-01-01,
NABS08,EUR_HAB,EA19,2005-01-01,
NABS08,EUR_HAB,EA19,2006-01-01,
NABS08,EUR_HAB,EA19,2007-01-01,7
NABS08,EUR_HAB,EA19,2008-01-01,7
NABS08,EUR_HAB,EA19,2009-01-01,7
NABS08,EUR_HAB,EA19,2010-01-01,7
NABS08,EUR_HAB,EA19,2011-01-01,7
NABS08,EUR_HAB,EA19,2012-01-01,6
NABS08,EUR_HAB,EA19,2013-01-01,6
NABS08,EUR_HAB,EA19,2014-01-01,6
NABS08,EUR_HAB,EA19,2015-01-01,6
NABS08,EUR_HAB,EA19,2016-01-01,6
NABS08,EUR_HAB,EA19,2017-01-01,7
NABS08,EUR_HAB,EA19,2018-01-01,
NABS08,EUR_HAB,EE,2004-01-01,3
NABS08,EUR_HAB,EE,2005-01-01,4
NABS08,EUR_HAB,EE,2006-01-01,5
NABS08,EUR_HAB,EE,2007-01-01,5
NABS08,EUR_HAB,EE,2008-01-01,5
NABS08,EUR_HAB,EE,2009-01-01,5
NABS08,EUR_HAB,EE,2010-01-01,6
NABS08,EUR_HAB,EE,2011-01-01,9
NABS08,EUR_HAB,EE,2012-01-01,12
NABS08,EUR_HAB,EE,2013-01-01,11
NABS08,EUR_HAB,EE,2014-01-01,7
NABS08,EUR_HAB,EE,2015-01-01,6
NABS08,EUR_HAB,EE,2016-01-01,4
NABS08,EUR_HAB,EE,2017-01-01,6
NABS08,EUR_HAB,EE,2018-01-01,
NABS08,EUR_HAB,EL,2004-01-01,2
NABS08,EUR_HAB,EL,2005-01-01,3
NABS08,EUR_HAB,EL,2006-01-01,3
NABS08,EUR_HAB,EL,2007-01-01,3
NABS08,EUR_HAB,EL,2008-01-01,3
NABS08,EUR_HAB,EL,2009-01-01,2
NABS08,EUR_HAB,EL,2010-01-01,2
NABS08,EUR_HAB,EL,2011-01-01,2
NABS08,EUR_HAB,EL,2012-01-01,2
NABS08,EUR_HAB,EL,2013-01-01,2
NABS08,EUR_HAB,EL,2014-01-01,2
NABS08,EUR_HAB,EL,2015-01-01,2
NABS08,EUR_HAB,EL,2016-01-01,3
NABS08,EUR_HAB,EL,2017-01-01,1
NABS08,EUR_HAB,EL,2018-01-01,
NABS08,EUR_HAB,ES,2004-01-01,8
NABS08,EUR_HAB,ES,2005-01-01,10
NABS08,EUR_HAB,ES,2006-01-01,13
NABS08,EUR_HAB,ES,2007-01-01,15
NABS08,EUR_HAB,ES,2008-01-01,15
NABS08,EUR_HAB,ES,2009-01-01,14
NABS08,EUR_HAB,ES,2010-01-01,12
NABS08,EUR_HAB,ES,2011-01-01,11
NABS08,EUR_HAB,ES,2012-01-01,8
NABS08,EUR_HAB,ES,2013-01-01,8
NABS08,EUR_HAB,ES,2014-01-01,7
NABS08,EUR_HAB,ES,2015-01-01,8
NABS08,EUR_HAB,ES,2016-01-01,8
NABS08,EUR_HAB,ES,2017-01-01,8
NABS08,EUR_HAB,ES,2018-01-01,
NABS08,EUR_HAB,EU28,2004-01-01,
NABS08,EUR_HAB,EU28,2005-01-01,
NABS08,EUR_HAB,EU28,2006-01-01,
NABS08,EUR_HAB,EU28,2007-01-01,6
NABS08,EUR_HAB,EU28,2008-01-01,6
NABS08,EUR_HAB,EU28,2009-01-01,6
NABS08,EUR_HAB,EU28,2010-01-01,6
NABS08,EUR_HAB,EU28,2011-01-01,6
NABS08,EUR_HAB,EU28,2012-01-01,5
NABS08,EUR_HAB,EU28,2013-01-01,6
NABS08,EUR_HAB,EU28,2014-01-01,5
NABS08,EUR_HAB,EU28,2015-01-01,6
NABS08,EUR_HAB,EU28,2016-01-01,6
NABS08,EUR_HAB,EU28,2017-01-01,6
NABS08,EUR_HAB,EU28,2018-01-01,
NABS08,EUR_HAB,FI,2004-01-01,17
NABS08,EUR_HAB,FI,2005-01-01,18
NABS08,EUR_HAB,FI,2006-01-01,18
NABS08,EUR_HAB,FI,2007-01-01,19
NABS08,EUR_HAB,FI,2008-01-01,18
NABS08,EUR_HAB,FI,2009-01-01,18
NABS08,EUR_HAB,FI,2010-01-01,18
NABS08,EUR_HAB,FI,2011-01-01,18
NABS08,EUR_HAB,FI,2012-01-01,18
NABS08,EUR_HAB,FI,2013-01-01,17
NABS08,EUR_HAB,FI,2014-01-01,17
NABS08,EUR_HAB,FI,2015-01-01,17
NABS08,EUR_HAB,FI,2016-01-01,13
NABS08,EUR_HAB,FI,2017-01-01,13
NABS08,EUR_HAB,FI,2018-01-01,
NABS08,EUR_HAB,FR,2004-01-01,5
NABS08,EUR_HAB,FR,2005-01-01,5
NABS08,EUR_HAB,FR,2006-01-01,3
NABS08,EUR_HAB,FR,2007-01-01,3
NABS08,EUR_HAB,FR,2008-01-01,4
NABS08,EUR_HAB,FR,2009-01-01,4
NABS08,EUR_HAB,FR,2010-01-01,4
NABS08,EUR_HAB,FR,2011-01-01,5
NABS08,EUR_HAB,FR,2012-01-01,4
NABS08,EUR_HAB,FR,2013-01-01,4
NABS08,EUR_HAB,FR,2014-01-01,5
NABS08,EUR_HAB,FR,2015-01-01,5
NABS08,EUR_HAB,FR,2016-01-01,5
NABS08,EUR_HAB,FR,2017-01-01,6
NABS08,EUR_HAB,FR,2018-01-01,
NABS08,EUR_HAB,HR,2004-01-01,
NABS08,EUR_HAB,HR,2005-01-01,
NABS08,EUR_HAB,HR,2006-01-01,
NABS08,EUR_HAB,HR,2007-01-01,
NABS08,EUR_HAB,HR,2008-01-01,0
NABS08,EUR_HAB,HR,2009-01-01,0
NABS08,EUR_HAB,HR,2010-01-01,0
NABS08,EUR_HAB,HR,2011-01-01,0
NABS08,EUR_HAB,HR,2012-01-01,0
NABS08,EUR_HAB,HR,2013-01-01,0
NABS08,EUR_HAB,HR,2014-01-01,1
NABS08,EUR_HAB,HR,2015-01-01,1
NABS08,EUR_HAB,HR,2016-01-01,2
NABS08,EUR_HAB,HR,2017-01-01,1
NABS08,EUR_HAB,HR,2018-01-01,
NABS08,EUR_HAB,HU,2004-01-01,
NABS08,EUR_HAB,HU,2005-01-01,5
NABS08,EUR_HAB,HU,2006-01-01,4
NABS08,EUR_HAB,HU,2007-01-01,3
NABS08,EUR_HAB,HU,2008-01-01,4
NABS08,EUR_HAB,HU,2009-01-01,3
NABS08,EUR_HAB,HU,2010-01-01,1
NABS08,EUR_HAB,HU,2011-01-01,0
NABS08,EUR_HAB,HU,2012-01-01,1
NABS08,EUR_HAB,HU,2013-01-01,5
NABS08,EUR_HAB,HU,2014-01-01,1
NABS08,EUR_HAB,HU,2015-01-01,1
NABS08,EUR_HAB,HU,2016-01-01,3
NABS08,EUR_HAB,HU,2017-01-01,1
NABS08,EUR_HAB,HU,2018-01-01,
NABS08,EUR_HAB,IE,2004-01-01,17
NABS08,EUR_HAB,IE,2005-01-01,22
NABS08,EUR_HAB,IE,2006-01-01,19
NABS08,EUR_HAB,IE,2007-01-01,23
NABS08,EUR_HAB,IE,2008-01-01,23
NABS08,EUR_HAB,IE,2009-01-01,20
NABS08,EUR_HAB,IE,2010-01-01,18
NABS08,EUR_HAB,IE,2011-01-01,20
NABS08,EUR_HAB,IE,2012-01-01,19
NABS08,EUR_HAB,IE,2013-01-01,19
NABS08,EUR_HAB,IE,2014-01-01,19
NABS08,EUR_HAB,IE,2015-01-01,19
NABS08,EUR_HAB,IE,2016-01-01,20
NABS08,EUR_HAB,IE,2017-01-01,25
NABS08,EUR_HAB,IE,2018-01-01,
NABS08,EUR_HAB,IS,2004-01-01,61
NABS08,EUR_HAB,IS,2005-01-01,75
NABS08,EUR_HAB,IS,2006-01-01,73
NABS08,EUR_HAB,IS,2007-01-01,76
NABS08,EUR_HAB,IS,2008-01-01,62
NABS08,EUR_HAB,IS,2009-01-01,48
NABS08,EUR_HAB,IS,2010-01-01,50
NABS08,EUR_HAB,IS,2011-01-01,65
NABS08,EUR_HAB,IS,2012-01-01,70
NABS08,EUR_HAB,IS,2013-01-01,56
NABS08,EUR_HAB,IS,2014-01-01,5
NABS08,EUR_HAB,IS,2015-01-01,5
NABS08,EUR_HAB,IS,2016-01-01,7
NABS08,EUR_HAB,IS,2017-01-01,6
