nutrient,indic_ag,geo,unittime,date,value
N,BAL_UAA,AT,KG,2000-01-01,44.0
N,BAL_UAA,AT,KG,2001-01-01,40.0
N,BAL_UAA,AT,KG,2002-01-01,37.0
N,BAL_UAA,AT,KG,2003-01-01,38.0
N,BAL_UAA,AT,KG,2004-01-01,31.0
N,BAL_UAA,AT,KG,2005-01-01,19.0
N,BAL_UAA,AT,KG,2006-01-01,26.0
N,BAL_UAA,AT,KG,2007-01-01,31.0
N,BAL_UAA,AT,KG,2008-01-01,30.0
N,BAL_UAA,AT,KG,2009-01-01,21.0
N,BAL_UAA,AT,KG,2010-01-01,26.0
N,BAL_UAA,AT,KG,2011-01-01,28.0
N,BAL_UAA,AT,KG,2012-01-01,30.0
N,BAL_UAA,AT,KG,2013-01-01,41.0
N,BAL_UAA,AT,KG,2014-01-01,30.0
N,BAL_UAA,AT,KG,2015-01-01,41.0
N,BAL_UAA,AT,KG,2016-01-01,32.0
N,BAL_UAA,BE,KG,2000-01-01,190.0
N,BAL_UAA,BE,KG,2001-01-01,180.0
N,BAL_UAA,BE,KG,2002-01-01,169.0
N,BAL_UAA,BE,KG,2003-01-01,152.0
N,BAL_UAA,BE,KG,2004-01-01,146.0
N,BAL_UAA,BE,KG,2005-01-01,146.0
N,BAL_UAA,BE,KG,2006-01-01,152.0
N,BAL_UAA,BE,KG,2007-01-01,145.0
N,BAL_UAA,BE,KG,2008-01-01,124.0
N,BAL_UAA,BE,KG,2009-01-01,129.0
N,BAL_UAA,BE,KG,2010-01-01,142.0
N,BAL_UAA,BE,KG,2011-01-01,143.0
N,BAL_UAA,BE,KG,2012-01-01,143.0
N,BAL_UAA,BE,KG,2013-01-01,138.0
N,BAL_UAA,BE,KG,2014-01-01,132.0
N,BAL_UAA,BE,KG,2015-01-01,132.0
N,BAL_UAA,BE,KG,2016-01-01,
N,BAL_UAA,BG,KG,2000-01-01,28.0
N,BAL_UAA,BG,KG,2001-01-01,27.0
N,BAL_UAA,BG,KG,2002-01-01,22.0
N,BAL_UAA,BG,KG,2003-01-01,31.0
N,BAL_UAA,BG,KG,2004-01-01,19.0
N,BAL_UAA,BG,KG,2005-01-01,25.0
N,BAL_UAA,BG,KG,2006-01-01,24.0
N,BAL_UAA,BG,KG,2007-01-01,36.0
N,BAL_UAA,BG,KG,2008-01-01,16.0
N,BAL_UAA,BG,KG,2009-01-01,20.0
N,BAL_UAA,BG,KG,2010-01-01,14.0
N,BAL_UAA,BG,KG,2011-01-01,12.0
N,BAL_UAA,BG,KG,2012-01-01,24.0
N,BAL_UAA,BG,KG,2013-01-01,16.0
N,BAL_UAA,BG,KG,2014-01-01,28.0
N,BAL_UAA,BG,KG,2015-01-01,28.0
N,BAL_UAA,BG,KG,2016-01-01,
N,BAL_UAA,CH,KG,2000-01-01,61.0
N,BAL_UAA,CH,KG,2001-01-01,65.0
N,BAL_UAA,CH,KG,2002-01-01,64.0
N,BAL_UAA,CH,KG,2003-01-01,69.0
N,BAL_UAA,CH,KG,2004-01-01,59.0
N,BAL_UAA,CH,KG,2005-01-01,59.0
N,BAL_UAA,CH,KG,2006-01-01,64.0
N,BAL_UAA,CH,KG,2007-01-01,60.0
N,BAL_UAA,CH,KG,2008-01-01,64.0
N,BAL_UAA,CH,KG,2009-01-01,59.0
N,BAL_UAA,CH,KG,2010-01-01,65.0
N,BAL_UAA,CH,KG,2011-01-01,54.0
N,BAL_UAA,CH,KG,2012-01-01,57.0
N,BAL_UAA,CH,KG,2013-01-01,60.0
N,BAL_UAA,CH,KG,2014-01-01,57.0
N,BAL_UAA,CH,KG,2015-01-01,60.0
N,BAL_UAA,CH,KG,2016-01-01,
N,BAL_UAA,CY,KG,2000-01-01,186.0
N,BAL_UAA,CY,KG,2001-01-01,191.0
N,BAL_UAA,CY,KG,2002-01-01,209.0
N,BAL_UAA,CY,KG,2003-01-01,181.0
N,BAL_UAA,CY,KG,2004-01-01,172.0
N,BAL_UAA,CY,KG,2005-01-01,152.0
N,BAL_UAA,CY,KG,2006-01-01,153.0
N,BAL_UAA,CY,KG,2007-01-01,159.0
N,BAL_UAA,CY,KG,2008-01-01,201.0
N,BAL_UAA,CY,KG,2009-01-01,178.0
N,BAL_UAA,CY,KG,2010-01-01,191.0
N,BAL_UAA,CY,KG,2011-01-01,199.0
N,BAL_UAA,CY,KG,2012-01-01,184.0
N,BAL_UAA,CY,KG,2013-01-01,179.0
N,BAL_UAA,CY,KG,2014-01-01,194.0
N,BAL_UAA,CY,KG,2015-01-01,194.0
N,BAL_UAA,CY,KG,2016-01-01,
N,BAL_UAA,CZ,KG,2000-01-01,65.0
N,BAL_UAA,CZ,KG,2001-01-01,71.0
N,BAL_UAA,CZ,KG,2002-01-01,79.0
N,BAL_UAA,CZ,KG,2003-01-01,77.0
N,BAL_UAA,CZ,KG,2004-01-01,67.0
N,BAL_UAA,CZ,KG,2005-01-01,71.0
N,BAL_UAA,CZ,KG,2006-01-01,82.0
N,BAL_UAA,CZ,KG,2007-01-01,86.0
N,BAL_UAA,CZ,KG,2008-01-01,80.0
N,BAL_UAA,CZ,KG,2009-01-01,56.0
N,BAL_UAA,CZ,KG,2010-01-01,67.0
N,BAL_UAA,CZ,KG,2011-01-01,79.0
N,BAL_UAA,CZ,KG,2012-01-01,88.0
N,BAL_UAA,CZ,KG,2013-01-01,76.0
N,BAL_UAA,CZ,KG,2014-01-01,63.0
N,BAL_UAA,CZ,KG,2015-01-01,98.0
N,BAL_UAA,CZ,KG,2016-01-01,91.0
N,BAL_UAA,DE,KG,2000-01-01,110.0
N,BAL_UAA,DE,KG,2001-01-01,97.0
N,BAL_UAA,DE,KG,2002-01-01,101.0
N,BAL_UAA,DE,KG,2003-01-01,114.0
N,BAL_UAA,DE,KG,2004-01-01,84.0
N,BAL_UAA,DE,KG,2005-01-01,85.0
N,BAL_UAA,DE,KG,2006-01-01,94.0
N,BAL_UAA,DE,KG,2007-01-01,79.0
N,BAL_UAA,DE,KG,2008-01-01,84.0
N,BAL_UAA,DE,KG,2009-01-01,65.0
N,BAL_UAA,DE,KG,2010-01-01,78.0
N,BAL_UAA,DE,KG,2011-01-01,89.0
N,BAL_UAA,DE,KG,2012-01-01,75.0
N,BAL_UAA,DE,KG,2013-01-01,79.0
N,BAL_UAA,DE,KG,2014-01-01,66.0
N,BAL_UAA,DE,KG,2015-01-01,82.0
N,BAL_UAA,DE,KG,2016-01-01,
N,BAL_UAA,DK,KG,2000-01-01,132.0
N,BAL_UAA,DK,KG,2001-01-01,127.0
N,BAL_UAA,DK,KG,2002-01-01,124.0
N,BAL_UAA,DK,KG,2003-01-01,117.0
N,BAL_UAA,DK,KG,2004-01-01,121.0
N,BAL_UAA,DK,KG,2005-01-01,111.0
N,BAL_UAA,DK,KG,2006-01-01,102.0
N,BAL_UAA,DK,KG,2007-01-01,105.0
N,BAL_UAA,DK,KG,2008-01-01,106.0
N,BAL_UAA,DK,KG,2009-01-01,87.0
N,BAL_UAA,DK,KG,2010-01-01,90.0
N,BAL_UAA,DK,KG,2011-01-01,88.0
N,BAL_UAA,DK,KG,2012-01-01,83.0
N,BAL_UAA,DK,KG,2013-01-01,87.0
N,BAL_UAA,DK,KG,2014-01-01,80.0
N,BAL_UAA,DK,KG,2015-01-01,80.0
N,BAL_UAA,DK,KG,2016-01-01,
N,BAL_UAA,EE,KG,2000-01-01,
N,BAL_UAA,EE,KG,2001-01-01,
N,BAL_UAA,EE,KG,2002-01-01,
N,BAL_UAA,EE,KG,2003-01-01,
N,BAL_UAA,EE,KG,2004-01-01,36.0
N,BAL_UAA,EE,KG,2005-01-01,21.0
N,BAL_UAA,EE,KG,2006-01-01,32.0
N,BAL_UAA,EE,KG,2007-01-01,22.0
N,BAL_UAA,EE,KG,2008-01-01,36.0
N,BAL_UAA,EE,KG,2009-01-01,25.0
N,BAL_UAA,EE,KG,2010-01-01,31.0
N,BAL_UAA,EE,KG,2011-01-01,32.0
N,BAL_UAA,EE,KG,2012-01-01,28.0
N,BAL_UAA,EE,KG,2013-01-01,23.0
N,BAL_UAA,EE,KG,2014-01-01,22.0
N,BAL_UAA,EE,KG,2015-01-01,22.0
N,BAL_UAA,EE,KG,2016-01-01,
N,BAL_UAA,EL,KG,2000-01-01,82.0
N,BAL_UAA,EL,KG,2001-01-01,79.0
N,BAL_UAA,EL,KG,2002-01-01,84.0
N,BAL_UAA,EL,KG,2003-01-01,83.0
N,BAL_UAA,EL,KG,2004-01-01,79.0
N,BAL_UAA,EL,KG,2005-01-01,72.0
N,BAL_UAA,EL,KG,2006-01-01,79.0
N,BAL_UAA,EL,KG,2007-01-01,88.0
N,BAL_UAA,EL,KG,2008-01-01,69.0
N,BAL_UAA,EL,KG,2009-01-01,65.0
N,BAL_UAA,EL,KG,2010-01-01,71.0
N,BAL_UAA,EL,KG,2011-01-01,52.0
N,BAL_UAA,EL,KG,2012-01-01,50.0
N,BAL_UAA,EL,KG,2013-01-01,56.0
N,BAL_UAA,EL,KG,2014-01-01,59.0
N,BAL_UAA,EL,KG,2015-01-01,59.0
N,BAL_UAA,EL,KG,2016-01-01,
N,BAL_UAA,ES,KG,2000-01-01,40.0
N,BAL_UAA,ES,KG,2001-01-01,40.0
