unit,quantile,age,sex,levels,geo\time,date,value
PC,TOTAL,Y_GE16,F,VG_G,AT,2005-01-01,69.2 
PC,TOTAL,Y_GE16,F,VG_G,AT,2006-01-01,70.9 
PC,TOTAL,Y_GE16,F,VG_G,AT,2007-01-01,70.8 
PC,TOTAL,Y_GE16,F,VG_G,AT,2008-01-01,68.8 
PC,TOTAL,Y_GE16,F,VG_G,AT,2009-01-01,68.3 
PC,TOTAL,Y_GE16,F,VG_G,AT,2010-01-01,67.2 
PC,TOTAL,Y_GE16,F,VG_G,AT,2011-01-01,66.8 
PC,TOTAL,Y_GE16,F,VG_G,AT,2012-01-01,68.5 
PC,TOTAL,Y_GE16,F,VG_G,AT,2013-01-01,66.7 
PC,TOTAL,Y_GE16,F,VG_G,AT,2014-01-01,67.4
PC,TOTAL,Y_GE16,F,VG_G,AT,2015-01-01,68.0 
PC,TOTAL,Y_GE16,F,VG_G,AT,2016-01-01,68.6 
PC,TOTAL,Y_GE16,F,VG_G,AT,2017-01-01,68.8 
PC,TOTAL,Y_GE16,F,VG_G,BE,2005-01-01,70.0 
PC,TOTAL,Y_GE16,F,VG_G,BE,2006-01-01,70.9 
PC,TOTAL,Y_GE16,F,VG_G,BE,2007-01-01,71.0 
PC,TOTAL,Y_GE16,F,VG_G,BE,2008-01-01,71.4 
PC,TOTAL,Y_GE16,F,VG_G,BE,2009-01-01,70.9 
PC,TOTAL,Y_GE16,F,VG_G,BE,2010-01-01,70.9 
PC,TOTAL,Y_GE16,F,VG_G,BE,2011-01-01,71.7 
PC,TOTAL,Y_GE16,F,VG_G,BE,2012-01-01,72.2 
PC,TOTAL,Y_GE16,F,VG_G,BE,2013-01-01,71.9 
PC,TOTAL,Y_GE16,F,VG_G,BE,2014-01-01,72.9
PC,TOTAL,Y_GE16,F,VG_G,BE,2015-01-01,71.5 
PC,TOTAL,Y_GE16,F,VG_G,BE,2016-01-01,71.0 
PC,TOTAL,Y_GE16,F,VG_G,BE,2017-01-01,71.3 
PC,TOTAL,Y_GE16,F,VG_G,BG,2005-01-01,55.3 
PC,TOTAL,Y_GE16,F,VG_G,BG,2006-01-01,55.3 
PC,TOTAL,Y_GE16,F,VG_G,BG,2007-01-01,56.9 
PC,TOTAL,Y_GE16,F,VG_G,BG,2008-01-01,57.7 
PC,TOTAL,Y_GE16,F,VG_G,BG,2009-01-01,60.2 
PC,TOTAL,Y_GE16,F,VG_G,BG,2010-01-01,62.4 
PC,TOTAL,Y_GE16,F,VG_G,BG,2011-01-01,63.2 
PC,TOTAL,Y_GE16,F,VG_G,BG,2012-01-01,62.8 
PC,TOTAL,Y_GE16,F,VG_G,BG,2013-01-01,62.7 
PC,TOTAL,Y_GE16,F,VG_G,BG,2014-01-01,62.7
PC,TOTAL,Y_GE16,F,VG_G,BG,2015-01-01,61.9 
PC,TOTAL,Y_GE16,F,VG_G,BG,2016-01-01,62.0 b
PC,TOTAL,Y_GE16,F,VG_G,BG,2017-01-01,63.0 
PC,TOTAL,Y_GE16,F,VG_G,CH,2005-01-01,: 
PC,TOTAL,Y_GE16,F,VG_G,CH,2006-01-01,: 
PC,TOTAL,Y_GE16,F,VG_G,CH,2007-01-01,81.8 
PC,TOTAL,Y_GE16,F,VG_G,CH,2008-01-01,79.4 
PC,TOTAL,Y_GE16,F,VG_G,CH,2009-01-01,78.5 
PC,TOTAL,Y_GE16,F,VG_G,CH,2010-01-01,79.0 
PC,TOTAL,Y_GE16,F,VG_G,CH,2011-01-01,78.7 
PC,TOTAL,Y_GE16,F,VG_G,CH,2012-01-01,80.0 
PC,TOTAL,Y_GE16,F,VG_G,CH,2013-01-01,78.4 
PC,TOTAL,Y_GE16,F,VG_G,CH,2014-01-01,76.1
PC,TOTAL,Y_GE16,F,VG_G,CH,2015-01-01,77.3 
