age,sex,unit,geotime,date,value
Y_GE15,F,PC_POP,AT,2007-01-01,24
Y_GE15,F,PC_POP,AT,2010-01-01,27
Y_GE15,F,PC_POP,AT,2012-01-01,26
Y_GE15,F,PC_POP,AT,2015-01-01,
Y_GE15,F,PC_POP,AT,2017-01-01,
Y_GE15,F,PC_POP,BE,2007-01-01,22
Y_GE15,F,PC_POP,BE,2010-01-01,27
Y_GE15,F,PC_POP,BE,2012-01-01,24
Y_GE15,F,PC_POP,BE,2015-01-01,
Y_GE15,F,PC_POP,BE,2017-01-01,
Y_GE15,F,PC_POP,BG,2007-01-01,30
Y_GE15,F,PC_POP,BG,2010-01-01,30
Y_GE15,F,PC_POP,BG,2012-01-01,31
Y_GE15,F,PC_POP,BG,2015-01-01,
Y_GE15,F,PC_POP,BG,2017-01-01,
Y_GE15,F,PC_POP,CY,2007-01-01,16
Y_GE15,F,PC_POP,CY,2010-01-01,16
Y_GE15,F,PC_POP,CY,2012-01-01,19
Y_GE15,F,PC_POP,CY,2015-01-01,
Y_GE15,F,PC_POP,CY,2017-01-01,
Y_GE15,F,PC_POP,CZ,2007-01-01,23
Y_GE15,F,PC_POP,CZ,2010-01-01,19
Y_GE15,F,PC_POP,CZ,2012-01-01,23
Y_GE15,F,PC_POP,CZ,2015-01-01,
Y_GE15,F,PC_POP,CZ,2017-01-01,
Y_GE15,F,PC_POP,DE,2007-01-01,25
Y_GE15,F,PC_POP,DE,2010-01-01,19
Y_GE15,F,PC_POP,DE,2012-01-01,22
Y_GE15,F,PC_POP,DE,2015-01-01,
Y_GE15,F,PC_POP,DE,2017-01-01,
Y_GE15,F,PC_POP,DK,2007-01-01,29
Y_GE15,F,PC_POP,DK,2010-01-01,26
Y_GE15,F,PC_POP,DK,2012-01-01,24
Y_GE15,F,PC_POP,DK,2015-01-01,
Y_GE15,F,PC_POP,DK,2017-01-01,
Y_GE15,F,PC_POP,EE,2007-01-01,24
Y_GE15,F,PC_POP,EE,2010-01-01,20
Y_GE15,F,PC_POP,EE,2012-01-01,19
