sex,geotime,date,value
F,AT,2000-01-01,1.2
F,AT,2001-01-01,1.4
F,AT,2002-01-01,3.5
F,AT,2003-01-01,4.7
F,AT,2004-01-01,4.4
F,AT,2005-01-01,4.5
F,AT,2006-01-01,3.8
F,AT,2007-01-01,3.6
F,AT,2008-01-01,3.9
F,AT,2009-01-01,3.7
F,AT,2010-01-01,3.8
F,AT,2011-01-01,3.7
F,AT,2012-01-01,2.7
F,AT,2013-01-01,3.1
F,AT,2014-01-01,3.2
F,AT,2015-01-01,3.6
F,BE,2000-01-01,
F,BE,2001-01-01,
F,BE,2002-01-01,
F,BE,2003-01-01,2.1
F,BE,2004-01-01,2.2
F,BE,2005-01-01,1.9
F,BE,2006-01-01,1.5
F,BE,2007-01-01,2.0
F,BE,2008-01-01,2.1
F,BE,2009-01-01,1.7
F,BE,2010-01-01,1.8
F,BE,2011-01-01,1.4
F,BE,2012-01-01,1.2
F,BE,2013-01-01,1.4
F,BE,2014-01-01,1.1
F,BE,2015-01-01,1.1
F,BG,2000-01-01,2.3
F,BG,2001-01-01,2.5
F,BG,2002-01-01,2.3
F,BG,2003-01-01,1.9
F,BG,2004-01-01,1.9
F,BG,2005-01-01,2.0
F,BG,2006-01-01,1.8
F,BG,2007-01-01,1.8
F,BG,2008-01-01,1.5
F,BG,2009-01-01,1.2
F,BG,2010-01-01,1.4
F,BG,2011-01-01,1.1
F,BG,2012-01-01,1.1
F,BG,2013-01-01,1.0
F,BG,2014-01-01,1.2
F,BG,2015-01-01,1.0
F,CH,2000-01-01,3.1
F,CH,2001-01-01,2.3
F,CH,2002-01-01,2.4
F,CH,2003-01-01,2.2
F,CH,2004-01-01,2.2
F,CH,2005-01-01,1.8
F,CH,2006-01-01,1.6
F,CH,2007-01-01,1.5
F,CH,2008-01-01,1.6
F,CH,2009-01-01,1.5
F,CH,2010-01-01,1.5
F,CH,2011-01-01,1.1
F,CH,2012-01-01,1.4
F,CH,2013-01-01,1.5
F,CH,2014-01-01,1.0
F,CH,2015-01-01,0.8
F,CY,2000-01-01,
F,CY,2001-01-01,
F,CY,2002-01-01,
F,CY,2003-01-01,
F,CY,2004-01-01,
F,CY,2005-01-01,
F,CY,2006-01-01,
F,CY,2007-01-01,
F,CY,2008-01-01,
F,CY,2009-01-01,
F,CY,2010-01-01,
F,CY,2011-01-01,3.7
F,CY,2012-01-01,
F,CY,2013-01-01,
F,CY,2014-01-01,1.3
F,CY,2015-01-01,
F,CZ,2000-01-01,
F,CZ,2001-01-01,
F,CZ,2002-01-01,
F,CZ,2003-01-01,
F,CZ,2004-01-01,
F,CZ,2005-01-01,0.6
F,CZ,2006-01-01,0.6
F,CZ,2007-01-01,0.9
F,CZ,2008-01-01,0.6
F,CZ,2009-01-01,0.8
F,CZ,2010-01-01,0.4
F,CZ,2011-01-01,1.4
F,CZ,2012-01-01,1.4
F,CZ,2013-01-01,
F,CZ,2014-01-01,0.9
F,CZ,2015-01-01,0.5
F,DE,2000-01-01,2.0
F,DE,2001-01-01,2.1
F,DE,2002-01-01,2.0
F,DE,2003-01-01,2.1
F,DE,2004-01-01,1.8
F,DE,2005-01-01,1.7
F,DE,2006-01-01,1.6
F,DE,2007-01-01,1.6
F,DE,2008-01-01,1.4
F,DE,2009-01-01,1.6
F,DE,2010-01-01,1.5
F,DE,2011-01-01,1.5
F,DE,2012-01-01,1.4
F,DE,2013-01-01,1.3
F,DE,2014-01-01,1.3
F,DE,2015-01-01,1.2
F,DK,2000-01-01,1.0
F,DK,2001-01-01,1.4
F,DK,2002-01-01,1.1
F,DK,2003-01-01,1.2
F,DK,2004-01-01,1.5
F,DK,2005-01-01,0.7
F,DK,2006-01-01,0.7
F,DK,2007-01-01,0.8
F,DK,2008-01-01,0.7
F,DK,2009-01-01,0.8
F,DK,2010-01-01,
F,DK,2011-01-01,0.6
F,DK,2012-01-01,0.6
F,DK,2013-01-01,0.7
F,DK,2014-01-01,0.7
F,DK,2015-01-01,0.6
F,EE,2000-01-01,
F,EE,2001-01-01,
F,EE,2002-01-01,
F,EE,2003-01-01,
F,EE,2004-01-01,3.3
F,EE,2005-01-01,2.5
F,EE,2006-01-01,4.5
F,EE,2007-01-01,3.9
F,EE,2008-01-01,
F,EE,2009-01-01,4.2
F,EE,2010-01-01,
F,EE,2011-01-01,3.2
F,EE,2012-01-01,3.5
F,EE,2013-01-01,3.0
F,EE,2014-01-01,4.2
F,EE,2015-01-01,2.5
F,EL,2000-01-01,1.0
F,EL,2001-01-01,1.3
F,EL,2002-01-01,1.4
F,EL,2003-01-01,1.2
F,EL,2004-01-01,1.1
F,EL,2005-01-01,1.4
F,EL,2006-01-01,1.3
F,EL,2007-01-01,1.1
F,EL,2008-01-01,0.8
F,EL,2009-01-01,0.8
F,EL,2010-01-01,0.8
F,EL,2011-01-01,1.0
F,EL,2012-01-01,1.2
F,EL,2013-01-01,1.0
F,EL,2014-01-01,1.1
F,EL,2015-01-01,0.7
F,ES,2000-01-01,4.3
F,ES,2001-01-01,4.5
F,ES,2002-01-01,4.4
F,ES,2003-01-01,4.8
F,ES,2004-01-01,4.3
F,ES,2005-01-01,4.1
F,ES,2006-01-01,3.7
F,ES,2007-01-01,3.7
F,ES,2008-01-01,3.6
F,ES,2009-01-01,3.7
F,ES,2010-01-01,3.2
F,ES,2011-01-01,2.8
F,ES,2012-01-01,2.9
F,ES,2013-01-01,2.6
F,ES,2014-01-01,2.6
F,ES,2015-01-01,2.2
F,EU28,2000-01-01,
F,EU28,2001-01-01,
F,EU28,2002-01-01,2.7
F,EU28,2003-01-01,2.9
F,EU28,2004-01-01,2.7
F,EU28,2005-01-01,2.7
F,EU28,2006-01-01,2.5
F,EU28,2007-01-01,2.3
F,EU28,2008-01-01,2.4
F,EU28,2009-01-01,2.4
F,EU28,2010-01-01,2.2
F,EU28,2011-01-01,2.2
