field,sex,unit,geotime,date,value
EF461,T,PC,AL,2000-01-01,
EF461,T,PC,AL,2003-01-01,
EF461,T,PC,AL,2006-01-01,
EF461,T,PC,AL,2009-01-01,67.7
EF461,T,PC,AL,2012-01-01,60.7
EF461,T,PC,AL,2015-01-01,53.3
EF461,T,PC,AT,2000-01-01,
EF461,T,PC,AT,2003-01-01,18.8
EF461,T,PC,AT,2006-01-01,20.1
EF461,T,PC,AT,2009-01-01,23.3
EF461,T,PC,AT,2012-01-01,18.7
EF461,T,PC,AT,2015-01-01,21.8
EF461,T,PC,BE,2000-01-01,
EF461,T,PC,BE,2003-01-01,16.5
EF461,T,PC,BE,2006-01-01,17.5
EF461,T,PC,BE,2009-01-01,19.1
EF461,T,PC,BE,2012-01-01,19.0
EF461,T,PC,BE,2015-01-01,20.1
EF461,T,PC,BG,2000-01-01,
EF461,T,PC,BG,2003-01-01,
EF461,T,PC,BG,2006-01-01,53.4
EF461,T,PC,BG,2009-01-01,47.1
EF461,T,PC,BG,2012-01-01,43.8
EF461,T,PC,BG,2015-01-01,42.1
EF461,T,PC,CH,2000-01-01,
EF461,T,PC,CH,2003-01-01,14.5
EF461,T,PC,CH,2006-01-01,13.6
EF461,T,PC,CH,2009-01-01,13.5
EF461,T,PC,CH,2012-01-01,12.4
EF461,T,PC,CH,2015-01-01,15.8
EF461,T,PC,CY,2000-01-01,
EF461,T,PC,CY,2003-01-01,
EF461,T,PC,CY,2006-01-01,
EF461,T,PC,CY,2009-01-01,
EF461,T,PC,CY,2012-01-01,42.0
EF461,T,PC,CY,2015-01-01,42.6
EF461,T,PC,CZ,2000-01-01,
EF461,T,PC,CZ,2003-01-01,16.6
EF461,T,PC,CZ,2006-01-01,19.3
EF461,T,PC,CZ,2009-01-01,22.4
EF461,T,PC,CZ,2012-01-01,21.0
EF461,T,PC,CZ,2015-01-01,21.7
EF461,T,PC,DE,2000-01-01,
EF461,T,PC,DE,2003-01-01,21.6
EF461,T,PC,DE,2006-01-01,20.0
EF461,T,PC,DE,2009-01-01,18.7
EF461,T,PC,DE,2012-01-01,17.7
EF461,T,PC,DE,2015-01-01,17.2
EF461,T,PC,DK,2000-01-01,
EF461,T,PC,DK,2003-01-01,15.4
EF461,T,PC,DK,2006-01-01,13.7
EF461,T,PC,DK,2009-01-01,17.1
EF461,T,PC,DK,2012-01-01,16.8
EF461,T,PC,DK,2015-01-01,13.6
EF461,T,PC,EE,2000-01-01,
EF461,T,PC,EE,2003-01-01,
EF461,T,PC,EE,2006-01-01,12.1
EF461,T,PC,EE,2009-01-01,12.7
EF461,T,PC,EE,2012-01-01,10.5
EF461,T,PC,EE,2015-01-01,11.2
EF461,T,PC,EL,2000-01-01,
EF461,T,PC,EL,2003-01-01,38.9
EF461,T,PC,EL,2006-01-01,32.5
EF461,T,PC,EL,2009-01-01,30.4
EF461,T,PC,EL,2012-01-01,35.7
EF461,T,PC,EL,2015-01-01,35.8
EF461,T,PC,ES,2000-01-01,
EF461,T,PC,ES,2003-01-01,23.0
EF461,T,PC,ES,2006-01-01,24.8
EF461,T,PC,ES,2009-01-01,23.8
EF461,T,PC,ES,2012-01-01,23.6
EF461,T,PC,ES,2015-01-01,22.2
EF461,T,PC,EU27,2000-01-01,
EF461,T,PC,EU27,2003-01-01,
EF461,T,PC,EU27,2006-01-01,
EF461,T,PC,EU27,2009-01-01,22.3
EF461,T,PC,EU27,2012-01-01,22.1
EF461,T,PC,EU27,2015-01-01,
EF461,T,PC,EU28,2000-01-01,
EF461,T,PC,EU28,2003-01-01,
EF461,T,PC,EU28,2006-01-01,
EF461,T,PC,EU28,2009-01-01,
EF461,T,PC,EU28,2012-01-01,
EF461,T,PC,EU28,2015-01-01,22.2
EF461,T,PC,FI,2000-01-01,
EF461,T,PC,FI,2003-01-01,6.8
EF461,T,PC,FI,2006-01-01,6.0
EF461,T,PC,FI,2009-01-01,7.9
EF461,T,PC,FI,2012-01-01,12.3
EF461,T,PC,FI,2015-01-01,13.6
EF461,T,PC,FR,2000-01-01,
EF461,T,PC,FR,2003-01-01,16.6
EF461,T,PC,FR,2006-01-01,22.4
EF461,T,PC,FR,2009-01-01,22.5
EF461,T,PC,FR,2012-01-01,22.4
EF461,T,PC,FR,2015-01-01,23.5
EF461,T,PC,HR,2000-01-01,
EF461,T,PC,HR,2003-01-01,
EF461,T,PC,HR,2006-01-01,28.7
EF461,T,PC,HR,2009-01-01,33.2
EF461,T,PC,HR,2012-01-01,29.9
EF461,T,PC,HR,2015-01-01,32.0
EF461,T,PC,HU,2000-01-01,
EF461,T,PC,HU,2003-01-01,23.0
EF461,T,PC,HU,2006-01-01,21.2
EF461,T,PC,HU,2009-01-01,22.3
EF461,T,PC,HU,2012-01-01,28.1
EF461,T,PC,HU,2015-01-01,28.0
EF461,T,PC,IE,2000-01-01,
EF461,T,PC,IE,2003-01-01,16.8
EF461,T,PC,IE,2006-01-01,16.5
EF461,T,PC,IE,2009-01-01,20.9
EF461,T,PC,IE,2012-01-01,16.9
EF461,T,PC,IE,2015-01-01,15.0
EF461,T,PC,IS,2000-01-01,
EF461,T,PC,IS,2003-01-01,15.0
EF461,T,PC,IS,2006-01-01,16.9
EF461,T,PC,IS,2009-01-01,17.0
EF461,T,PC,IS,2012-01-01,21.5
EF461,T,PC,IS,2015-01-01,23.6
EF461,T,PC,IT,2000-01-01,
EF461,T,PC,IT,2003-01-01,31.9
EF461,T,PC,IT,2006-01-01,33.0
EF461,T,PC,IT,2009-01-01,25.0
EF461,T,PC,IT,2012-01-01,24.7
EF461,T,PC,IT,2015-01-01,23.3
EF461,T,PC,JP,2000-01-01,
EF461,T,PC,JP,2003-01-01,13.3
EF461,T,PC,JP,2006-01-01,13.1
EF461,T,PC,JP,2009-01-01,12.5
EF461,T,PC,JP,2012-01-01,11.1
EF461,T,PC,JP,2015-01-01,10.7
EF461,T,PC,KR,2000-01-01,
EF461,T,PC,KR,2003-01-01,9.5
EF461,T,PC,KR,2006-01-01,8.9
EF461,T,PC,KR,2009-01-01,8.1
