unit,nace_r2,geo\time,date,value
PC,B-S_X_O,AT,2002-01-01,: 
PC,B-S_X_O,AT,2006-01-01,25.5 
PC,B-S_X_O,AT,2007-01-01,25.5 
PC,B-S_X_O,AT,2008-01-01,25.1 
PC,B-S_X_O,AT,2009-01-01,24.3 
PC,B-S_X_O,AT,2010-01-01,24.0 
PC,B-S_X_O,AT,2011-01-01,23.5 
PC,B-S_X_O,AT,2012-01-01,22.9 
PC,B-S_X_O,AT,2013-01-01,22.3 
PC,B-S_X_O,AT,2014-01-01,22.2
PC,B-S_X_O,AT,2015-01-01,21.7 
PC,B-S_X_O,AT,2016-01-01,20.1 
PC,B-S_X_O,BE,2002-01-01,: 
PC,B-S_X_O,BE,2006-01-01,9.5 
PC,B-S_X_O,BE,2007-01-01,10.1 
PC,B-S_X_O,BE,2008-01-01,10.2 
PC,B-S_X_O,BE,2009-01-01,10.1 
PC,B-S_X_O,BE,2010-01-01,10.2 
PC,B-S_X_O,BE,2011-01-01,9.4 
PC,B-S_X_O,BE,2012-01-01,8.3 
PC,B-S_X_O,BE,2013-01-01,7.5 
PC,B-S_X_O,BE,2014-01-01,6.6
PC,B-S_X_O,BE,2015-01-01,6.5 
PC,B-S_X_O,BE,2016-01-01,6.1 
PC,B-S_X_O,BG,2002-01-01,18.9 
PC,B-S_X_O,BG,2006-01-01,12.4 
PC,B-S_X_O,BG,2007-01-01,12.1 
PC,B-S_X_O,BG,2008-01-01,12.3 
PC,B-S_X_O,BG,2009-01-01,13.3 
PC,B-S_X_O,BG,2010-01-01,13.0 
PC,B-S_X_O,BG,2011-01-01,13.2 
PC,B-S_X_O,BG,2012-01-01,15.1 
PC,B-S_X_O,BG,2013-01-01,14.1 
PC,B-S_X_O,BG,2014-01-01,14.2
PC,B-S_X_O,BG,2015-01-01,15.4 
PC,B-S_X_O,BG,2016-01-01,14.4 
PC,B-S_X_O,CH,2002-01-01,: 
PC,B-S_X_O,CH,2006-01-01,18.6 
PC,B-S_X_O,CH,2007-01-01,: 
PC,B-S_X_O,CH,2008-01-01,18.4 d
PC,B-S_X_O,CH,2009-01-01,18.4 d
PC,B-S_X_O,CH,2010-01-01,17.8 
PC,B-S_X_O,CH,2011-01-01,17.6 
PC,B-S_X_O,CH,2012-01-01,17.4 
PC,B-S_X_O,CH,2013-01-01,17.6 
PC,B-S_X_O,CH,2014-01-01,17.4
PC,B-S_X_O,CH,2015-01-01,17.2 
PC,B-S_X_O,CH,2016-01-01,17.0 
PC,B-S_X_O,CY,2002-01-01,22.5 
PC,B-S_X_O,CY,2006-01-01,21.8 
PC,B-S_X_O,CY,2007-01-01,22.0 
PC,B-S_X_O,CY,2008-01-01,19.5 
PC,B-S_X_O,CY,2009-01-01,17.8 
PC,B-S_X_O,CY,2010-01-01,16.8 
PC,B-S_X_O,CY,2011-01-01,16.1 
PC,B-S_X_O,CY,2012-01-01,15.6 
PC,B-S_X_O,CY,2013-01-01,14.9 
PC,B-S_X_O,CY,2014-01-01,14.2
PC,B-S_X_O,CY,2015-01-01,14.0 
PC,B-S_X_O,CY,2016-01-01,13.9 
PC,B-S_X_O,CZ,2002-01-01,22.1 
PC,B-S_X_O,CZ,2006-01-01,23.4 
PC,B-S_X_O,CZ,2007-01-01,23.6 
PC,B-S_X_O,CZ,2008-01-01,26.2 
PC,B-S_X_O,CZ,2009-01-01,25.9 
PC,B-S_X_O,CZ,2010-01-01,21.6 
PC,B-S_X_O,CZ,2011-01-01,22.6 
PC,B-S_X_O,CZ,2012-01-01,22.5 
PC,B-S_X_O,CZ,2013-01-01,22.3 
PC,B-S_X_O,CZ,2014-01-01,22.5
PC,B-S_X_O,CZ,2015-01-01,22.5 
PC,B-S_X_O,CZ,2016-01-01,21.8 
PC,B-S_X_O,DE,2002-01-01,: 
PC,B-S_X_O,DE,2006-01-01,22.7 
PC,B-S_X_O,DE,2007-01-01,22.8 
PC,B-S_X_O,DE,2008-01-01,22.8 
PC,B-S_X_O,DE,2009-01-01,22.6 
PC,B-S_X_O,DE,2010-01-01,22.3 
PC,B-S_X_O,DE,2011-01-01,22.4 
PC,B-S_X_O,DE,2012-01-01,22.7 
PC,B-S_X_O,DE,2013-01-01,22.1 
PC,B-S_X_O,DE,2014-01-01,22.3
PC,B-S_X_O,DE,2015-01-01,22 p
PC,B-S_X_O,DE,2016-01-01,21.5 p
PC,B-S_X_O,DK,2002-01-01,: 
PC,B-S_X_O,DK,2006-01-01,17.6 
PC,B-S_X_O,DK,2007-01-01,17.7 
PC,B-S_X_O,DK,2008-01-01,17.1 
PC,B-S_X_O,DK,2009-01-01,16.8 
PC,B-S_X_O,DK,2010-01-01,17.1 
PC,B-S_X_O,DK,2011-01-01,16.4 
PC,B-S_X_O,DK,2012-01-01,16.8 
PC,B-S_X_O,DK,2013-01-01,16.5 
PC,B-S_X_O,DK,2014-01-01,16.0
PC,B-S_X_O,DK,2015-01-01,15.1 
PC,B-S_X_O,DK,2016-01-01,15.0 
PC,B-S_X_O,EA18,2002-01-01,: 
PC,B-S_X_O,EA18,2006-01-01,: 
PC,B-S_X_O,EA18,2007-01-01,: 
PC,B-S_X_O,EA18,2008-01-01,: 
PC,B-S_X_O,EA18,2009-01-01,: 
PC,B-S_X_O,EA18,2010-01-01,17.0 
PC,B-S_X_O,EA18,2011-01-01,17.3 
PC,B-S_X_O,EA18,2012-01-01,17.6 
PC,B-S_X_O,EA18,2013-01-01,17.2 
PC,B-S_X_O,EA18,2014-01-01,16.9
PC,B-S_X_O,EA18,2015-01-01,16.7 p
PC,B-S_X_O,EA18,2016-01-01,16.3 p
PC,B-S_X_O,EA19,2002-01-01,: 
PC,B-S_X_O,EA19,2006-01-01,: 
PC,B-S_X_O,EA19,2007-01-01,: 
PC,B-S_X_O,EA19,2008-01-01,: 
PC,B-S_X_O,EA19,2009-01-01,: 
PC,B-S_X_O,EA19,2010-01-01,17.0 
PC,B-S_X_O,EA19,2011-01-01,17.3 
PC,B-S_X_O,EA19,2012-01-01,17.6 
PC,B-S_X_O,EA19,2013-01-01,17.1 
PC,B-S_X_O,EA19,2014-01-01,16.9
PC,B-S_X_O,EA19,2015-01-01,16.7 p
PC,B-S_X_O,EA19,2016-01-01,16.3 p
PC,B-S_X_O,EE,2002-01-01,: 
PC,B-S_X_O,EE,2006-01-01,29.8 
PC,B-S_X_O,EE,2007-01-01,30.9 
PC,B-S_X_O,EE,2008-01-01,27.6 
PC,B-S_X_O,EE,2009-01-01,26.6 
PC,B-S_X_O,EE,2010-01-01,27.7 
PC,B-S_X_O,EE,2011-01-01,27.3 
PC,B-S_X_O,EE,2012-01-01,29.9 
PC,B-S_X_O,EE,2013-01-01,29.8 
PC,B-S_X_O,EE,2014-01-01,28.1
PC,B-S_X_O,EE,2015-01-01,26.9 
PC,B-S_X_O,EE,2016-01-01,25.3 
PC,B-S_X_O,EL,2002-01-01,25.5 
PC,B-S_X_O,EL,2006-01-01,20.7 
PC,B-S_X_O,EL,2007-01-01,21.5 
PC,B-S_X_O,EL,2008-01-01,22 d
PC,B-S_X_O,EL,2009-01-01,: 
PC,B-S_X_O,EL,2010-01-01,15.0 
PC,B-S_X_O,EL,2011-01-01,: 
PC,B-S_X_O,EL,2012-01-01,: 
PC,B-S_X_O,EL,2013-01-01,: 
PC,B-S_X_O,EL,2014-01-01,12.5
PC,B-S_X_O,EL,2015-01-01,: 
PC,B-S_X_O,EL,2016-01-01,: 
PC,B-S_X_O,ES,2002-01-01,20.2 
PC,B-S_X_O,ES,2006-01-01,17.9 
PC,B-S_X_O,ES,2007-01-01,18.1 
PC,B-S_X_O,ES,2008-01-01,16.1 
PC,B-S_X_O,ES,2009-01-01,16.7 
PC,B-S_X_O,ES,2010-01-01,16.2 
PC,B-S_X_O,ES,2011-01-01,17.6 
PC,B-S_X_O,ES,2012-01-01,18.7 
PC,B-S_X_O,ES,2013-01-01,17.8 
PC,B-S_X_O,ES,2014-01-01,14.9
PC,B-S_X_O,ES,2015-01-01,14.2 
PC,B-S_X_O,ES,2016-01-01,14.2 p
