age,unit,indic_em,geo\time,date,value
Y20-64,PC_POP,EMP_LFS,AT,2000-01-01,18.3 
Y20-64,PC_POP,EMP_LFS,AT,2001-01-01,17.2 
Y20-64,PC_POP,EMP_LFS,AT,2002-01-01,15.5 
Y20-64,PC_POP,EMP_LFS,AT,2003-01-01,15.1 
Y20-64,PC_POP,EMP_LFS,AT,2004-01-01,13.7 b
Y20-64,PC_POP,EMP_LFS,AT,2005-01-01,12.9 
Y20-64,PC_POP,EMP_LFS,AT,2006-01-01,12.9 
Y20-64,PC_POP,EMP_LFS,AT,2007-01-01,13.3 b
Y20-64,PC_POP,EMP_LFS,AT,2008-01-01,12.5 
Y20-64,PC_POP,EMP_LFS,AT,2009-01-01,10.5 
Y20-64,PC_POP,EMP_LFS,AT,2010-01-01,10.2 
Y20-64,PC_POP,EMP_LFS,AT,2011-01-01,10.0 
Y20-64,PC_POP,EMP_LFS,AT,2012-01-01,9.7 
Y20-64,PC_POP,EMP_LFS,AT,2013-01-01,9.1 
Y20-64,PC_POP,EMP_LFS,AT,2014-01-01,8.2 
Y20-64,PC_POP,EMP_LFS,AT,2015-01-01,8.2 
Y20-64,PC_POP,EMP_LFS,AT,2016-01-01,7.8 
Y20-64,PC_POP,EMP_LFS,AT,2017-01-01,8.0 
Y20-64,PC_POP,EMP_LFS,BE,2000-01-01,19.5 
Y20-64,PC_POP,EMP_LFS,BE,2001-01-01,19.2 b
Y20-64,PC_POP,EMP_LFS,BE,2002-01-01,18.2 
Y20-64,PC_POP,EMP_LFS,BE,2003-01-01,16.9 
Y20-64,PC_POP,EMP_LFS,BE,2004-01-01,16.6 
Y20-64,PC_POP,EMP_LFS,BE,2005-01-01,15.7 
Y20-64,PC_POP,EMP_LFS,BE,2006-01-01,15.2 
Y20-64,PC_POP,EMP_LFS,BE,2007-01-01,14.7 
Y20-64,PC_POP,EMP_LFS,BE,2008-01-01,13.4 
Y20-64,PC_POP,EMP_LFS,BE,2009-01-01,12.2 
Y20-64,PC_POP,EMP_LFS,BE,2010-01-01,11.9 
Y20-64,PC_POP,EMP_LFS,BE,2011-01-01,11.5 
Y20-64,PC_POP,EMP_LFS,BE,2012-01-01,11.0 
Y20-64,PC_POP,EMP_LFS,BE,2013-01-01,10.2 
Y20-64,PC_POP,EMP_LFS,BE,2014-01-01,8.7 
Y20-64,PC_POP,EMP_LFS,BE,2015-01-01,8.3 
Y20-64,PC_POP,EMP_LFS,BE,2016-01-01,9.3 
Y20-64,PC_POP,EMP_LFS,BE,2017-01-01,9.8 b
Y20-64,PC_POP,EMP_LFS,BG,2000-01-01,9.5 
Y20-64,PC_POP,EMP_LFS,BG,2001-01-01,6.8 b
Y20-64,PC_POP,EMP_LFS,BG,2002-01-01,7.1 
Y20-64,PC_POP,EMP_LFS,BG,2003-01-01,8.2 
Y20-64,PC_POP,EMP_LFS,BG,2004-01-01,8.4 
Y20-64,PC_POP,EMP_LFS,BG,2005-01-01,9.7 
Y20-64,PC_POP,EMP_LFS,BG,2006-01-01,9.5 
Y20-64,PC_POP,EMP_LFS,BG,2007-01-01,9.9 
Y20-64,PC_POP,EMP_LFS,BG,2008-01-01,10.7 
Y20-64,PC_POP,EMP_LFS,BG,2009-01-01,9.8 
Y20-64,PC_POP,EMP_LFS,BG,2010-01-01,7.8 b
Y20-64,PC_POP,EMP_LFS,BG,2011-01-01,6.2 b
Y20-64,PC_POP,EMP_LFS,BG,2012-01-01,5.6 
Y20-64,PC_POP,EMP_LFS,BG,2013-01-01,5.7 
Y20-64,PC_POP,EMP_LFS,BG,2014-01-01,6.1 
Y20-64,PC_POP,EMP_LFS,BG,2015-01-01,6.6 
Y20-64,PC_POP,EMP_LFS,BG,2016-01-01,7.3 
Y20-64,PC_POP,EMP_LFS,BG,2017-01-01,8.0 
Y20-64,PC_POP,EMP_LFS,CH,2000-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2001-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2002-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2003-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2004-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2005-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2006-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2007-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2008-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2009-01-01,: 
Y20-64,PC_POP,EMP_LFS,CH,2010-01-01,12.9 b
Y20-64,PC_POP,EMP_LFS,CH,2011-01-01,12.2 
Y20-64,PC_POP,EMP_LFS,CH,2012-01-01,11.4 
Y20-64,PC_POP,EMP_LFS,CH,2013-01-01,10.9 
Y20-64,PC_POP,EMP_LFS,CH,2014-01-01,9.8 
Y20-64,PC_POP,EMP_LFS,CH,2015-01-01,9.7 
Y20-64,PC_POP,EMP_LFS,CH,2016-01-01,9.0 
Y20-64,PC_POP,EMP_LFS,CH,2017-01-01,9.4 
Y20-64,PC_POP,EMP_LFS,CY,2000-01-01,27.0 e
Y20-64,PC_POP,EMP_LFS,CY,2001-01-01,23.9 e
Y20-64,PC_POP,EMP_LFS,CY,2002-01-01,21.2 e
Y20-64,PC_POP,EMP_LFS,CY,2003-01-01,20.2 e
Y20-64,PC_POP,EMP_LFS,CY,2004-01-01,21.7 e
Y20-64,PC_POP,EMP_LFS,CY,2005-01-01,21.7 
Y20-64,PC_POP,EMP_LFS,CY,2006-01-01,20.3 
Y20-64,PC_POP,EMP_LFS,CY,2007-01-01,18.7 
Y20-64,PC_POP,EMP_LFS,CY,2008-01-01,17.0 
Y20-64,PC_POP,EMP_LFS,CY,2009-01-01,14.5 b
Y20-64,PC_POP,EMP_LFS,CY,2010-01-01,12.9 
Y20-64,PC_POP,EMP_LFS,CY,2011-01-01,11.9 
Y20-64,PC_POP,EMP_LFS,CY,2012-01-01,11.3 
Y20-64,PC_POP,EMP_LFS,CY,2013-01-01,10.4 
Y20-64,PC_POP,EMP_LFS,CY,2014-01-01,7.7 
Y20-64,PC_POP,EMP_LFS,CY,2015-01-01,8.3 
Y20-64,PC_POP,EMP_LFS,CY,2016-01-01,9.7 
Y20-64,PC_POP,EMP_LFS,CY,2017-01-01,9.5 
Y20-64,PC_POP,EMP_LFS,CZ,2000-01-01,18.3 
Y20-64,PC_POP,EMP_LFS,CZ,2001-01-01,18.1 
Y20-64,PC_POP,EMP_LFS,CZ,2002-01-01,18.6 
Y20-64,PC_POP,EMP_LFS,CZ,2003-01-01,18.7 
Y20-64,PC_POP,EMP_LFS,CZ,2004-01-01,18.1 
Y20-64,PC_POP,EMP_LFS,CZ,2005-01-01,18.8 
Y20-64,PC_POP,EMP_LFS,CZ,2006-01-01,18.6 
Y20-64,PC_POP,EMP_LFS,CZ,2007-01-01,19.1 
Y20-64,PC_POP,EMP_LFS,CZ,2008-01-01,19.5 
Y20-64,PC_POP,EMP_LFS,CZ,2009-01-01,18.8 
Y20-64,PC_POP,EMP_LFS,CZ,2010-01-01,18.7 
Y20-64,PC_POP,EMP_LFS,CZ,2011-01-01,18.2 b
Y20-64,PC_POP,EMP_LFS,CZ,2012-01-01,17.7 
Y20-64,PC_POP,EMP_LFS,CZ,2013-01-01,17.2 
Y20-64,PC_POP,EMP_LFS,CZ,2014-01-01,17.5 
Y20-64,PC_POP,EMP_LFS,CZ,2015-01-01,16.6 
Y20-64,PC_POP,EMP_LFS,CZ,2016-01-01,16.0 
Y20-64,PC_POP,EMP_LFS,CZ,2017-01-01,15.8 
Y20-64,PC_POP,EMP_LFS,DE,2000-01-01,15.7 e
Y20-64,PC_POP,EMP_LFS,DE,2001-01-01,14.7 e
Y20-64,PC_POP,EMP_LFS,DE,2002-01-01,13.7 e
Y20-64,PC_POP,EMP_LFS,DE,2003-01-01,12.8 e
Y20-64,PC_POP,EMP_LFS,DE,2004-01-01,12.4 e
Y20-64,PC_POP,EMP_LFS,DE,2005-01-01,12.5 b
Y20-64,PC_POP,EMP_LFS,DE,2006-01-01,12.2 
Y20-64,PC_POP,EMP_LFS,DE,2007-01-01,12.4 
Y20-64,PC_POP,EMP_LFS,DE,2008-01-01,12.3 
Y20-64,PC_POP,EMP_LFS,DE,2009-01-01,10.9 
Y20-64,PC_POP,EMP_LFS,DE,2010-01-01,10.7 b
Y20-64,PC_POP,EMP_LFS,DE,2011-01-01,10.4 b
Y20-64,PC_POP,EMP_LFS,DE,2012-01-01,10.5 
Y20-64,PC_POP,EMP_LFS,DE,2013-01-01,9.6 
Y20-64,PC_POP,EMP_LFS,DE,2014-01-01,9.1 
Y20-64,PC_POP,EMP_LFS,DE,2015-01-01,8.7 
Y20-64,PC_POP,EMP_LFS,DE,2016-01-01,8.2 
Y20-64,PC_POP,EMP_LFS,DE,2017-01-01,7.9 
Y20-64,PC_POP,EMP_LFS,DK,2000-01-01,10.0 
Y20-64,PC_POP,EMP_LFS,DK,2001-01-01,9.1 
Y20-64,PC_POP,EMP_LFS,DK,2002-01-01,9.2 
Y20-64,PC_POP,EMP_LFS,DK,2003-01-01,9.8 
Y20-64,PC_POP,EMP_LFS,DK,2004-01-01,9.1 
Y20-64,PC_POP,EMP_LFS,DK,2005-01-01,8.6 
Y20-64,PC_POP,EMP_LFS,DK,2006-01-01,9.0 
Y20-64,PC_POP,EMP_LFS,DK,2007-01-01,8.5 
Y20-64,PC_POP,EMP_LFS,DK,2008-01-01,8.4 
Y20-64,PC_POP,EMP_LFS,DK,2009-01-01,6.0 
Y20-64,PC_POP,EMP_LFS,DK,2010-01-01,5.6 
Y20-64,PC_POP,EMP_LFS,DK,2011-01-01,6.6 
Y20-64,PC_POP,EMP_LFS,DK,2012-01-01,6.4 
Y20-64,PC_POP,EMP_LFS,DK,2013-01-01,6.3 
Y20-64,PC_POP,EMP_LFS,DK,2014-01-01,7.3 
Y20-64,PC_POP,EMP_LFS,DK,2015-01-01,7.6 
Y20-64,PC_POP,EMP_LFS,DK,2016-01-01,6.7 b
Y20-64,PC_POP,EMP_LFS,DK,2017-01-01,6.5 b
Y20-64,PC_POP,EMP_LFS,EA18,2000-01-01,21.6 
Y20-64,PC_POP,EMP_LFS,EA18,2001-01-01,20.7 
