reason,sex,age,unit,geotime,date,value
FAMRESP,F,Y20-64,PC_INAC,AT,2000-01-01,38.6
FAMRESP,F,Y20-64,PC_INAC,AT,2001-01-01,37.5
FAMRESP,F,Y20-64,PC_INAC,AT,2002-01-01,36.6
FAMRESP,F,Y20-64,PC_INAC,AT,2003-01-01,35.3
FAMRESP,F,Y20-64,PC_INAC,AT,2004-01-01,31.7
FAMRESP,F,Y20-64,PC_INAC,AT,2005-01-01,39.9
FAMRESP,F,Y20-64,PC_INAC,AT,2006-01-01,40.5
FAMRESP,F,Y20-64,PC_INAC,AT,2007-01-01,41.3
FAMRESP,F,Y20-64,PC_INAC,AT,2008-01-01,39.6
FAMRESP,F,Y20-64,PC_INAC,AT,2009-01-01,38.0
FAMRESP,F,Y20-64,PC_INAC,AT,2010-01-01,35.7
FAMRESP,F,Y20-64,PC_INAC,AT,2011-01-01,35.0
FAMRESP,F,Y20-64,PC_INAC,AT,2012-01-01,33.1
FAMRESP,F,Y20-64,PC_INAC,AT,2013-01-01,33.3
FAMRESP,F,Y20-64,PC_INAC,AT,2014-01-01,31.2
FAMRESP,F,Y20-64,PC_INAC,AT,2015-01-01,29.9
FAMRESP,F,Y20-64,PC_INAC,AT,2016-01-01,31.2
FAMRESP,F,Y20-64,PC_INAC,AT,2017-01-01,29.0
FAMRESP,F,Y20-64,PC_INAC,BE,2000-01-01,
FAMRESP,F,Y20-64,PC_INAC,BE,2001-01-01,1.2
FAMRESP,F,Y20-64,PC_INAC,BE,2002-01-01,1.3
FAMRESP,F,Y20-64,PC_INAC,BE,2003-01-01,1.4
FAMRESP,F,Y20-64,PC_INAC,BE,2004-01-01,1.1
FAMRESP,F,Y20-64,PC_INAC,BE,2005-01-01,30.4
FAMRESP,F,Y20-64,PC_INAC,BE,2006-01-01,30.6
FAMRESP,F,Y20-64,PC_INAC,BE,2007-01-01,31.5
FAMRESP,F,Y20-64,PC_INAC,BE,2008-01-01,29.5
FAMRESP,F,Y20-64,PC_INAC,BE,2009-01-01,28.5
FAMRESP,F,Y20-64,PC_INAC,BE,2010-01-01,29.2
FAMRESP,F,Y20-64,PC_INAC,BE,2011-01-01,26.6
FAMRESP,F,Y20-64,PC_INAC,BE,2012-01-01,27.6
FAMRESP,F,Y20-64,PC_INAC,BE,2013-01-01,27.4
FAMRESP,F,Y20-64,PC_INAC,BE,2014-01-01,26.9
FAMRESP,F,Y20-64,PC_INAC,BE,2015-01-01,25.8
FAMRESP,F,Y20-64,PC_INAC,BE,2016-01-01,26.6
FAMRESP,F,Y20-64,PC_INAC,BE,2017-01-01,24.6
FAMRESP,F,Y20-64,PC_INAC,BG,2000-01-01,15.1
FAMRESP,F,Y20-64,PC_INAC,BG,2001-01-01,17.1
FAMRESP,F,Y20-64,PC_INAC,BG,2002-01-01,16.0
FAMRESP,F,Y20-64,PC_INAC,BG,2003-01-01,18.1
FAMRESP,F,Y20-64,PC_INAC,BG,2004-01-01,17.6
FAMRESP,F,Y20-64,PC_INAC,BG,2005-01-01,20.2
FAMRESP,F,Y20-64,PC_INAC,BG,2006-01-01,23.3
FAMRESP,F,Y20-64,PC_INAC,BG,2007-01-01,24.3
FAMRESP,F,Y20-64,PC_INAC,BG,2008-01-01,27.3
FAMRESP,F,Y20-64,PC_INAC,BG,2009-01-01,29.3
FAMRESP,F,Y20-64,PC_INAC,BG,2010-01-01,27.1
FAMRESP,F,Y20-64,PC_INAC,BG,2011-01-01,25.2
FAMRESP,F,Y20-64,PC_INAC,BG,2012-01-01,25.5
FAMRESP,F,Y20-64,PC_INAC,BG,2013-01-01,27.1
FAMRESP,F,Y20-64,PC_INAC,BG,2014-01-01,30.0
FAMRESP,F,Y20-64,PC_INAC,BG,2015-01-01,31.1
FAMRESP,F,Y20-64,PC_INAC,BG,2016-01-01,33.0
FAMRESP,F,Y20-64,PC_INAC,BG,2017-01-01,36.9
FAMRESP,F,Y20-64,PC_INAC,CH,2000-01-01,61.7
FAMRESP,F,Y20-64,PC_INAC,CH,2001-01-01,59.8
FAMRESP,F,Y20-64,PC_INAC,CH,2002-01-01,57.7
FAMRESP,F,Y20-64,PC_INAC,CH,2003-01-01,56.5
FAMRESP,F,Y20-64,PC_INAC,CH,2004-01-01,56.2
FAMRESP,F,Y20-64,PC_INAC,CH,2005-01-01,55.5
FAMRESP,F,Y20-64,PC_INAC,CH,2006-01-01,55.5
FAMRESP,F,Y20-64,PC_INAC,CH,2007-01-01,54.8
FAMRESP,F,Y20-64,PC_INAC,CH,2008-01-01,50.8
FAMRESP,F,Y20-64,PC_INAC,CH,2009-01-01,49.8
FAMRESP,F,Y20-64,PC_INAC,CH,2010-01-01,47.8
FAMRESP,F,Y20-64,PC_INAC,CH,2011-01-01,46.6
FAMRESP,F,Y20-64,PC_INAC,CH,2012-01-01,44.4
FAMRESP,F,Y20-64,PC_INAC,CH,2013-01-01,41.3
FAMRESP,F,Y20-64,PC_INAC,CH,2014-01-01,40.6
FAMRESP,F,Y20-64,PC_INAC,CH,2015-01-01,38.6
FAMRESP,F,Y20-64,PC_INAC,CH,2016-01-01,39.2
FAMRESP,F,Y20-64,PC_INAC,CH,2017-01-01,39.0
FAMRESP,F,Y20-64,PC_INAC,CY,2000-01-01,76.7
FAMRESP,F,Y20-64,PC_INAC,CY,2001-01-01,78.0
FAMRESP,F,Y20-64,PC_INAC,CY,2002-01-01,75.5
FAMRESP,F,Y20-64,PC_INAC,CY,2003-01-01,75.2
FAMRESP,F,Y20-64,PC_INAC,CY,2004-01-01,76.1
FAMRESP,F,Y20-64,PC_INAC,CY,2005-01-01,73.4
FAMRESP,F,Y20-64,PC_INAC,CY,2006-01-01,70.5
FAMRESP,F,Y20-64,PC_INAC,CY,2007-01-01,68.9
FAMRESP,F,Y20-64,PC_INAC,CY,2008-01-01,66.3
FAMRESP,F,Y20-64,PC_INAC,CY,2009-01-01,63.0
FAMRESP,F,Y20-64,PC_INAC,CY,2010-01-01,60.4
FAMRESP,F,Y20-64,PC_INAC,CY,2011-01-01,57.0
FAMRESP,F,Y20-64,PC_INAC,CY,2012-01-01,55.4
FAMRESP,F,Y20-64,PC_INAC,CY,2013-01-01,50.1
FAMRESP,F,Y20-64,PC_INAC,CY,2014-01-01,47.0
FAMRESP,F,Y20-64,PC_INAC,CY,2015-01-01,51.5
FAMRESP,F,Y20-64,PC_INAC,CY,2016-01-01,58.0
FAMRESP,F,Y20-64,PC_INAC,CY,2017-01-01,60.3
FAMRESP,F,Y20-64,PC_INAC,CZ,2000-01-01,32.1
FAMRESP,F,Y20-64,PC_INAC,CZ,2001-01-01,32.2
FAMRESP,F,Y20-64,PC_INAC,CZ,2002-01-01,31.1
FAMRESP,F,Y20-64,PC_INAC,CZ,2003-01-01,30.0
FAMRESP,F,Y20-64,PC_INAC,CZ,2004-01-01,29.5
FAMRESP,F,Y20-64,PC_INAC,CZ,2005-01-01,29.0
FAMRESP,F,Y20-64,PC_INAC,CZ,2006-01-01,29.1
FAMRESP,F,Y20-64,PC_INAC,CZ,2007-01-01,30.6
FAMRESP,F,Y20-64,PC_INAC,CZ,2008-01-01,30.9
FAMRESP,F,Y20-64,PC_INAC,CZ,2009-01-01,30.8
FAMRESP,F,Y20-64,PC_INAC,CZ,2010-01-01,30.7
FAMRESP,F,Y20-64,PC_INAC,CZ,2011-01-01,30.4
FAMRESP,F,Y20-64,PC_INAC,CZ,2012-01-01,31.9
FAMRESP,F,Y20-64,PC_INAC,CZ,2013-01-01,31.9
FAMRESP,F,Y20-64,PC_INAC,CZ,2014-01-01,32.9
FAMRESP,F,Y20-64,PC_INAC,CZ,2015-01-01,34.6
FAMRESP,F,Y20-64,PC_INAC,CZ,2016-01-01,34.3
FAMRESP,F,Y20-64,PC_INAC,CZ,2017-01-01,36.6
FAMRESP,F,Y20-64,PC_INAC,DE,2000-01-01,35.8
FAMRESP,F,Y20-64,PC_INAC,DE,2001-01-01,36.0
FAMRESP,F,Y20-64,PC_INAC,DE,2002-01-01,33.7
FAMRESP,F,Y20-64,PC_INAC,DE,2003-01-01,34.3
FAMRESP,F,Y20-64,PC_INAC,DE,2004-01-01,35.0
FAMRESP,F,Y20-64,PC_INAC,DE,2005-01-01,34.6
FAMRESP,F,Y20-64,PC_INAC,DE,2006-01-01,32.2
