unit,hhtyp,incgrp,sex,age,geotime,date,value
PC,TOTAL,A_MD60,T,TOTAL,AT,2003-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,AT,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2003-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2004-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2005-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2006-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2007-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2008-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2009-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2010-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2011-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2012-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2013-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2014-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2015-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2016-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BE,2017-01-01,0
PC,TOTAL,A_MD60,T,TOTAL,BG,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,BG,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,BG,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,BG,2006-01-01,13
PC,TOTAL,A_MD60,T,TOTAL,BG,2007-01-01,10
PC,TOTAL,A_MD60,T,TOTAL,BG,2008-01-01,10
PC,TOTAL,A_MD60,T,TOTAL,BG,2009-01-01,7
PC,TOTAL,A_MD60,T,TOTAL,BG,2010-01-01,7
PC,TOTAL,A_MD60,T,TOTAL,BG,2011-01-01,6
PC,TOTAL,A_MD60,T,TOTAL,BG,2012-01-01,6
PC,TOTAL,A_MD60,T,TOTAL,BG,2013-01-01,6
PC,TOTAL,A_MD60,T,TOTAL,BG,2014-01-01,6
PC,TOTAL,A_MD60,T,TOTAL,BG,2015-01-01,5
PC,TOTAL,A_MD60,T,TOTAL,BG,2016-01-01,5
PC,TOTAL,A_MD60,T,TOTAL,BG,2017-01-01,3
PC,TOTAL,A_MD60,T,TOTAL,CH,2003-01-01,
PC,TOTAL,A_MD60,T,TOTAL,CH,2004-01-01,
PC,TOTAL,A_MD60,T,TOTAL,CH,2005-01-01,
PC,TOTAL,A_MD60,T,TOTAL,CH,2006-01-01,
