geotime,date,value
AL,2000-01-01,
AL,2001-01-01,
AL,2002-01-01,
AL,2003-01-01,
AL,2004-01-01,
AL,2005-01-01,
AL,2006-01-01,
AL,2007-01-01,
AL,2008-01-01,
AL,2009-01-01,
AL,2010-01-01,
AL,2011-01-01,
AL,2012-01-01,
AL,2013-01-01,
AL,2014-01-01,
AT,2000-01-01,
AT,2001-01-01,
AT,2002-01-01,
AT,2003-01-01,
AT,2004-01-01,
AT,2005-01-01,
AT,2006-01-01,
AT,2007-01-01,
AT,2008-01-01,
AT,2009-01-01,
AT,2010-01-01,
AT,2011-01-01,
AT,2012-01-01,
AT,2013-01-01,
AT,2014-01-01,
BA,2000-01-01,
BA,2001-01-01,
BA,2002-01-01,
BA,2003-01-01,
BA,2004-01-01,
BA,2005-01-01,
BA,2006-01-01,
BA,2007-01-01,
BA,2008-01-01,
BA,2009-01-01,
BA,2010-01-01,
BA,2011-01-01,
BA,2012-01-01,
BA,2013-01-01,
BA,2014-01-01,
BE,2000-01-01,
BE,2001-01-01,
BE,2002-01-01,
BE,2003-01-01,
BE,2004-01-01,
BE,2005-01-01,
BE,2006-01-01,
BE,2007-01-01,
BE,2008-01-01,
BE,2009-01-01,
BE,2010-01-01,
BE,2011-01-01,
BE,2012-01-01,
BE,2013-01-01,
BE,2014-01-01,
BG,2000-01-01,
BG,2001-01-01,
BG,2002-01-01,
BG,2003-01-01,
BG,2004-01-01,
BG,2005-01-01,
BG,2006-01-01,
BG,2007-01-01,
BG,2008-01-01,
BG,2009-01-01,
BG,2010-01-01,
BG,2011-01-01,
BG,2012-01-01,
BG,2013-01-01,
BG,2014-01-01,
CY,2000-01-01,
CY,2001-01-01,
CY,2002-01-01,
CY,2003-01-01,
CY,2004-01-01,
CY,2005-01-01,
CY,2006-01-01,
CY,2007-01-01,
CY,2008-01-01,
CY,2009-01-01,
CY,2010-01-01,
CY,2011-01-01,
CY,2012-01-01,
CY,2013-01-01,
CY,2014-01-01,
DK,2000-01-01,
DK,2001-01-01,
DK,2002-01-01,
DK,2003-01-01,
DK,2004-01-01,
DK,2005-01-01,
DK,2006-01-01,
DK,2007-01-01,
DK,2008-01-01,
DK,2009-01-01,
DK,2010-01-01,
DK,2011-01-01,
DK,2012-01-01,
DK,2013-01-01,
DK,2014-01-01,
EE,2000-01-01,
EE,2001-01-01,
EE,2002-01-01,
EE,2003-01-01,
EE,2004-01-01,
EE,2005-01-01,
EE,2006-01-01,
EE,2007-01-01,
EE,2008-01-01,
EE,2009-01-01,
EE,2010-01-01,
EE,2011-01-01,
EE,2012-01-01,
EE,2013-01-01,
EE,2014-01-01,
EU_V,2000-01-01,
EU_V,2001-01-01,
EU_V,2002-01-01,
EU_V,2003-01-01,
EU_V,2004-01-01,
EU_V,2005-01-01,
EU_V,2006-01-01,
EU_V,2007-01-01,
EU_V,2008-01-01,
EU_V,2009-01-01,
EU_V,2010-01-01,
EU_V,2011-01-01,
EU_V,2012-01-01,
EU_V,2013-01-01,
EU_V,2014-01-01,
FI,2000-01-01,
FI,2001-01-01,
FI,2002-01-01,
FI,2003-01-01,
FI,2004-01-01,
FI,2005-01-01,
FI,2006-01-01,
FI,2007-01-01,
FI,2008-01-01,
FI,2009-01-01,
FI,2010-01-01,
FI,2011-01-01,
FI,2012-01-01,
FI,2013-01-01,
FI,2014-01-01,
FR,2000-01-01,
FR,2001-01-01,
FR,2002-01-01,
FR,2003-01-01,
FR,2004-01-01,
FR,2005-01-01,
FR,2006-01-01,
FR,2007-01-01,
FR,2008-01-01,
FR,2009-01-01,
FR,2010-01-01,
FR,2011-01-01,
FR,2012-01-01,
FR,2013-01-01,
FR,2014-01-01,
HR,2000-01-01,
HR,2001-01-01,
HR,2002-01-01,
HR,2003-01-01,
HR,2004-01-01,
HR,2005-01-01,
HR,2006-01-01,
HR,2007-01-01,
HR,2008-01-01,
HR,2009-01-01,
HR,2010-01-01,
HR,2011-01-01,
HR,2012-01-01,
HR,2013-01-01,
HR,2014-01-01,
IE,2000-01-01,
IE,2001-01-01,
IE,2002-01-01,
IE,2003-01-01,
IE,2004-01-01,
IE,2005-01-01,
IE,2006-01-01,
IE,2007-01-01,
IE,2008-01-01,
IE,2009-01-01,
IE,2010-01-01,
IE,2011-01-01,
IE,2012-01-01,
IE,2013-01-01,
IE,2014-01-01,
IT,2000-01-01,
IT,2001-01-01,
IT,2002-01-01,
IT,2003-01-01,
IT,2004-01-01,
IT,2005-01-01,
IT,2006-01-01,
IT,2007-01-01,
IT,2008-01-01,
IT,2009-01-01,
IT,2010-01-01,
IT,2011-01-01,
IT,2012-01-01,
