watpol,geo\time,date,value
NO3_MG_L_GW,AT,2000-01-01,25.2
NO3_MG_L_GW,AT,2001-01-01,25.3
NO3_MG_L_GW,AT,2002-01-01,25.6
NO3_MG_L_GW,AT,2003-01-01,25.5
NO3_MG_L_GW,AT,2004-01-01,26.1
NO3_MG_L_GW,AT,2005-01-01,25.6
NO3_MG_L_GW,AT,2006-01-01,26.0
NO3_MG_L_GW,AT,2007-01-01,24.6
NO3_MG_L_GW,AT,2008-01-01,23.7
NO3_MG_L_GW,AT,2009-01-01,24.5
NO3_MG_L_GW,AT,2010-01-01,25.1
NO3_MG_L_GW,AT,2011-01-01,24.7
NO3_MG_L_GW,AT,2012-01-01,23.6
NO3_MG_L_GW,BE,2000-01-01,27.4
NO3_MG_L_GW,BE,2001-01-01,26.5
NO3_MG_L_GW,BE,2002-01-01,26.9
NO3_MG_L_GW,BE,2003-01-01,28.1
NO3_MG_L_GW,BE,2004-01-01,27.5
NO3_MG_L_GW,BE,2005-01-01,29.7
NO3_MG_L_GW,BE,2006-01-01,31.8
NO3_MG_L_GW,BE,2007-01-01,31.9
NO3_MG_L_GW,BE,2008-01-01,33.2
NO3_MG_L_GW,BE,2009-01-01,31.2
NO3_MG_L_GW,BE,2010-01-01,30.7
NO3_MG_L_GW,BE,2011-01-01,30.1
NO3_MG_L_GW,BE,2012-01-01,29.9
NO3_MG_L_GW,BG,2000-01-01,29.5
NO3_MG_L_GW,BG,2001-01-01,28.2
NO3_MG_L_GW,BG,2002-01-01,25.9
NO3_MG_L_GW,BG,2003-01-01,26.4
NO3_MG_L_GW,BG,2004-01-01,24.0
NO3_MG_L_GW,BG,2005-01-01,25.7
NO3_MG_L_GW,BG,2006-01-01,26.0
NO3_MG_L_GW,BG,2007-01-01,26.1
NO3_MG_L_GW,BG,2008-01-01,25.5
NO3_MG_L_GW,BG,2009-01-01,29.1
NO3_MG_L_GW,BG,2010-01-01,25.9
NO3_MG_L_GW,BG,2011-01-01,25.5
NO3_MG_L_GW,BG,2012-01-01,28.6
NO3_MG_L_GW,CH,2000-01-01,16.4
NO3_MG_L_GW,CH,2001-01-01,16.4
NO3_MG_L_GW,CH,2002-01-01,16.4
NO3_MG_L_GW,CH,2003-01-01,16.1
NO3_MG_L_GW,CH,2004-01-01,16.7
NO3_MG_L_GW,CH,2005-01-01,16.2
NO3_MG_L_GW,CH,2006-01-01,17.0
NO3_MG_L_GW,CH,2007-01-01,16.1
NO3_MG_L_GW,CH,2008-01-01,15.4
NO3_MG_L_GW,CH,2009-01-01,15.4
NO3_MG_L_GW,CH,2010-01-01,15.6
NO3_MG_L_GW,CH,2011-01-01,15.2
NO3_MG_L_GW,CH,2012-01-01,15.1
NO3_MG_L_GW,CY,2000-01-01,20.3
NO3_MG_L_GW,CY,2001-01-01,21.3
NO3_MG_L_GW,CY,2002-01-01,17.2
NO3_MG_L_GW,CY,2003-01-01,25.4
NO3_MG_L_GW,CY,2004-01-01,23.3
NO3_MG_L_GW,CY,2005-01-01,41.5
NO3_MG_L_GW,CY,2006-01-01,37.9
NO3_MG_L_GW,CY,2007-01-01,45.8
NO3_MG_L_GW,CY,2008-01-01,39.5
NO3_MG_L_GW,CY,2009-01-01,45.4
NO3_MG_L_GW,CY,2010-01-01,48.9
NO3_MG_L_GW,CY,2011-01-01,44.8
NO3_MG_L_GW,CY,2012-01-01,48.5
NO3_MG_L_GW,CZ,2000-01-01,22.7
NO3_MG_L_GW,CZ,2001-01-01,20.3
NO3_MG_L_GW,CZ,2002-01-01,19.3
NO3_MG_L_GW,CZ,2003-01-01,19.7
NO3_MG_L_GW,CZ,2004-01-01,19.3
NO3_MG_L_GW,CZ,2005-01-01,19.6
NO3_MG_L_GW,CZ,2006-01-01,20.1
NO3_MG_L_GW,CZ,2007-01-01,20.2
NO3_MG_L_GW,CZ,2008-01-01,18.9
NO3_MG_L_GW,CZ,2009-01-01,18.4
NO3_MG_L_GW,CZ,2010-01-01,19.6
NO3_MG_L_GW,CZ,2011-01-01,19.3
NO3_MG_L_GW,CZ,2012-01-01,19.2
NO3_MG_L_GW,DE,2000-01-01,23.3
NO3_MG_L_GW,DE,2001-01-01,23.9
NO3_MG_L_GW,DE,2002-01-01,23.8
NO3_MG_L_GW,DE,2003-01-01,23.5
NO3_MG_L_GW,DE,2004-01-01,24.4
NO3_MG_L_GW,DE,2005-01-01,24.5
NO3_MG_L_GW,DE,2006-01-01,23.8
NO3_MG_L_GW,DE,2007-01-01,23.3
NO3_MG_L_GW,DE,2008-01-01,24.7
NO3_MG_L_GW,DE,2009-01-01,24.4
NO3_MG_L_GW,DE,2010-01-01,25.0
NO3_MG_L_GW,DE,2011-01-01,23.4
NO3_MG_L_GW,DE,2012-01-01,23.3
NO3_MG_L_GW,DK,2000-01-01,16.1
NO3_MG_L_GW,DK,2001-01-01,17.4
NO3_MG_L_GW,DK,2002-01-01,16.2
NO3_MG_L_GW,DK,2003-01-01,17.1
NO3_MG_L_GW,DK,2004-01-01,17.2
NO3_MG_L_GW,DK,2005-01-01,18.2
NO3_MG_L_GW,DK,2006-01-01,18.8
NO3_MG_L_GW,DK,2007-01-01,18.9
NO3_MG_L_GW,DK,2008-01-01,18.1
NO3_MG_L_GW,DK,2009-01-01,18.3
NO3_MG_L_GW,DK,2010-01-01,18.3
NO3_MG_L_GW,DK,2011-01-01,17.4
NO3_MG_L_GW,DK,2012-01-01,16.7
NO3_MG_L_GW,EE,2000-01-01,4.7
NO3_MG_L_GW,EE,2001-01-01,3.3
NO3_MG_L_GW,EE,2002-01-01,3.4
NO3_MG_L_GW,EE,2003-01-01,3.9
NO3_MG_L_GW,EE,2004-01-01,3.3
NO3_MG_L_GW,EE,2005-01-01,4.2
NO3_MG_L_GW,EE,2006-01-01,4.0
NO3_MG_L_GW,EE,2007-01-01,5.2
NO3_MG_L_GW,EE,2008-01-01,7.3
NO3_MG_L_GW,EE,2009-01-01,6.0
NO3_MG_L_GW,EE,2010-01-01,4.8
NO3_MG_L_GW,EE,2011-01-01,5.7
NO3_MG_L_GW,EE,2012-01-01,7.0
NO3_MG_L_GW,ES,2000-01-01,32.3
NO3_MG_L_GW,ES,2001-01-01,32.3
NO3_MG_L_GW,ES,2002-01-01,32.3
NO3_MG_L_GW,ES,2003-01-01,32.3
NO3_MG_L_GW,ES,2004-01-01,32.8
NO3_MG_L_GW,ES,2005-01-01,35.7
NO3_MG_L_GW,ES,2006-01-01,37.9
NO3_MG_L_GW,ES,2007-01-01,38.6
NO3_MG_L_GW,ES,2008-01-01,34.6
NO3_MG_L_GW,ES,2009-01-01,33.0
NO3_MG_L_GW,ES,2010-01-01,31.3
NO3_MG_L_GW,ES,2011-01-01,32.9
NO3_MG_L_GW,ES,2012-01-01,34.5
NO3_MG_L_GW,EU_V,2000-01-01,19.1
NO3_MG_L_GW,EU_V,2001-01-01,19.2
NO3_MG_L_GW,EU_V,2002-01-01,19.0
NO3_MG_L_GW,EU_V,2003-01-01,19.2
NO3_MG_L_GW,EU_V,2004-01-01,19.3
NO3_MG_L_GW,EU_V,2005-01-01,19.9
NO3_MG_L_GW,EU_V,2006-01-01,20.4
NO3_MG_L_GW,EU_V,2007-01-01,20.4
NO3_MG_L_GW,EU_V,2008-01-01,19.7
NO3_MG_L_GW,EU_V,2009-01-01,19.2
NO3_MG_L_GW,EU_V,2010-01-01,19.3
NO3_MG_L_GW,EU_V,2011-01-01,19.0
NO3_MG_L_GW,EU_V,2012-01-01,19.1
NO3_MG_L_GW,FI,2000-01-01,1.3
NO3_MG_L_GW,FI,2001-01-01,1.2
NO3_MG_L_GW,FI,2002-01-01,1.2
NO3_MG_L_GW,FI,2003-01-01,1.4
NO3_MG_L_GW,FI,2004-01-01,1.4
NO3_MG_L_GW,FI,2005-01-01,1.2
NO3_MG_L_GW,FI,2006-01-01,0.9
NO3_MG_L_GW,FI,2007-01-01,1.0
NO3_MG_L_GW,FI,2008-01-01,1.2
NO3_MG_L_GW,FI,2009-01-01,1.1
NO3_MG_L_GW,FI,2010-01-01,0.9
