indic_en,unit,geo\time,date,value
119800,PC,AL,2004-01-01,27.8 
119800,PC,AL,2005-01-01,30.3
119800,PC,AL,2006-01-01,32.1
119800,PC,AL,2007-01-01,32.7
119800,PC,AL,2008-01-01,32.4
119800,PC,AL,2009-01-01,31.4
119800,PC,AL,2010-01-01,31.9
119800,PC,AL,2011-01-01,31.2
119800,PC,AL,2012-01-01,35.2
119800,PC,AL,2013-01-01,33.2
119800,PC,AL,2014-01-01,31.5
119800,PC,AL,2015-01-01,34.4
119800,PC,AL,2016-01-01,37.1
119800,PC,AT,2004-01-01,22.5 
119800,PC,AT,2005-01-01,23.7
119800,PC,AT,2006-01-01,25.4
119800,PC,AT,2007-01-01,27.0
119800,PC,AT,2008-01-01,27.8
119800,PC,AT,2009-01-01,30.0
119800,PC,AT,2010-01-01,30.2
119800,PC,AT,2011-01-01,30.6
119800,PC,AT,2012-01-01,31.5
119800,PC,AT,2013-01-01,32.4
119800,PC,AT,2014-01-01,33.0
119800,PC,AT,2015-01-01,32.8
119800,PC,AT,2016-01-01,33.5
119800,PC,BE,2004-01-01,1.9 
119800,PC,BE,2005-01-01,2.3
119800,PC,BE,2006-01-01,2.6
119800,PC,BE,2007-01-01,3.1
119800,PC,BE,2008-01-01,3.6
119800,PC,BE,2009-01-01,4.7
119800,PC,BE,2010-01-01,5.7
119800,PC,BE,2011-01-01,6.3
119800,PC,BE,2012-01-01,7.2
119800,PC,BE,2013-01-01,7.5
119800,PC,BE,2014-01-01,8.0
119800,PC,BE,2015-01-01,7.9
119800,PC,BE,2016-01-01,8.7
119800,PC,BG,2004-01-01,9.4 
119800,PC,BG,2005-01-01,9.4
119800,PC,BG,2006-01-01,9.6
119800,PC,BG,2007-01-01,9.2
119800,PC,BG,2008-01-01,10.5
119800,PC,BG,2009-01-01,12.1
119800,PC,BG,2010-01-01,14.1
119800,PC,BG,2011-01-01,14.3
119800,PC,BG,2012-01-01,16.0
119800,PC,BG,2013-01-01,19.0
119800,PC,BG,2014-01-01,18.0
119800,PC,BG,2015-01-01,18.2
119800,PC,BG,2016-01-01,18.8
119800,PC,CY,2004-01-01,3.1 
119800,PC,CY,2005-01-01,3.1
119800,PC,CY,2006-01-01,3.3
119800,PC,CY,2007-01-01,4.0
119800,PC,CY,2008-01-01,5.1
119800,PC,CY,2009-01-01,5.6
119800,PC,CY,2010-01-01,6.0
119800,PC,CY,2011-01-01,6.0
119800,PC,CY,2012-01-01,6.8
119800,PC,CY,2013-01-01,8.1
119800,PC,CY,2014-01-01,8.9
119800,PC,CY,2015-01-01,9.4
119800,PC,CY,2016-01-01,9.3
119800,PC,CZ,2004-01-01,6.8 
119800,PC,CZ,2005-01-01,7.1
119800,PC,CZ,2006-01-01,7.4
119800,PC,CZ,2007-01-01,8.0
119800,PC,CZ,2008-01-01,8.6
119800,PC,CZ,2009-01-01,9.9
119800,PC,CZ,2010-01-01,10.5
119800,PC,CZ,2011-01-01,10.9
119800,PC,CZ,2012-01-01,12.8
119800,PC,CZ,2013-01-01,13.8
119800,PC,CZ,2014-01-01,15.0
119800,PC,CZ,2015-01-01,15.0
119800,PC,CZ,2016-01-01,14.9
119800,PC,DE,2004-01-01,5.8 
119800,PC,DE,2005-01-01,6.7
119800,PC,DE,2006-01-01,7.7
119800,PC,DE,2007-01-01,9.1
119800,PC,DE,2008-01-01,8.6
119800,PC,DE,2009-01-01,9.9
119800,PC,DE,2010-01-01,10.5
119800,PC,DE,2011-01-01,11.4
119800,PC,DE,2012-01-01,12.1
119800,PC,DE,2013-01-01,12.4
119800,PC,DE,2014-01-01,13.8
119800,PC,DE,2015-01-01,14.6
119800,PC,DE,2016-01-01,14.8
119800,PC,DK,2004-01-01,14.9 
119800,PC,DK,2005-01-01,16.0
119800,PC,DK,2006-01-01,16.3
119800,PC,DK,2007-01-01,17.8
119800,PC,DK,2008-01-01,18.6
119800,PC,DK,2009-01-01,20.0
119800,PC,DK,2010-01-01,22.1
119800,PC,DK,2011-01-01,23.5
119800,PC,DK,2012-01-01,25.7
119800,PC,DK,2013-01-01,27.4
119800,PC,DK,2014-01-01,29.6
119800,PC,DK,2015-01-01,31.0
119800,PC,DK,2016-01-01,32.2
119800,PC,EE,2004-01-01,18.4 
119800,PC,EE,2005-01-01,17.5
119800,PC,EE,2006-01-01,16.1
119800,PC,EE,2007-01-01,17.1
119800,PC,EE,2008-01-01,18.9
119800,PC,EE,2009-01-01,23.0
119800,PC,EE,2010-01-01,24.6
119800,PC,EE,2011-01-01,25.5
119800,PC,EE,2012-01-01,25.8
119800,PC,EE,2013-01-01,25.6
119800,PC,EE,2014-01-01,26.3
119800,PC,EE,2015-01-01,28.6
119800,PC,EE,2016-01-01,28.8
119800,PC,EL,2004-01-01,6.9 
119800,PC,EL,2005-01-01,7.0
119800,PC,EL,2006-01-01,7.2
119800,PC,EL,2007-01-01,8.2
119800,PC,EL,2008-01-01,8.0
119800,PC,EL,2009-01-01,8.5
119800,PC,EL,2010-01-01,9.8
119800,PC,EL,2011-01-01,10.9
119800,PC,EL,2012-01-01,13.5
119800,PC,EL,2013-01-01,15.0
119800,PC,EL,2014-01-01,15.3
119800,PC,EL,2015-01-01,15.3
119800,PC,EL,2016-01-01,15.2
119800,PC,ES,2004-01-01,8.4 
119800,PC,ES,2005-01-01,8.5
119800,PC,ES,2006-01-01,9.2
119800,PC,ES,2007-01-01,9.7
119800,PC,ES,2008-01-01,10.8
119800,PC,ES,2009-01-01,13.0
119800,PC,ES,2010-01-01,13.8
119800,PC,ES,2011-01-01,13.2
119800,PC,ES,2012-01-01,14.3
119800,PC,ES,2013-01-01,15.3
119800,PC,ES,2014-01-01,16.1
119800,PC,ES,2015-01-01,16.2
119800,PC,ES,2016-01-01,17.3
119800,PC,EU28,2004-01-01,8.5 
119800,PC,EU28,2005-01-01,9.0
119800,PC,EU28,2006-01-01,9.5
119800,PC,EU28,2007-01-01,10.5
119800,PC,EU28,2008-01-01,11.1
119800,PC,EU28,2009-01-01,12.4
119800,PC,EU28,2010-01-01,12.9
119800,PC,EU28,2011-01-01,13.2
119800,PC,EU28,2012-01-01,14.4
119800,PC,EU28,2013-01-01,15.2
119800,PC,EU28,2014-01-01,16.1
119800,PC,EU28,2015-01-01,16.7
119800,PC,EU28,2016-01-01,17.0
119800,PC,FI,2004-01-01,29.2 
119800,PC,FI,2005-01-01,28.8
119800,PC,FI,2006-01-01,30.0
119800,PC,FI,2007-01-01,29.6
119800,PC,FI,2008-01-01,31.3
119800,PC,FI,2009-01-01,31.3
119800,PC,FI,2010-01-01,32.4
119800,PC,FI,2011-01-01,32.8
119800,PC,FI,2012-01-01,34.4
119800,PC,FI,2013-01-01,36.7
119800,PC,FI,2014-01-01,38.7
119800,PC,FI,2015-01-01,39.2
119800,PC,FI,2016-01-01,38.7
119800,PC,FR,2004-01-01,9.5 
119800,PC,FR,2005-01-01,9.6
119800,PC,FR,2006-01-01,9.3
119800,PC,FR,2007-01-01,10.3
