unit,na_item,geotime,date,value
CLV10_EUR_HAB,B1GQ,AL,2000-01-01,1700.0
CLV10_EUR_HAB,B1GQ,AL,2001-01-01,1900.0
CLV10_EUR_HAB,B1GQ,AL,2002-01-01,1900.0
CLV10_EUR_HAB,B1GQ,AL,2003-01-01,2100.0
CLV10_EUR_HAB,B1GQ,AL,2004-01-01,2200.0
CLV10_EUR_HAB,B1GQ,AL,2005-01-01,2300.0
CLV10_EUR_HAB,B1GQ,AL,2006-01-01,2500.0
CLV10_EUR_HAB,B1GQ,AL,2007-01-01,2600.0
CLV10_EUR_HAB,B1GQ,AL,2008-01-01,2800.0
CLV10_EUR_HAB,B1GQ,AL,2009-01-01,3000.0
CLV10_EUR_HAB,B1GQ,AL,2010-01-01,3100.0
CLV10_EUR_HAB,B1GQ,AL,2011-01-01,3200.0
CLV10_EUR_HAB,B1GQ,AL,2012-01-01,3200.0
CLV10_EUR_HAB,B1GQ,AL,2013-01-01,3300.0
CLV10_EUR_HAB,B1GQ,AL,2014-01-01,3300.0
CLV10_EUR_HAB,B1GQ,AL,2015-01-01,3400.0
CLV10_EUR_HAB,B1GQ,AL,2016-01-01,3500.0
CLV10_EUR_HAB,B1GQ,AL,2017-01-01,3700.0
CLV10_EUR_HAB,B1GQ,AT,2000-01-01,31700.0
CLV10_EUR_HAB,B1GQ,AT,2001-01-01,32000.0
CLV10_EUR_HAB,B1GQ,AT,2002-01-01,32400.0
CLV10_EUR_HAB,B1GQ,AT,2003-01-01,32500.0
CLV10_EUR_HAB,B1GQ,AT,2004-01-01,33200.0
CLV10_EUR_HAB,B1GQ,AT,2005-01-01,33700.0
CLV10_EUR_HAB,B1GQ,AT,2006-01-01,34700.0
CLV10_EUR_HAB,B1GQ,AT,2007-01-01,35900.0
CLV10_EUR_HAB,B1GQ,AT,2008-01-01,36300.0
CLV10_EUR_HAB,B1GQ,AT,2009-01-01,34800.0
CLV10_EUR_HAB,B1GQ,AT,2010-01-01,35400.0
CLV10_EUR_HAB,B1GQ,AT,2011-01-01,36300.0
CLV10_EUR_HAB,B1GQ,AT,2012-01-01,36400.0
CLV10_EUR_HAB,B1GQ,AT,2013-01-01,36200.0
CLV10_EUR_HAB,B1GQ,AT,2014-01-01,36100.0
CLV10_EUR_HAB,B1GQ,AT,2015-01-01,36200.0
CLV10_EUR_HAB,B1GQ,AT,2016-01-01,36500.0
CLV10_EUR_HAB,B1GQ,AT,2017-01-01,37200.0
CLV10_EUR_HAB,B1GQ,BE,2000-01-01,30300.0
CLV10_EUR_HAB,B1GQ,BE,2001-01-01,30500.0
CLV10_EUR_HAB,B1GQ,BE,2002-01-01,30900.0
CLV10_EUR_HAB,B1GQ,BE,2003-01-01,31000.0
CLV10_EUR_HAB,B1GQ,BE,2004-01-01,32000.0
CLV10_EUR_HAB,B1GQ,BE,2005-01-01,32500.0
CLV10_EUR_HAB,B1GQ,BE,2006-01-01,33100.0
CLV10_EUR_HAB,B1GQ,BE,2007-01-01,33900.0
CLV10_EUR_HAB,B1GQ,BE,2008-01-01,33900.0
CLV10_EUR_HAB,B1GQ,BE,2009-01-01,32900.0
CLV10_EUR_HAB,B1GQ,BE,2010-01-01,33500.0
CLV10_EUR_HAB,B1GQ,BE,2011-01-01,33800.0
CLV10_EUR_HAB,B1GQ,BE,2012-01-01,33700.0
CLV10_EUR_HAB,B1GQ,BE,2013-01-01,33600.0
CLV10_EUR_HAB,B1GQ,BE,2014-01-01,33800.0
CLV10_EUR_HAB,B1GQ,BE,2015-01-01,34200.0
CLV10_EUR_HAB,B1GQ,BE,2016-01-01,34500.0
CLV10_EUR_HAB,B1GQ,BE,2017-01-01,35000.0
CLV10_EUR_HAB,B1GQ,BG,2000-01-01,3000.0
CLV10_EUR_HAB,B1GQ,BG,2001-01-01,3200.0
CLV10_EUR_HAB,B1GQ,BG,2002-01-01,3400.0
CLV10_EUR_HAB,B1GQ,BG,2003-01-01,3600.0
CLV10_EUR_HAB,B1GQ,BG,2004-01-01,3900.0
CLV10_EUR_HAB,B1GQ,BG,2005-01-01,4200.0
CLV10_EUR_HAB,B1GQ,BG,2006-01-01,4500.0
CLV10_EUR_HAB,B1GQ,BG,2007-01-01,4800.0
CLV10_EUR_HAB,B1GQ,BG,2008-01-01,5100.0
CLV10_EUR_HAB,B1GQ,BG,2009-01-01,5000.0
CLV10_EUR_HAB,B1GQ,BG,2010-01-01,5100.0
CLV10_EUR_HAB,B1GQ,BG,2011-01-01,5300.0
CLV10_EUR_HAB,B1GQ,BG,2012-01-01,5300.0
CLV10_EUR_HAB,B1GQ,BG,2013-01-01,5400.0
CLV10_EUR_HAB,B1GQ,BG,2014-01-01,5500.0
CLV10_EUR_HAB,B1GQ,BG,2015-01-01,5700.0
CLV10_EUR_HAB,B1GQ,BG,2016-01-01,6000.0
CLV10_EUR_HAB,B1GQ,BG,2017-01-01,6300.0
CLV10_EUR_HAB,B1GQ,CH,2000-01-01,50800.0
CLV10_EUR_HAB,B1GQ,CH,2001-01-01,51200.0
CLV10_EUR_HAB,B1GQ,CH,2002-01-01,50900.0
CLV10_EUR_HAB,B1GQ,CH,2003-01-01,50600.0
CLV10_EUR_HAB,B1GQ,CH,2004-01-01,51600.0
CLV10_EUR_HAB,B1GQ,CH,2005-01-01,52900.0
CLV10_EUR_HAB,B1GQ,CH,2006-01-01,54700.0
CLV10_EUR_HAB,B1GQ,CH,2007-01-01,56500.0
CLV10_EUR_HAB,B1GQ,CH,2008-01-01,57000.0
CLV10_EUR_HAB,B1GQ,CH,2009-01-01,55100.0
CLV10_EUR_HAB,B1GQ,CH,2010-01-01,56100.0
CLV10_EUR_HAB,B1GQ,CH,2011-01-01,56700.0
CLV10_EUR_HAB,B1GQ,CH,2012-01-01,56700.0
CLV10_EUR_HAB,B1GQ,CH,2013-01-01,57000.0
CLV10_EUR_HAB,B1GQ,CH,2014-01-01,57700.0
CLV10_EUR_HAB,B1GQ,CH,2015-01-01,57800.0
CLV10_EUR_HAB,B1GQ,CH,2016-01-01,57900.0
CLV10_EUR_HAB,B1GQ,CH,2017-01-01,
CLV10_EUR_HAB,B1GQ,CY,2000-01-01,20200.0
CLV10_EUR_HAB,B1GQ,CY,2001-01-01,20700.0
CLV10_EUR_HAB,B1GQ,CY,2002-01-01,21200.0
CLV10_EUR_HAB,B1GQ,CY,2003-01-01,21500.0
CLV10_EUR_HAB,B1GQ,CY,2004-01-01,22300.0
CLV10_EUR_HAB,B1GQ,CY,2005-01-01,23100.0
CLV10_EUR_HAB,B1GQ,CY,2006-01-01,23800.0
CLV10_EUR_HAB,B1GQ,CY,2007-01-01,24400.0
CLV10_EUR_HAB,B1GQ,CY,2008-01-01,24700.0
