unit,indic,geotime,date,value
PC,INV_BSN,AT,2000-01-01,16
PC,INV_BSN,AT,2001-01-01,16
PC,INV_BSN,AT,2002-01-01,15
PC,INV_BSN,AT,2003-01-01,16
PC,INV_BSN,AT,2004-01-01,15
PC,INV_BSN,AT,2005-01-01,14
PC,INV_BSN,AT,2006-01-01,14
PC,INV_BSN,AT,2007-01-01,14
PC,INV_BSN,AT,2008-01-01,14
PC,INV_BSN,AT,2009-01-01,13
PC,INV_BSN,AT,2010-01-01,13
PC,INV_BSN,AT,2011-01-01,14
PC,INV_BSN,AT,2012-01-01,14
PC,INV_BSN,AT,2013-01-01,14
PC,INV_BSN,AT,2014-01-01,14
PC,INV_BSN,AT,2015-01-01,14
PC,INV_BSN,AT,2016-01-01,15
PC,INV_BSN,AT,2017-01-01,
PC,INV_BSN,BE,2000-01-01,14
PC,INV_BSN,BE,2001-01-01,14
PC,INV_BSN,BE,2002-01-01,13
PC,INV_BSN,BE,2003-01-01,12
PC,INV_BSN,BE,2004-01-01,13
PC,INV_BSN,BE,2005-01-01,13
PC,INV_BSN,BE,2006-01-01,13
PC,INV_BSN,BE,2007-01-01,14
PC,INV_BSN,BE,2008-01-01,15
PC,INV_BSN,BE,2009-01-01,14
PC,INV_BSN,BE,2010-01-01,13
PC,INV_BSN,BE,2011-01-01,14
PC,INV_BSN,BE,2012-01-01,14
PC,INV_BSN,BE,2013-01-01,14
PC,INV_BSN,BE,2014-01-01,14
PC,INV_BSN,BE,2015-01-01,15
PC,INV_BSN,BE,2016-01-01,15
PC,INV_BSN,BE,2017-01-01,
PC,INV_BSN,BG,2000-01-01,12
PC,INV_BSN,BG,2001-01-01,14
PC,INV_BSN,BG,2002-01-01,15
PC,INV_BSN,BG,2003-01-01,16
PC,INV_BSN,BG,2004-01-01,17
PC,INV_BSN,BG,2005-01-01,20
PC,INV_BSN,BG,2006-01-01,20
PC,INV_BSN,BG,2007-01-01,21
PC,INV_BSN,BG,2008-01-01,25
PC,INV_BSN,BG,2009-01-01,19
PC,INV_BSN,BG,2010-01-01,16
PC,INV_BSN,BG,2011-01-01,15
PC,INV_BSN,BG,2012-01-01,16
PC,INV_BSN,BG,2013-01-01,15
PC,INV_BSN,BG,2014-01-01,14
PC,INV_BSN,BG,2015-01-01,13
PC,INV_BSN,BG,2016-01-01,12
PC,INV_BSN,BG,2017-01-01,
PC,INV_BSN,CH,2000-01-01,17
PC,INV_BSN,CH,2001-01-01,16
PC,INV_BSN,CH,2002-01-01,16
PC,INV_BSN,CH,2003-01-01,15
PC,INV_BSN,CH,2004-01-01,16
PC,INV_BSN,CH,2005-01-01,16
PC,INV_BSN,CH,2006-01-01,16
PC,INV_BSN,CH,2007-01-01,17
PC,INV_BSN,CH,2008-01-01,16
PC,INV_BSN,CH,2009-01-01,15
PC,INV_BSN,CH,2010-01-01,15
PC,INV_BSN,CH,2011-01-01,16
PC,INV_BSN,CH,2012-01-01,16
PC,INV_BSN,CH,2013-01-01,16
PC,INV_BSN,CH,2014-01-01,16
PC,INV_BSN,CH,2015-01-01,16
PC,INV_BSN,CH,2016-01-01,17
PC,INV_BSN,CH,2017-01-01,
PC,INV_BSN,CY,2000-01-01,8
PC,INV_BSN,CY,2001-01-01,7
PC,INV_BSN,CY,2002-01-01,9
PC,INV_BSN,CY,2003-01-01,7
PC,INV_BSN,CY,2004-01-01,6
PC,INV_BSN,CY,2005-01-01,6
PC,INV_BSN,CY,2006-01-01,8
PC,INV_BSN,CY,2007-01-01,8
PC,INV_BSN,CY,2008-01-01,10
PC,INV_BSN,CY,2009-01-01,8
PC,INV_BSN,CY,2010-01-01,8
