sex,age,typtrai,wstatus,unit,geotime,date,value
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2000-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2001-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2002-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2003-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2004-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2005-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2006-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2007-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2008-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2009-01-01,11
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2010-01-01,10
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2011-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2013-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2014-01-01,10
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2015-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2016-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,AT,2017-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2000-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2001-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2002-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2003-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2004-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2005-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2006-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2007-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2008-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2009-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2010-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2011-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2013-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2014-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2015-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2016-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,BE,2017-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2000-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2001-01-01,34
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2002-01-01,32
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2003-01-01,32
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2004-01-01,31
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2005-01-01,30
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2006-01-01,27
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2007-01-01,23
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2008-01-01,21
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2009-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2010-01-01,25
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2011-01-01,26
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2013-01-01,27
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2014-01-01,26
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2015-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2016-01-01,25
F,Y15-29,NO_FED_NFE,NEMP,PC,BG,2017-01-01,23
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2000-01-01,10
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2001-01-01,8
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2002-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2003-01-01,10
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2004-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2005-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2006-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2007-01-01,8
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2008-01-01,8
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2009-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2010-01-01,9
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2011-01-01,8
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2013-01-01,8
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2014-01-01,8
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2015-01-01,7
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2016-01-01,7
F,Y15-29,NO_FED_NFE,NEMP,PC,CH,2017-01-01,7
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2000-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2001-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2002-01-01,12
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2003-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2004-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2005-01-01,22
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2006-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2007-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2008-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2009-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2010-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2011-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2013-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2014-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2015-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2016-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,CY,2017-01-01,19
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2000-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2001-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2002-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2003-01-01,25
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2004-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2005-01-01,24
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2006-01-01,20
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2007-01-01,18
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2008-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2009-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2010-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2011-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2012-01-01,
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2013-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2014-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2015-01-01,17
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2016-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,CZ,2017-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2000-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2001-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2002-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2003-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2004-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2005-01-01,16
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2006-01-01,15
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2007-01-01,14
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2008-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2009-01-01,13
F,Y15-29,NO_FED_NFE,NEMP,PC,DE,2010-01-01,12
