sectperf,unit,geotime,date,value
BES,PC_GDP,AT,2000-01-01,
BES,PC_GDP,AT,2001-01-01,
BES,PC_GDP,AT,2002-01-01,1.38
BES,PC_GDP,AT,2003-01-01,
BES,PC_GDP,AT,2004-01-01,1.47
BES,PC_GDP,AT,2005-01-01,1.66
BES,PC_GDP,AT,2006-01-01,1.66
BES,PC_GDP,AT,2007-01-01,1.71
BES,PC_GDP,AT,2008-01-01,1.78
BES,PC_GDP,AT,2009-01-01,1.77
BES,PC_GDP,AT,2010-01-01,1.87
BES,PC_GDP,AT,2011-01-01,1.84
BES,PC_GDP,AT,2012-01-01,2.05
BES,PC_GDP,AT,2013-01-01,2.09
BES,PC_GDP,AT,2014-01-01,2.19
BES,PC_GDP,AT,2015-01-01,2.18
BES,PC_GDP,AT,2016-01-01,2.2
BES,PC_GDP,BA,2000-01-01,
BES,PC_GDP,BA,2001-01-01,
BES,PC_GDP,BA,2002-01-01,
BES,PC_GDP,BA,2003-01-01,
BES,PC_GDP,BA,2004-01-01,
BES,PC_GDP,BA,2005-01-01,
BES,PC_GDP,BA,2006-01-01,
BES,PC_GDP,BA,2007-01-01,
BES,PC_GDP,BA,2008-01-01,
BES,PC_GDP,BA,2009-01-01,
BES,PC_GDP,BA,2010-01-01,
BES,PC_GDP,BA,2011-01-01,
BES,PC_GDP,BA,2012-01-01,0.16
BES,PC_GDP,BA,2013-01-01,0.19
BES,PC_GDP,BA,2014-01-01,0.05
BES,PC_GDP,BA,2015-01-01,
BES,PC_GDP,BA,2016-01-01,
BES,PC_GDP,BE,2000-01-01,1.39
BES,PC_GDP,BE,2001-01-01,1.48
BES,PC_GDP,BE,2002-01-01,1.33
BES,PC_GDP,BE,2003-01-01,1.28
BES,PC_GDP,BE,2004-01-01,1.25
BES,PC_GDP,BE,2005-01-01,1.21
BES,PC_GDP,BE,2006-01-01,1.26
BES,PC_GDP,BE,2007-01-01,1.28
BES,PC_GDP,BE,2008-01-01,1.31
BES,PC_GDP,BE,2009-01-01,1.31
BES,PC_GDP,BE,2010-01-01,1.38
BES,PC_GDP,BE,2011-01-01,1.48
BES,PC_GDP,BE,2012-01-01,1.59
BES,PC_GDP,BE,2013-01-01,1.62
BES,PC_GDP,BE,2014-01-01,1.67
BES,PC_GDP,BE,2015-01-01,1.72
BES,PC_GDP,BE,2016-01-01,1.73
BES,PC_GDP,BG,2000-01-01,0.11
BES,PC_GDP,BG,2001-01-01,0.09
BES,PC_GDP,BG,2002-01-01,0.09
BES,PC_GDP,BG,2003-01-01,0.1
BES,PC_GDP,BG,2004-01-01,0.11
BES,PC_GDP,BG,2005-01-01,0.1
BES,PC_GDP,BG,2006-01-01,0.11
BES,PC_GDP,BG,2007-01-01,0.13
BES,PC_GDP,BG,2008-01-01,0.14
BES,PC_GDP,BG,2009-01-01,0.15
BES,PC_GDP,BG,2010-01-01,0.28
BES,PC_GDP,BG,2011-01-01,0.28
BES,PC_GDP,BG,2012-01-01,0.37
BES,PC_GDP,BG,2013-01-01,0.39
BES,PC_GDP,BG,2014-01-01,0.52
BES,PC_GDP,BG,2015-01-01,0.7
BES,PC_GDP,BG,2016-01-01,0.57
BES,PC_GDP,CH,2000-01-01,1.72
BES,PC_GDP,CH,2001-01-01,
BES,PC_GDP,CH,2002-01-01,
BES,PC_GDP,CH,2003-01-01,
BES,PC_GDP,CH,2004-01-01,1.97
BES,PC_GDP,CH,2005-01-01,
BES,PC_GDP,CH,2006-01-01,
BES,PC_GDP,CH,2007-01-01,
BES,PC_GDP,CH,2008-01-01,2.0
BES,PC_GDP,CH,2009-01-01,
BES,PC_GDP,CH,2010-01-01,
BES,PC_GDP,CH,2011-01-01,
BES,PC_GDP,CH,2012-01-01,2.28
BES,PC_GDP,CH,2013-01-01,
BES,PC_GDP,CH,2014-01-01,
BES,PC_GDP,CH,2015-01-01,2.4
BES,PC_GDP,CH,2016-01-01,
BES,PC_GDP,CY,2000-01-01,0.05
BES,PC_GDP,CY,2001-01-01,0.05
BES,PC_GDP,CY,2002-01-01,0.06
BES,PC_GDP,CY,2003-01-01,0.07
BES,PC_GDP,CY,2004-01-01,0.07
BES,PC_GDP,CY,2005-01-01,0.08
BES,PC_GDP,CY,2006-01-01,0.09
BES,PC_GDP,CY,2007-01-01,0.09
BES,PC_GDP,CY,2008-01-01,0.09
BES,PC_GDP,CY,2009-01-01,0.09
BES,PC_GDP,CY,2010-01-01,0.08
BES,PC_GDP,CY,2011-01-01,0.07
BES,PC_GDP,CY,2012-01-01,0.07
BES,PC_GDP,CY,2013-01-01,0.09
BES,PC_GDP,CY,2014-01-01,0.11
BES,PC_GDP,CY,2015-01-01,0.11
BES,PC_GDP,CY,2016-01-01,0.17
