unit,vehicle,geotime,date,value
PC,BUS_TOT,AT,2000-01-01,11
PC,BUS_TOT,AT,2001-01-01,11
PC,BUS_TOT,AT,2002-01-01,11
PC,BUS_TOT,AT,2003-01-01,11
PC,BUS_TOT,AT,2004-01-01,11
PC,BUS_TOT,AT,2005-01-01,10
PC,BUS_TOT,AT,2006-01-01,10
PC,BUS_TOT,AT,2007-01-01,11
PC,BUS_TOT,AT,2008-01-01,10
PC,BUS_TOT,AT,2009-01-01,10
PC,BUS_TOT,AT,2010-01-01,10
PC,BUS_TOT,AT,2011-01-01,10
PC,BUS_TOT,AT,2012-01-01,10
PC,BUS_TOT,AT,2013-01-01,10
PC,BUS_TOT,AT,2014-01-01,10
PC,BUS_TOT,AT,2015-01-01,10
PC,BUS_TOT,AT,2016-01-01,10
PC,BUS_TOT,BE,2000-01-01,10
PC,BUS_TOT,BE,2001-01-01,11
PC,BUS_TOT,BE,2002-01-01,11
PC,BUS_TOT,BE,2003-01-01,13
PC,BUS_TOT,BE,2004-01-01,13
PC,BUS_TOT,BE,2005-01-01,13
PC,BUS_TOT,BE,2006-01-01,13
PC,BUS_TOT,BE,2007-01-01,14
PC,BUS_TOT,BE,2008-01-01,13
PC,BUS_TOT,BE,2009-01-01,13
PC,BUS_TOT,BE,2010-01-01,12
PC,BUS_TOT,BE,2011-01-01,12
PC,BUS_TOT,BE,2012-01-01,12
PC,BUS_TOT,BE,2013-01-01,11
PC,BUS_TOT,BE,2014-01-01,11
PC,BUS_TOT,BE,2015-01-01,10
PC,BUS_TOT,BE,2016-01-01,10
PC,BUS_TOT,BG,2000-01-01,31
PC,BUS_TOT,BG,2001-01-01,32
PC,BUS_TOT,BG,2002-01-01,33
PC,BUS_TOT,BG,2003-01-01,28
PC,BUS_TOT,BG,2004-01-01,25
PC,BUS_TOT,BG,2005-01-01,24
PC,BUS_TOT,BG,2006-01-01,22
PC,BUS_TOT,BG,2007-01-01,21
PC,BUS_TOT,BG,2008-01-01,20
PC,BUS_TOT,BG,2009-01-01,16
PC,BUS_TOT,BG,2010-01-01,16
PC,BUS_TOT,BG,2011-01-01,15
PC,BUS_TOT,BG,2012-01-01,14
PC,BUS_TOT,BG,2013-01-01,14
PC,BUS_TOT,BG,2014-01-01,15
PC,BUS_TOT,BG,2015-01-01,14
PC,BUS_TOT,BG,2016-01-01,14
PC,BUS_TOT,CH,2000-01-01,5
PC,BUS_TOT,CH,2001-01-01,5
PC,BUS_TOT,CH,2002-01-01,5
PC,BUS_TOT,CH,2003-01-01,5
PC,BUS_TOT,CH,2004-01-01,5
PC,BUS_TOT,CH,2005-01-01,5
PC,BUS_TOT,CH,2006-01-01,5
PC,BUS_TOT,CH,2007-01-01,5
PC,BUS_TOT,CH,2008-01-01,5
PC,BUS_TOT,CH,2009-01-01,5
PC,BUS_TOT,CH,2010-01-01,5
PC,BUS_TOT,CH,2011-01-01,5
PC,BUS_TOT,CH,2012-01-01,5
PC,BUS_TOT,CH,2013-01-01,5
PC,BUS_TOT,CH,2014-01-01,5
PC,BUS_TOT,CH,2015-01-01,5
PC,BUS_TOT,CH,2016-01-01,5
PC,BUS_TOT,CY,2000-01-01,22
PC,BUS_TOT,CY,2001-01-01,22
PC,BUS_TOT,CY,2002-01-01,22
PC,BUS_TOT,CY,2003-01-01,23
PC,BUS_TOT,CY,2004-01-01,21
PC,BUS_TOT,CY,2005-01-01,20
PC,BUS_TOT,CY,2006-01-01,20
PC,BUS_TOT,CY,2007-01-01,19
PC,BUS_TOT,CY,2008-01-01,18
PC,BUS_TOT,CY,2009-01-01,17
PC,BUS_TOT,CY,2010-01-01,18
PC,BUS_TOT,CY,2011-01-01,18
PC,BUS_TOT,CY,2012-01-01,18
PC,BUS_TOT,CY,2013-01-01,18
PC,BUS_TOT,CY,2014-01-01,18
PC,BUS_TOT,CY,2015-01-01,18
PC,BUS_TOT,CY,2016-01-01,18
PC,BUS_TOT,CZ,2000-01-01,18
