na_item,aggreg,geo\time,date,value
CV_VI_HAB,00,EA18,2000-01-01,43.3 
CV_VI_HAB,00,EA18,2001-01-01,41.5 
CV_VI_HAB,00,EA18,2002-01-01,40.8 
CV_VI_HAB,00,EA18,2003-01-01,39.5 
CV_VI_HAB,00,EA18,2004-01-01,39.6 
CV_VI_HAB,00,EA18,2005-01-01,39.3
CV_VI_HAB,00,EA18,2006-01-01,40.8
CV_VI_HAB,00,EA18,2007-01-01,40.4
CV_VI_HAB,00,EA18,2008-01-01,39.3
CV_VI_HAB,00,EA18,2009-01-01,39.0
CV_VI_HAB,00,EA18,2010-01-01,39.6
CV_VI_HAB,00,EA18,2011-01-01,41.2
CV_VI_HAB,00,EA18,2012-01-01,40.6
CV_VI_HAB,00,EA18,2013-01-01,40.9
CV_VI_HAB,00,EA18,2014-01-01,42.2
CV_VI_HAB,00,EA18,2015-01-01,43.3
CV_VI_HAB,00,EA18,2016-01-01,41.9
CV_VI_HAB,00,EA18,2017-01-01,40.9
CV_VI_HAB,00,EA19,2000-01-01,46.1 
CV_VI_HAB,00,EA19,2001-01-01,44.1 
CV_VI_HAB,00,EA19,2002-01-01,43.3 
CV_VI_HAB,00,EA19,2003-01-01,41.6 
CV_VI_HAB,00,EA19,2004-01-01,41.6 
CV_VI_HAB,00,EA19,2005-01-01,41.0
CV_VI_HAB,00,EA19,2006-01-01,42.3
CV_VI_HAB,00,EA19,2007-01-01,41.6
CV_VI_HAB,00,EA19,2008-01-01,40.3
CV_VI_HAB,00,EA19,2009-01-01,40.5
CV_VI_HAB,00,EA19,2010-01-01,40.7
CV_VI_HAB,00,EA19,2011-01-01,41.9
CV_VI_HAB,00,EA19,2012-01-01,41.0
CV_VI_HAB,00,EA19,2013-01-01,41.1
CV_VI_HAB,00,EA19,2014-01-01,42.3
CV_VI_HAB,00,EA19,2015-01-01,43.4
CV_VI_HAB,00,EA19,2016-01-01,42.0
CV_VI_HAB,00,EA19,2017-01-01,40.9
CV_VI_HAB,00,EU27,2000-01-01,49.9 
CV_VI_HAB,00,EU27,2001-01-01,47.8 
CV_VI_HAB,00,EU27,2002-01-01,46.9 
CV_VI_HAB,00,EU27,2003-01-01,45.1 
CV_VI_HAB,00,EU27,2004-01-01,44.7 
CV_VI_HAB,00,EU27,2005-01-01,44.1
CV_VI_HAB,00,EU27,2006-01-01,44.9
CV_VI_HAB,00,EU27,2007-01-01,43.9
CV_VI_HAB,00,EU27,2008-01-01,41.9
CV_VI_HAB,00,EU27,2009-01-01,41.5
CV_VI_HAB,00,EU27,2010-01-01,41.5
CV_VI_HAB,00,EU27,2011-01-01,42.1
CV_VI_HAB,00,EU27,2012-01-01,41.2
CV_VI_HAB,00,EU27,2013-01-01,41.1
CV_VI_HAB,00,EU27,2014-01-01,41.9
CV_VI_HAB,00,EU27,2015-01-01,42.9
CV_VI_HAB,00,EU27,2016-01-01,41.5
CV_VI_HAB,00,EU27,2017-01-01,40.3
CV_VI_HAB,00,EU28,2000-01-01,50.7 
CV_VI_HAB,00,EU28,2001-01-01,48.6 
CV_VI_HAB,00,EU28,2002-01-01,47.6 
CV_VI_HAB,00,EU28,2003-01-01,45.8 
CV_VI_HAB,00,EU28,2004-01-01,45.3 
CV_VI_HAB,00,EU28,2005-01-01,44.7
CV_VI_HAB,00,EU28,2006-01-01,45.4
CV_VI_HAB,00,EU28,2007-01-01,44.3
CV_VI_HAB,00,EU28,2008-01-01,42.3
CV_VI_HAB,00,EU28,2009-01-01,41.9
CV_VI_HAB,00,EU28,2010-01-01,42.0
CV_VI_HAB,00,EU28,2011-01-01,42.6
CV_VI_HAB,00,EU28,2012-01-01,41.7
CV_VI_HAB,00,EU28,2013-01-01,41.7
CV_VI_HAB,00,EU28,2014-01-01,42.5
CV_VI_HAB,00,EU28,2015-01-01,43.5
CV_VI_HAB,00,EU28,2016-01-01,42.1
CV_VI_HAB,00,EU28,2017-01-01,40.8
EXP_PPS_EU28_HAB,00,AL,2000-01-01,3400 
EXP_PPS_EU28_HAB,00,AL,2001-01-01,3700 
EXP_PPS_EU28_HAB,00,AL,2002-01-01,4000 
EXP_PPS_EU28_HAB,00,AL,2003-01-01,4200 
EXP_PPS_EU28_HAB,00,AL,2004-01-01,4600 
EXP_PPS_EU28_HAB,00,AL,2005-01-01,5000.0
EXP_PPS_EU28_HAB,00,AL,2006-01-01,5400.0
EXP_PPS_EU28_HAB,00,AL,2007-01-01,6000.0
EXP_PPS_EU28_HAB,00,AL,2008-01-01,6500.0
EXP_PPS_EU28_HAB,00,AL,2009-01-01,6700.0
EXP_PPS_EU28_HAB,00,AL,2010-01-01,7400.0
EXP_PPS_EU28_HAB,00,AL,2011-01-01,7700.0
EXP_PPS_EU28_HAB,00,AL,2012-01-01,8000.0
EXP_PPS_EU28_HAB,00,AL,2013-01-01,7800.0
EXP_PPS_EU28_HAB,00,AL,2014-01-01,8300.0
EXP_PPS_EU28_HAB,00,AL,2015-01-01,8600.0
EXP_PPS_EU28_HAB,00,AL,2016-01-01,8500.0
EXP_PPS_EU28_HAB,00,AL,2017-01-01,8700.0
