unit,geotime,date,value
PPS_HAB,AT,2000-01-01,19357.0
PPS_HAB,AT,2001-01-01,19156.0
PPS_HAB,AT,2002-01-01,19764.0
PPS_HAB,AT,2003-01-01,20421.0
PPS_HAB,AT,2004-01-01,21122.0
PPS_HAB,AT,2005-01-01,22582.0
PPS_HAB,AT,2006-01-01,23612.0
PPS_HAB,AT,2007-01-01,24320.0
PPS_HAB,AT,2008-01-01,24378.0
PPS_HAB,AT,2009-01-01,23870.0
PPS_HAB,AT,2010-01-01,24231.0
PPS_HAB,AT,2011-01-01,24587.0
PPS_HAB,AT,2012-01-01,25692.0
PPS_HAB,AT,2013-01-01,25652.0
PPS_HAB,AT,2014-01-01,26160.0
PPS_HAB,AT,2015-01-01,26966.0
PPS_HAB,AT,2016-01-01,26704.0
PPS_HAB,AT,2017-01-01,26730.0
PPS_HAB,BE,2000-01-01,18235.0
PPS_HAB,BE,2001-01-01,18897.0
PPS_HAB,BE,2002-01-01,19371.0
PPS_HAB,BE,2003-01-01,19348.0
PPS_HAB,BE,2004-01-01,19611.0
PPS_HAB,BE,2005-01-01,20399.0
PPS_HAB,BE,2006-01-01,21167.0
PPS_HAB,BE,2007-01-01,21689.0
PPS_HAB,BE,2008-01-01,22194.0
PPS_HAB,BE,2009-01-01,22057.0
PPS_HAB,BE,2010-01-01,22483.0
PPS_HAB,BE,2011-01-01,22781.0
PPS_HAB,BE,2012-01-01,23362.0
PPS_HAB,BE,2013-01-01,23640.0
PPS_HAB,BE,2014-01-01,24292.0
PPS_HAB,BE,2015-01-01,24775.0
PPS_HAB,BE,2016-01-01,24468.0
PPS_HAB,BE,2017-01-01,
PPS_HAB,BG,2000-01-01,4012.0
PPS_HAB,BG,2001-01-01,4079.0
PPS_HAB,BG,2002-01-01,4715.0
PPS_HAB,BG,2003-01-01,5048.0
PPS_HAB,BG,2004-01-01,5328.0
PPS_HAB,BG,2005-01-01,5779.0
PPS_HAB,BG,2006-01-01,6194.0
PPS_HAB,BG,2007-01-01,6687.0
PPS_HAB,BG,2008-01-01,7579.0
PPS_HAB,BG,2009-01-01,7364.0
PPS_HAB,BG,2010-01-01,7760.0
PPS_HAB,BG,2011-01-01,8349.0
PPS_HAB,BG,2012-01-01,8537.0
PPS_HAB,BG,2013-01-01,8954.0
PPS_HAB,BG,2014-01-01,9336.0
PPS_HAB,BG,2015-01-01,10285.0
PPS_HAB,BG,2016-01-01,11034.0
PPS_HAB,BG,2017-01-01,
PPS_HAB,CH,2000-01-01,20840.0
PPS_HAB,CH,2001-01-01,21491.0
PPS_HAB,CH,2002-01-01,21816.0
PPS_HAB,CH,2003-01-01,21423.0
PPS_HAB,CH,2004-01-01,21931.0
PPS_HAB,CH,2005-01-01,22780.0
PPS_HAB,CH,2006-01-01,24078.0
PPS_HAB,CH,2007-01-01,26174.0
PPS_HAB,CH,2008-01-01,26434.0
PPS_HAB,CH,2009-01-01,26134.0
PPS_HAB,CH,2010-01-01,25772.0
PPS_HAB,CH,2011-01-01,26488.0
PPS_HAB,CH,2012-01-01,27594.0
PPS_HAB,CH,2013-01-01,28340.0
PPS_HAB,CH,2014-01-01,28943.0
PPS_HAB,CH,2015-01-01,29241.0
PPS_HAB,CH,2016-01-01,29540.0
PPS_HAB,CH,2017-01-01,
PPS_HAB,CY,2000-01-01,13426.0
PPS_HAB,CY,2001-01-01,13849.0
PPS_HAB,CY,2002-01-01,13878.0
PPS_HAB,CY,2003-01-01,14506.0
PPS_HAB,CY,2004-01-01,15816.0
PPS_HAB,CY,2005-01-01,17365.0
PPS_HAB,CY,2006-01-01,18346.0
PPS_HAB,CY,2007-01-01,19899.0
PPS_HAB,CY,2008-01-01,20867.0
PPS_HAB,CY,2009-01-01,19395.0
PPS_HAB,CY,2010-01-01,19044.0
PPS_HAB,CY,2011-01-01,18769.0
PPS_HAB,CY,2012-01-01,18116.0
PPS_HAB,CY,2013-01-01,17581.0
PPS_HAB,CY,2014-01-01,16663.0
PPS_HAB,CY,2015-01-01,17554.0
PPS_HAB,CY,2016-01-01,18010.0
PPS_HAB,CY,2017-01-01,
PPS_HAB,CZ,2000-01-01,10047.0
PPS_HAB,CZ,2001-01-01,10803.0
PPS_HAB,CZ,2002-01-01,11014.0
PPS_HAB,CZ,2003-01-01,11507.0
PPS_HAB,CZ,2004-01-01,11961.0
PPS_HAB,CZ,2005-01-01,12584.0
PPS_HAB,CZ,2006-01-01,13107.0
PPS_HAB,CZ,2007-01-01,13947.0
PPS_HAB,CZ,2008-01-01,14248.0
PPS_HAB,CZ,2009-01-01,14538.0
PPS_HAB,CZ,2010-01-01,14807.0
PPS_HAB,CZ,2011-01-01,14826.0
PPS_HAB,CZ,2012-01-01,15054.0
PPS_HAB,CZ,2013-01-01,15461.0
PPS_HAB,CZ,2014-01-01,16395.0
PPS_HAB,CZ,2015-01-01,17164.0
PPS_HAB,CZ,2016-01-01,17145.0
PPS_HAB,CZ,2017-01-01,17576.0
PPS_HAB,DE,2000-01-01,19201.0
PPS_HAB,DE,2001-01-01,19933.0
PPS_HAB,DE,2002-01-01,20173.0
PPS_HAB,DE,2003-01-01,20766.0
PPS_HAB,DE,2004-01-01,21405.0
PPS_HAB,DE,2005-01-01,22055.0
PPS_HAB,DE,2006-01-01,22676.0
PPS_HAB,DE,2007-01-01,23506.0
PPS_HAB,DE,2008-01-01,23690.0
PPS_HAB,DE,2009-01-01,23274.0
PPS_HAB,DE,2010-01-01,24273.0
PPS_HAB,DE,2011-01-01,25213.0
PPS_HAB,DE,2012-01-01,26071.0
PPS_HAB,DE,2013-01-01,26202.0
PPS_HAB,DE,2014-01-01,27141.0
PPS_HAB,DE,2015-01-01,28084.0
PPS_HAB,DE,2016-01-01,27997.0
PPS_HAB,DE,2017-01-01,28473.0
PPS_HAB,DK,2000-01-01,14920.0
PPS_HAB,DK,2001-01-01,15329.0
PPS_HAB,DK,2002-01-01,16133.0
PPS_HAB,DK,2003-01-01,16216.0
PPS_HAB,DK,2004-01-01,16916.0
PPS_HAB,DK,2005-01-01,17542.0
PPS_HAB,DK,2006-01-01,18660.0
PPS_HAB,DK,2007-01-01,19610.0
PPS_HAB,DK,2008-01-01,19701.0
PPS_HAB,DK,2009-01-01,19840.0
PPS_HAB,DK,2010-01-01,21035.0
PPS_HAB,DK,2011-01-01,21430.0
PPS_HAB,DK,2012-01-01,21780.0
PPS_HAB,DK,2013-01-01,22126.0
PPS_HAB,DK,2014-01-01,22515.0
PPS_HAB,DK,2015-01-01,23826.0
PPS_HAB,DK,2016-01-01,23579.0
PPS_HAB,DK,2017-01-01,24125.0
PPS_HAB,EA19,2000-01-01,17023.0
PPS_HAB,EA19,2001-01-01,17779.0
PPS_HAB,EA19,2002-01-01,18321.0
PPS_HAB,EA19,2003-01-01,18451.0
PPS_HAB,EA19,2004-01-01,19026.0
PPS_HAB,EA19,2005-01-01,19774.0
PPS_HAB,EA19,2006-01-01,20581.0
PPS_HAB,EA19,2007-01-01,21323.0
PPS_HAB,EA19,2008-01-01,21484.0
PPS_HAB,EA19,2009-01-01,20972.0
PPS_HAB,EA19,2010-01-01,21387.0
PPS_HAB,EA19,2011-01-01,21699.0
PPS_HAB,EA19,2012-01-01,21934.0
PPS_HAB,EA19,2013-01-01,21997.0
PPS_HAB,EA19,2014-01-01,22516.0
PPS_HAB,EA19,2015-01-01,23357.0
PPS_HAB,EA19,2016-01-01,23275.0
PPS_HAB,EA19,2017-01-01,23634.0
PPS_HAB,EE,2000-01-01,6221.0
PPS_HAB,EE,2001-01-01,6430.0
PPS_HAB,EE,2002-01-01,6865.0
PPS_HAB,EE,2003-01-01,7368.0
PPS_HAB,EE,2004-01-01,8063.0
PPS_HAB,EE,2005-01-01,9006.0
PPS_HAB,EE,2006-01-01,9860.0
PPS_HAB,EE,2007-01-01,11215.0
PPS_HAB,EE,2008-01-01,12099.0
PPS_HAB,EE,2009-01-01,11373.0
PPS_HAB,EE,2010-01-01,11552.0
PPS_HAB,EE,2011-01-01,12303.0
PPS_HAB,EE,2012-01-01,13124.0
PPS_HAB,EE,2013-01-01,13477.0
PPS_HAB,EE,2014-01-01,14258.0
PPS_HAB,EE,2015-01-01,15192.0
PPS_HAB,EE,2016-01-01,15399.0
PPS_HAB,EE,2017-01-01,15963.0
PPS_HAB,EL,2000-01-01,13281.0
PPS_HAB,EL,2001-01-01,14200.0
PPS_HAB,EL,2002-01-01,15275.0
PPS_HAB,EL,2003-01-01,15840.0
PPS_HAB,EL,2004-01-01,16655.0
