indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,TOTAL,AT,2000-01-01,14.0
LI_GAP_MD60,T,TOTAL,AT,2001-01-01,19.0
LI_GAP_MD60,T,TOTAL,AT,2002-01-01,
LI_GAP_MD60,T,TOTAL,AT,2003-01-01,20.0
LI_GAP_MD60,T,TOTAL,AT,2004-01-01,19.6
LI_GAP_MD60,T,TOTAL,AT,2005-01-01,14.8
LI_GAP_MD60,T,TOTAL,AT,2006-01-01,15.5
LI_GAP_MD60,T,TOTAL,AT,2007-01-01,17.0
LI_GAP_MD60,T,TOTAL,AT,2008-01-01,19.9
LI_GAP_MD60,T,TOTAL,AT,2009-01-01,19.2
LI_GAP_MD60,T,TOTAL,AT,2010-01-01,21.8
LI_GAP_MD60,T,TOTAL,AT,2011-01-01,19.1
LI_GAP_MD60,T,TOTAL,AT,2012-01-01,20.1
LI_GAP_MD60,T,TOTAL,AT,2013-01-01,21.3
LI_GAP_MD60,T,TOTAL,AT,2014-01-01,20.1
LI_GAP_MD60,T,TOTAL,AT,2015-01-01,20.5
LI_GAP_MD60,T,TOTAL,AT,2016-01-01,19.8
LI_GAP_MD60,T,TOTAL,AT,2017-01-01,22.4
LI_GAP_MD60,T,TOTAL,BE,2000-01-01,17.0
LI_GAP_MD60,T,TOTAL,BE,2001-01-01,15.0
LI_GAP_MD60,T,TOTAL,BE,2002-01-01,
LI_GAP_MD60,T,TOTAL,BE,2003-01-01,21.8
LI_GAP_MD60,T,TOTAL,BE,2004-01-01,21.5
LI_GAP_MD60,T,TOTAL,BE,2005-01-01,17.8
LI_GAP_MD60,T,TOTAL,BE,2006-01-01,19.4
LI_GAP_MD60,T,TOTAL,BE,2007-01-01,17.8
LI_GAP_MD60,T,TOTAL,BE,2008-01-01,17.2
LI_GAP_MD60,T,TOTAL,BE,2009-01-01,18.1
LI_GAP_MD60,T,TOTAL,BE,2010-01-01,18.0
LI_GAP_MD60,T,TOTAL,BE,2011-01-01,18.6
LI_GAP_MD60,T,TOTAL,BE,2012-01-01,18.7
LI_GAP_MD60,T,TOTAL,BE,2013-01-01,19.2
LI_GAP_MD60,T,TOTAL,BE,2014-01-01,18.8
LI_GAP_MD60,T,TOTAL,BE,2015-01-01,17.4
LI_GAP_MD60,T,TOTAL,BE,2016-01-01,19.4
LI_GAP_MD60,T,TOTAL,BE,2017-01-01,17.7
LI_GAP_MD60,T,TOTAL,BG,2000-01-01,21.0
LI_GAP_MD60,T,TOTAL,BG,2001-01-01,21.0
LI_GAP_MD60,T,TOTAL,BG,2002-01-01,20.0
LI_GAP_MD60,T,TOTAL,BG,2003-01-01,
LI_GAP_MD60,T,TOTAL,BG,2004-01-01,
LI_GAP_MD60,T,TOTAL,BG,2005-01-01,
LI_GAP_MD60,T,TOTAL,BG,2006-01-01,28.1
LI_GAP_MD60,T,TOTAL,BG,2007-01-01,33.5
LI_GAP_MD60,T,TOTAL,BG,2008-01-01,27.0
LI_GAP_MD60,T,TOTAL,BG,2009-01-01,27.4
LI_GAP_MD60,T,TOTAL,BG,2010-01-01,29.6
LI_GAP_MD60,T,TOTAL,BG,2011-01-01,29.4
LI_GAP_MD60,T,TOTAL,BG,2012-01-01,31.4
LI_GAP_MD60,T,TOTAL,BG,2013-01-01,30.9
LI_GAP_MD60,T,TOTAL,BG,2014-01-01,33.2
LI_GAP_MD60,T,TOTAL,BG,2015-01-01,30.3
LI_GAP_MD60,T,TOTAL,BG,2016-01-01,30.4
LI_GAP_MD60,T,TOTAL,BG,2017-01-01,30.5
LI_GAP_MD60,T,TOTAL,CH,2000-01-01,
LI_GAP_MD60,T,TOTAL,CH,2001-01-01,
LI_GAP_MD60,T,TOTAL,CH,2002-01-01,
LI_GAP_MD60,T,TOTAL,CH,2003-01-01,
LI_GAP_MD60,T,TOTAL,CH,2004-01-01,
LI_GAP_MD60,T,TOTAL,CH,2005-01-01,
LI_GAP_MD60,T,TOTAL,CH,2006-01-01,
LI_GAP_MD60,T,TOTAL,CH,2007-01-01,23.6
LI_GAP_MD60,T,TOTAL,CH,2008-01-01,21.1
LI_GAP_MD60,T,TOTAL,CH,2009-01-01,21.7
LI_GAP_MD60,T,TOTAL,CH,2010-01-01,21.0
LI_GAP_MD60,T,TOTAL,CH,2011-01-01,21.6
LI_GAP_MD60,T,TOTAL,CH,2012-01-01,22.3
LI_GAP_MD60,T,TOTAL,CH,2013-01-01,19.1
LI_GAP_MD60,T,TOTAL,CH,2014-01-01,21.0
