hhtyp,incgrp,unit,geo\time,date,value
TOTAL,A_MD60,PC,AT,2003-01-01,20.0 
TOTAL,A_MD60,PC,AT,2004-01-01,21.3 
TOTAL,A_MD60,PC,AT,2005-01-01,20.0 
TOTAL,A_MD60,PC,AT,2006-01-01,18.4 
TOTAL,A_MD60,PC,AT,2007-01-01,19.1 
TOTAL,A_MD60,PC,AT,2008-01-01,21.4 b
TOTAL,A_MD60,PC,AT,2009-01-01,20.5 
TOTAL,A_MD60,PC,AT,2010-01-01,19.9 
TOTAL,A_MD60,PC,AT,2011-01-01,18.8 
TOTAL,A_MD60,PC,AT,2012-01-01,19.2 
TOTAL,A_MD60,PC,AT,2013-01-01,18.3
TOTAL,A_MD60,PC,AT,2014-01-01,17.2 
TOTAL,A_MD60,PC,AT,2015-01-01,17.0
TOTAL,A_MD60,PC,AT,2016-01-01,16.7 
TOTAL,A_MD60,PC,AT,2017-01-01,17.8 
TOTAL,A_MD60,PC,BE,2003-01-01,24.3 
TOTAL,A_MD60,PC,BE,2004-01-01,24.1 
TOTAL,A_MD60,PC,BE,2005-01-01,22.6 
TOTAL,A_MD60,PC,BE,2006-01-01,22.0 
TOTAL,A_MD60,PC,BE,2007-01-01,22.3 
TOTAL,A_MD60,PC,BE,2008-01-01,19.8 
TOTAL,A_MD60,PC,BE,2009-01-01,18.4 
TOTAL,A_MD60,PC,BE,2010-01-01,18.0 
TOTAL,A_MD60,PC,BE,2011-01-01,18.4 
TOTAL,A_MD60,PC,BE,2012-01-01,16.4 
TOTAL,A_MD60,PC,BE,2013-01-01,16.6
TOTAL,A_MD60,PC,BE,2014-01-01,16.9 
TOTAL,A_MD60,PC,BE,2015-01-01,16.6
TOTAL,A_MD60,PC,BE,2016-01-01,14.1 
TOTAL,A_MD60,PC,BE,2017-01-01,13.6 
TOTAL,A_MD60,PC,BG,2003-01-01,: 
TOTAL,A_MD60,PC,BG,2004-01-01,: 
TOTAL,A_MD60,PC,BG,2005-01-01,17.6 
TOTAL,A_MD60,PC,BG,2006-01-01,17.6 
TOTAL,A_MD60,PC,BG,2007-01-01,14.1 
TOTAL,A_MD60,PC,BG,2008-01-01,16.6 
TOTAL,A_MD60,PC,BG,2009-01-01,15.9 
TOTAL,A_MD60,PC,BG,2010-01-01,11.9 
TOTAL,A_MD60,PC,BG,2011-01-01,11.2 
TOTAL,A_MD60,PC,BG,2012-01-01,11.2 
TOTAL,A_MD60,PC,BG,2013-01-01,9.4
TOTAL,A_MD60,PC,BG,2014-01-01,10.7 
TOTAL,A_MD60,PC,BG,2015-01-01,8.6
TOTAL,A_MD60,PC,BG,2016-01-01,9.6 b
TOTAL,A_MD60,PC,BG,2017-01-01,8.9 
TOTAL,A_MD60,PC,CH,2003-01-01,: 
TOTAL,A_MD60,PC,CH,2004-01-01,: 
TOTAL,A_MD60,PC,CH,2005-01-01,: 
TOTAL,A_MD60,PC,CH,2006-01-01,: 
TOTAL,A_MD60,PC,CH,2007-01-01,20.5 
TOTAL,A_MD60,PC,CH,2008-01-01,17.8 
TOTAL,A_MD60,PC,CH,2009-01-01,17.7 
TOTAL,A_MD60,PC,CH,2010-01-01,16.6 
TOTAL,A_MD60,PC,CH,2011-01-01,16.8 
TOTAL,A_MD60,PC,CH,2012-01-01,18.4 
TOTAL,A_MD60,PC,CH,2013-01-01,15.3
TOTAL,A_MD60,PC,CH,2014-01-01,17.1 b
TOTAL,A_MD60,PC,CH,2015-01-01,17.0
TOTAL,A_MD60,PC,CH,2016-01-01,17.0 
TOTAL,A_MD60,PC,CH,2017-01-01,: 
TOTAL,A_MD60,PC,CY,2003-01-01,: 
TOTAL,A_MD60,PC,CY,2004-01-01,: 
TOTAL,A_MD60,PC,CY,2005-01-01,32.0 
TOTAL,A_MD60,PC,CY,2006-01-01,36.1 
TOTAL,A_MD60,PC,CY,2007-01-01,36.7 
TOTAL,A_MD60,PC,CY,2008-01-01,30.7 b
TOTAL,A_MD60,PC,CY,2009-01-01,30.5 
TOTAL,A_MD60,PC,CY,2010-01-01,29.6 
TOTAL,A_MD60,PC,CY,2011-01-01,27.7 
TOTAL,A_MD60,PC,CY,2012-01-01,26.5 
TOTAL,A_MD60,PC,CY,2013-01-01,25.7
TOTAL,A_MD60,PC,CY,2014-01-01,19.4 
TOTAL,A_MD60,PC,CY,2015-01-01,17.5
TOTAL,A_MD60,PC,CY,2016-01-01,15.3 
TOTAL,A_MD60,PC,CY,2017-01-01,16.7 
TOTAL,A_MD60,PC,CZ,2003-01-01,: 
TOTAL,A_MD60,PC,CZ,2004-01-01,: 
TOTAL,A_MD60,PC,CZ,2005-01-01,20.6 
TOTAL,A_MD60,PC,CZ,2006-01-01,18.5 
TOTAL,A_MD60,PC,CZ,2007-01-01,18.2 
TOTAL,A_MD60,PC,CZ,2008-01-01,17.5 
TOTAL,A_MD60,PC,CZ,2009-01-01,18.4 
TOTAL,A_MD60,PC,CZ,2010-01-01,16.4 
TOTAL,A_MD60,PC,CZ,2011-01-01,15.2 
TOTAL,A_MD60,PC,CZ,2012-01-01,14.2 
TOTAL,A_MD60,PC,CZ,2013-01-01,14.7
TOTAL,A_MD60,PC,CZ,2014-01-01,13.5 
TOTAL,A_MD60,PC,CZ,2015-01-01,13.4
TOTAL,A_MD60,PC,CZ,2016-01-01,14.0 
TOTAL,A_MD60,PC,CZ,2017-01-01,13.2 
TOTAL,A_MD60,PC,DE,2003-01-01,: 
TOTAL,A_MD60,PC,DE,2004-01-01,: 
TOTAL,A_MD60,PC,DE,2005-01-01,24.3 
TOTAL,A_MD60,PC,DE,2006-01-01,28.3 
TOTAL,A_MD60,PC,DE,2007-01-01,25.7 
TOTAL,A_MD60,PC,DE,2008-01-01,24.7 
TOTAL,A_MD60,PC,DE,2009-01-01,24.3 
TOTAL,A_MD60,PC,DE,2010-01-01,24.3 
TOTAL,A_MD60,PC,DE,2011-01-01,24.3 
TOTAL,A_MD60,PC,DE,2012-01-01,24.7 
TOTAL,A_MD60,PC,DE,2013-01-01,24.9
TOTAL,A_MD60,PC,DE,2014-01-01,24.4 
TOTAL,A_MD60,PC,DE,2015-01-01,24.0
TOTAL,A_MD60,PC,DE,2016-01-01,23.6 
TOTAL,A_MD60,PC,DE,2017-01-01,24.5 
TOTAL,A_MD60,PC,DK,2003-01-01,13.6 
TOTAL,A_MD60,PC,DK,2004-01-01,18.1 
TOTAL,A_MD60,PC,DK,2005-01-01,17.5 
TOTAL,A_MD60,PC,DK,2006-01-01,17.4 
TOTAL,A_MD60,PC,DK,2007-01-01,18.9 
TOTAL,A_MD60,PC,DK,2008-01-01,18.0 
TOTAL,A_MD60,PC,DK,2009-01-01,18.2 
TOTAL,A_MD60,PC,DK,2010-01-01,17.7 
TOTAL,A_MD60,PC,DK,2011-01-01,18.1 
TOTAL,A_MD60,PC,DK,2012-01-01,15.5 
TOTAL,A_MD60,PC,DK,2013-01-01,13.9
TOTAL,A_MD60,PC,DK,2014-01-01,14.8 
TOTAL,A_MD60,PC,DK,2015-01-01,14.8
TOTAL,A_MD60,PC,DK,2016-01-01,17.0 
TOTAL,A_MD60,PC,DK,2017-01-01,16.7 
TOTAL,A_MD60,PC,EA18,2003-01-01,: 
TOTAL,A_MD60,PC,EA18,2004-01-01,: 
TOTAL,A_MD60,PC,EA18,2005-01-01,24.0 
TOTAL,A_MD60,PC,EA18,2006-01-01,24.3 
TOTAL,A_MD60,PC,EA18,2007-01-01,23.6 
TOTAL,A_MD60,PC,EA18,2008-01-01,22.2 
TOTAL,A_MD60,PC,EA18,2009-01-01,22.4 
TOTAL,A_MD60,PC,EA18,2010-01-01,20.7 
TOTAL,A_MD60,PC,EA18,2011-01-01,20.0 
TOTAL,A_MD60,PC,EA18,2012-01-01,19.0 
TOTAL,A_MD60,PC,EA18,2013-01-01,19.4
TOTAL,A_MD60,PC,EA18,2014-01-01,18.8 
TOTAL,A_MD60,PC,EA18,2015-01-01,18.6
TOTAL,A_MD60,PC,EA18,2016-01-01,18.3 
TOTAL,A_MD60,PC,EA18,2017-01-01,17.7 e
TOTAL,A_MD60,PC,EA19,2003-01-01,: 
TOTAL,A_MD60,PC,EA19,2004-01-01,: 
TOTAL,A_MD60,PC,EA19,2005-01-01,24.0 
TOTAL,A_MD60,PC,EA19,2006-01-01,24.3 
TOTAL,A_MD60,PC,EA19,2007-01-01,23.6 
TOTAL,A_MD60,PC,EA19,2008-01-01,22.1 
TOTAL,A_MD60,PC,EA19,2009-01-01,22.4 
TOTAL,A_MD60,PC,EA19,2010-01-01,20.6 
TOTAL,A_MD60,PC,EA19,2011-01-01,19.9 
TOTAL,A_MD60,PC,EA19,2012-01-01,19.0 
TOTAL,A_MD60,PC,EA19,2013-01-01,19.3
TOTAL,A_MD60,PC,EA19,2014-01-01,18.7 
TOTAL,A_MD60,PC,EA19,2015-01-01,18.5
TOTAL,A_MD60,PC,EA19,2016-01-01,18.2 
TOTAL,A_MD60,PC,EA19,2017-01-01,17.7 e
TOTAL,A_MD60,PC,EE,2003-01-01,: 
TOTAL,A_MD60,PC,EE,2004-01-01,49.6 
TOTAL,A_MD60,PC,EE,2005-01-01,21.9 
TOTAL,A_MD60,PC,EE,2006-01-01,22.3 
TOTAL,A_MD60,PC,EE,2007-01-01,23.8 
TOTAL,A_MD60,PC,EE,2008-01-01,18.6 
TOTAL,A_MD60,PC,EE,2009-01-01,13.1 b
TOTAL,A_MD60,PC,EE,2010-01-01,10.5 
TOTAL,A_MD60,PC,EE,2011-01-01,12.0 
TOTAL,A_MD60,PC,EE,2012-01-01,12.3 
TOTAL,A_MD60,PC,EE,2013-01-01,10.9
TOTAL,A_MD60,PC,EE,2014-01-01,10.2 b
TOTAL,A_MD60,PC,EE,2015-01-01,9.4
TOTAL,A_MD60,PC,EE,2016-01-01,10.1 
TOTAL,A_MD60,PC,EE,2017-01-01,7.8 
TOTAL,A_MD60,PC,EL,2003-01-01,21.6 
TOTAL,A_MD60,PC,EL,2004-01-01,19.4 
TOTAL,A_MD60,PC,EL,2005-01-01,21.5 
TOTAL,A_MD60,PC,EL,2006-01-01,20.9 
TOTAL,A_MD60,PC,EL,2007-01-01,22.6 
TOTAL,A_MD60,PC,EL,2008-01-01,23.3 
TOTAL,A_MD60,PC,EL,2009-01-01,24.5 
TOTAL,A_MD60,PC,EL,2010-01-01,24.3 
TOTAL,A_MD60,PC,EL,2011-01-01,25.7 
TOTAL,A_MD60,PC,EL,2012-01-01,25.6 
TOTAL,A_MD60,PC,EL,2013-01-01,24.4
TOTAL,A_MD60,PC,EL,2014-01-01,20.8 
TOTAL,A_MD60,PC,EL,2015-01-01,19.8
TOTAL,A_MD60,PC,EL,2016-01-01,20.9 
TOTAL,A_MD60,PC,EL,2017-01-01,21.0 
TOTAL,A_MD60,PC,ES,2003-01-01,: 
TOTAL,A_MD60,PC,ES,2004-01-01,25.4 
TOTAL,A_MD60,PC,ES,2005-01-01,29.0 
TOTAL,A_MD60,PC,ES,2006-01-01,27.1 
TOTAL,A_MD60,PC,ES,2007-01-01,25.6 
TOTAL,A_MD60,PC,ES,2008-01-01,21.9 
TOTAL,A_MD60,PC,ES,2009-01-01,22.6 b
TOTAL,A_MD60,PC,ES,2010-01-01,18.6 
TOTAL,A_MD60,PC,ES,2011-01-01,15.6 
TOTAL,A_MD60,PC,ES,2012-01-01,14.4 
TOTAL,A_MD60,PC,ES,2013-01-01,18.4
TOTAL,A_MD60,PC,ES,2014-01-01,15.4 
TOTAL,A_MD60,PC,ES,2015-01-01,15.5
TOTAL,A_MD60,PC,ES,2016-01-01,15.1 
TOTAL,A_MD60,PC,ES,2017-01-01,14.4 
TOTAL,A_MD60,PC,EU,2003-01-01,: 
TOTAL,A_MD60,PC,EU,2004-01-01,: 
TOTAL,A_MD60,PC,EU,2005-01-01,: 
TOTAL,A_MD60,PC,EU,2006-01-01,: 
TOTAL,A_MD60,PC,EU,2007-01-01,: 
TOTAL,A_MD60,PC,EU,2008-01-01,: 
TOTAL,A_MD60,PC,EU,2009-01-01,: 
TOTAL,A_MD60,PC,EU,2010-01-01,: 
TOTAL,A_MD60,PC,EU,2011-01-01,19.2 
TOTAL,A_MD60,PC,EU,2012-01-01,18.1 
TOTAL,A_MD60,PC,EU,2013-01-01,18.2
TOTAL,A_MD60,PC,EU,2014-01-01,17.7 
TOTAL,A_MD60,PC,EU,2015-01-01,17.4
TOTAL,A_MD60,PC,EU,2016-01-01,: 
TOTAL,A_MD60,PC,EU,2017-01-01,16.8 
TOTAL,A_MD60,PC,EU27,2003-01-01,: 
TOTAL,A_MD60,PC,EU27,2004-01-01,: 
TOTAL,A_MD60,PC,EU27,2005-01-01,: 
TOTAL,A_MD60,PC,EU27,2006-01-01,: 
TOTAL,A_MD60,PC,EU27,2007-01-01,22.6 
TOTAL,A_MD60,PC,EU27,2008-01-01,21.3 
TOTAL,A_MD60,PC,EU27,2009-01-01,21.7 
TOTAL,A_MD60,PC,EU27,2010-01-01,20.1 
TOTAL,A_MD60,PC,EU27,2011-01-01,19.2 
TOTAL,A_MD60,PC,EU27,2012-01-01,18.2 
TOTAL,A_MD60,PC,EU27,2013-01-01,18.3
TOTAL,A_MD60,PC,EU27,2014-01-01,17.8 
TOTAL,A_MD60,PC,EU27,2015-01-01,17.5
TOTAL,A_MD60,PC,EU27,2016-01-01,17.4 
TOTAL,A_MD60,PC,EU27,2017-01-01,16.9 e
TOTAL,A_MD60,PC,EU28,2003-01-01,: 
TOTAL,A_MD60,PC,EU28,2004-01-01,: 
TOTAL,A_MD60,PC,EU28,2005-01-01,: 
TOTAL,A_MD60,PC,EU28,2006-01-01,: 
TOTAL,A_MD60,PC,EU28,2007-01-01,: 
TOTAL,A_MD60,PC,EU28,2008-01-01,: 
TOTAL,A_MD60,PC,EU28,2009-01-01,: 
TOTAL,A_MD60,PC,EU28,2010-01-01,20.0 
TOTAL,A_MD60,PC,EU28,2011-01-01,19.2 
TOTAL,A_MD60,PC,EU28,2012-01-01,18.1 
TOTAL,A_MD60,PC,EU28,2013-01-01,18.2
TOTAL,A_MD60,PC,EU28,2014-01-01,17.8 
TOTAL,A_MD60,PC,EU28,2015-01-01,17.4
TOTAL,A_MD60,PC,EU28,2016-01-01,17.3 
TOTAL,A_MD60,PC,EU28,2017-01-01,16.8 e
TOTAL,A_MD60,PC,FI,2003-01-01,: 
TOTAL,A_MD60,PC,FI,2004-01-01,15.4 
TOTAL,A_MD60,PC,FI,2005-01-01,15.8 
TOTAL,A_MD60,PC,FI,2006-01-01,16.1 
TOTAL,A_MD60,PC,FI,2007-01-01,15.6 
TOTAL,A_MD60,PC,FI,2008-01-01,14.8 
TOTAL,A_MD60,PC,FI,2009-01-01,14.2 
TOTAL,A_MD60,PC,FI,2010-01-01,12.2 
TOTAL,A_MD60,PC,FI,2011-01-01,12.4 
TOTAL,A_MD60,PC,FI,2012-01-01,13.5 
TOTAL,A_MD60,PC,FI,2013-01-01,12.7
TOTAL,A_MD60,PC,FI,2014-01-01,12.3 
TOTAL,A_MD60,PC,FI,2015-01-01,10.9
TOTAL,A_MD60,PC,FI,2016-01-01,11.4 
TOTAL,A_MD60,PC,FI,2017-01-01,11.5 
TOTAL,A_MD60,PC,FR,2003-01-01,: 
TOTAL,A_MD60,PC,FR,2004-01-01,22.7 
TOTAL,A_MD60,PC,FR,2005-01-01,19.2 
TOTAL,A_MD60,PC,FR,2006-01-01,18.2 
TOTAL,A_MD60,PC,FR,2007-01-01,18.2 
TOTAL,A_MD60,PC,FR,2008-01-01,16.8 
TOTAL,A_MD60,PC,FR,2009-01-01,18.4 
TOTAL,A_MD60,PC,FR,2010-01-01,17.4 
TOTAL,A_MD60,PC,FR,2011-01-01,17.3 
TOTAL,A_MD60,PC,FR,2012-01-01,15.9 
TOTAL,A_MD60,PC,FR,2013-01-01,15.1
TOTAL,A_MD60,PC,FR,2014-01-01,15.6 
TOTAL,A_MD60,PC,FR,2015-01-01,15.2
TOTAL,A_MD60,PC,FR,2016-01-01,16.6 
TOTAL,A_MD60,PC,FR,2017-01-01,15.6 
TOTAL,A_MD60,PC,HR,2003-01-01,: 
TOTAL,A_MD60,PC,HR,2004-01-01,: 
TOTAL,A_MD60,PC,HR,2005-01-01,: 
TOTAL,A_MD60,PC,HR,2006-01-01,: 
TOTAL,A_MD60,PC,HR,2007-01-01,: 
TOTAL,A_MD60,PC,HR,2008-01-01,: 
TOTAL,A_MD60,PC,HR,2009-01-01,: 
TOTAL,A_MD60,PC,HR,2010-01-01,12.3 
TOTAL,A_MD60,PC,HR,2011-01-01,11.1 
TOTAL,A_MD60,PC,HR,2012-01-01,10.2 
TOTAL,A_MD60,PC,HR,2013-01-01,10.3
TOTAL,A_MD60,PC,HR,2014-01-01,9.6 
TOTAL,A_MD60,PC,HR,2015-01-01,8.8
TOTAL,A_MD60,PC,HR,2016-01-01,8.8 
TOTAL,A_MD60,PC,HR,2017-01-01,: 
TOTAL,A_MD60,PC,HU,2003-01-01,: 
TOTAL,A_MD60,PC,HU,2004-01-01,: 
TOTAL,A_MD60,PC,HU,2005-01-01,21.3 
TOTAL,A_MD60,PC,HU,2006-01-01,16.9 
TOTAL,A_MD60,PC,HU,2007-01-01,14.3 
TOTAL,A_MD60,PC,HU,2008-01-01,11.6 
TOTAL,A_MD60,PC,HU,2009-01-01,12.5 
TOTAL,A_MD60,PC,HU,2010-01-01,10.9 
TOTAL,A_MD60,PC,HU,2011-01-01,9.5 
