airpol,geo\time,date,value
PM10,AT,2000-01-01,25.9 
PM10,AT,2001-01-01,33.2 
PM10,AT,2002-01-01,25.4 
PM10,AT,2003-01-01,31.8 
PM10,AT,2004-01-01,25.3 
PM10,AT,2005-01-01,28.9 
PM10,AT,2006-01-01,30.4 
PM10,AT,2007-01-01,23.3 
PM10,AT,2008-01-01,22.6 
PM10,AT,2009-01-01,23.9 
PM10,AT,2010-01-01,26.9 
PM10,AT,2011-01-01,27.1 
PM10,AT,2012-01-01,22.5 
PM10,AT,2013-01-01,24.2 
PM10,AT,2014-01-01,21.1 
PM10,AT,2015-01-01,20.2 
PM10,AT,2016-01-01,: 
PM10,BE,2000-01-01,32.6 
PM10,BE,2001-01-01,33.9 
PM10,BE,2002-01-01,33 
PM10,BE,2003-01-01,36.1 
PM10,BE,2004-01-01,31.4 
PM10,BE,2005-01-01,29.8 
PM10,BE,2006-01-01,30.8 
PM10,BE,2007-01-01,26.2 
PM10,BE,2008-01-01,26.1 
PM10,BE,2009-01-01,29 
PM10,BE,2010-01-01,27 
PM10,BE,2011-01-01,26.7 
PM10,BE,2012-01-01,24.8 
PM10,BE,2013-01-01,25 
PM10,BE,2014-01-01,22.3 
PM10,BE,2015-01-01,21 
PM10,BE,2016-01-01,: 
PM10,BG,2000-01-01,20.4 
PM10,BG,2001-01-01,28.6 
PM10,BG,2002-01-01,: 
PM10,BG,2003-01-01,58.7 
PM10,BG,2004-01-01,51.9 
PM10,BG,2005-01-01,49.8 
PM10,BG,2006-01-01,53.6 
PM10,BG,2007-01-01,53.7 
PM10,BG,2008-01-01,60.4 
PM10,BG,2009-01-01,54 
PM10,BG,2010-01-01,48.4 
PM10,BG,2011-01-01,57.3 
PM10,BG,2012-01-01,45.9 
PM10,BG,2013-01-01,43.7 
PM10,BG,2014-01-01,41.2 
PM10,BG,2015-01-01,36.2 
PM10,BG,2016-01-01,: 
PM10,CH,2000-01-01,22.4 
PM10,CH,2001-01-01,22.5 
PM10,CH,2002-01-01,23.2 
PM10,CH,2003-01-01,26.7 
PM10,CH,2004-01-01,21.8 
PM10,CH,2005-01-01,22.5 
PM10,CH,2006-01-01,24.9 
PM10,CH,2007-01-01,20.5 
PM10,CH,2008-01-01,20.1 
PM10,CH,2009-01-01,20.5 
PM10,CH,2010-01-01,20.3 
PM10,CH,2011-01-01,21.3 
PM10,CH,2012-01-01,18.4 
PM10,CH,2013-01-01,18.9 
PM10,CH,2014-01-01,: 
PM10,CH,2015-01-01,17.4 
PM10,CH,2016-01-01,: 
PM10,CY,2000-01-01,: 
PM10,CY,2001-01-01,: 
PM10,CY,2002-01-01,: 
PM10,CY,2003-01-01,: 
PM10,CY,2004-01-01,: 
PM10,CY,2005-01-01,: 
PM10,CY,2006-01-01,: 
PM10,CY,2007-01-01,: 
PM10,CY,2008-01-01,: 
PM10,CY,2009-01-01,: 
PM10,CY,2010-01-01,48 
PM10,CY,2011-01-01,35.7 
PM10,CY,2012-01-01,36.4 
PM10,CY,2013-01-01,37.4 
PM10,CY,2014-01-01,32.4 
PM10,CY,2015-01-01,35.2 
PM10,CY,2016-01-01,: 
PM10,CZ,2000-01-01,30.2 
PM10,CZ,2001-01-01,32.7 
PM10,CZ,2002-01-01,39.2 
PM10,CZ,2003-01-01,41.9 
PM10,CZ,2004-01-01,34.4 
PM10,CZ,2005-01-01,34.9 
PM10,CZ,2006-01-01,35.8 
PM10,CZ,2007-01-01,27.3 
PM10,CZ,2008-01-01,25.9 
PM10,CZ,2009-01-01,26.8 
PM10,CZ,2010-01-01,29.9 
PM10,CZ,2011-01-01,29.2 
PM10,CZ,2012-01-01,27.2 
PM10,CZ,2013-01-01,27.3 
PM10,CZ,2014-01-01,27.7 
PM10,CZ,2015-01-01,24.3 
PM10,CZ,2016-01-01,: 
PM10,DE,2000-01-01,26.1 
PM10,DE,2001-01-01,25 
PM10,DE,2002-01-01,26.3 
PM10,DE,2003-01-01,29.1 
PM10,DE,2004-01-01,23.6 
PM10,DE,2005-01-01,24.3 
PM10,DE,2006-01-01,26 
PM10,DE,2007-01-01,22.4 
PM10,DE,2008-01-01,21.1 
PM10,DE,2009-01-01,22.5 
PM10,DE,2010-01-01,23.1 
PM10,DE,2011-01-01,22.9 
PM10,DE,2012-01-01,19.8 
PM10,DE,2013-01-01,20.3 
PM10,DE,2014-01-01,20.1 
PM10,DE,2015-01-01,18.8 
PM10,DE,2016-01-01,: 
PM10,DK,2000-01-01,: 
PM10,DK,2001-01-01,: 
PM10,DK,2002-01-01,24.1 
PM10,DK,2003-01-01,24.5 
PM10,DK,2004-01-01,19.5 
PM10,DK,2005-01-01,23.4 
PM10,DK,2006-01-01,27.2 
PM10,DK,2007-01-01,21.9 
PM10,DK,2008-01-01,21.4 
PM10,DK,2009-01-01,17 
PM10,DK,2010-01-01,12.1 
PM10,DK,2011-01-01,: 
PM10,DK,2012-01-01,17.4 
PM10,DK,2013-01-01,15.9 
PM10,DK,2014-01-01,18.7 
PM10,DK,2015-01-01,18.3 
PM10,DK,2016-01-01,: 
PM10,EE,2000-01-01,: 
PM10,EE,2001-01-01,18.2 
PM10,EE,2002-01-01,21.3 
PM10,EE,2003-01-01,19.4 
PM10,EE,2004-01-01,17.6 
PM10,EE,2005-01-01,20.7 
PM10,EE,2006-01-01,22.7 
PM10,EE,2007-01-01,18.6 
PM10,EE,2008-01-01,11.1 
PM10,EE,2009-01-01,13.3 
PM10,EE,2010-01-01,13.9 
PM10,EE,2011-01-01,12.5 
PM10,EE,2012-01-01,12.7 
PM10,EE,2013-01-01,13.8 
PM10,EE,2014-01-01,15.3 
PM10,EE,2015-01-01,13 
PM10,EE,2016-01-01,: 
PM10,EL,2000-01-01,: 
PM10,EL,2001-01-01,47.3 
PM10,EL,2002-01-01,44.8 
PM10,EL,2003-01-01,43.2 
PM10,EL,2004-01-01,45.1 
PM10,EL,2005-01-01,41.1 
PM10,EL,2006-01-01,42.5 
PM10,EL,2007-01-01,37.8 
PM10,EL,2008-01-01,41.6 
PM10,EL,2009-01-01,34.2 
PM10,EL,2010-01-01,33.4 
PM10,EL,2011-01-01,26.4 
PM10,EL,2012-01-01,30 
PM10,EL,2013-01-01,34.4 
PM10,EL,2014-01-01,25.8 
PM10,EL,2015-01-01,26.5 
PM10,EL,2016-01-01,: 
PM10,ES,2000-01-01,38.7 
PM10,ES,2001-01-01,31.9 
PM10,ES,2002-01-01,35.2 
PM10,ES,2003-01-01,35.6 
PM10,ES,2004-01-01,33.7 
PM10,ES,2005-01-01,33.5 
PM10,ES,2006-01-01,34.8 
PM10,ES,2007-01-01,33 
PM10,ES,2008-01-01,28.4 
PM10,ES,2009-01-01,26.9 
PM10,ES,2010-01-01,23.8 
PM10,ES,2011-01-01,24.3 
PM10,ES,2012-01-01,23.7 
PM10,ES,2013-01-01,20.2 
PM10,ES,2014-01-01,21.3 
PM10,ES,2015-01-01,23.6 
PM10,ES,2016-01-01,: 
PM10,EU28,2000-01-01,28.7 
PM10,EU28,2001-01-01,27.5 
PM10,EU28,2002-01-01,28 
PM10,EU28,2003-01-01,30.5 
PM10,EU28,2004-01-01,27.3 
PM10,EU28,2005-01-01,28.4 
PM10,EU28,2006-01-01,30.2 
PM10,EU28,2007-01-01,28.8 
PM10,EU28,2008-01-01,26.5 
PM10,EU28,2009-01-01,26.5 
PM10,EU28,2010-01-01,26.2 
PM10,EU28,2011-01-01,27.3 
PM10,EU28,2012-01-01,24.8 
PM10,EU28,2013-01-01,24 
PM10,EU28,2014-01-01,22.5 
PM10,EU28,2015-01-01,22.8 
PM10,EU28,2016-01-01,: 
PM10,FI,2000-01-01,14.7 
PM10,FI,2001-01-01,15.3 
PM10,FI,2002-01-01,15.9 
PM10,FI,2003-01-01,15.3 
PM10,FI,2004-01-01,13.5 
PM10,FI,2005-01-01,14.8 
PM10,FI,2006-01-01,15.7 
PM10,FI,2007-01-01,15.6 
