indic_env,unit,geo,hazard\time,date,value
CONS,MIO_T,EU28,ENV,2004-01-01,85.6
CONS,MIO_T,EU28,ENV,2005-01-01,93.0
CONS,MIO_T,EU28,ENV,2006-01-01,92.2
CONS,MIO_T,EU28,ENV,2007-01-01,95.3
CONS,MIO_T,EU28,ENV,2008-01-01,94.8
CONS,MIO_T,EU28,ENV,2009-01-01,76.7
CONS,MIO_T,EU28,ENV,2010-01-01,88.2
CONS,MIO_T,EU28,ENV,2011-01-01,85.5
CONS,MIO_T,EU28,ENV,2012-01-01,80.2
CONS,MIO_T,EU28,ENV,2013-01-01,80.5
CONS,MIO_T,EU28,ENV,2014-01-01,78.7
CONS,MIO_T,EU28,ENV,2015-01-01,74.9
CONS,MIO_T,EU28,ENV,2016-01-01,71.2
CONS,MIO_T,EU28,ENV,2017-01-01,68.6
CONS,MIO_T,EU28,HAZ_NHAZ,2004-01-01,334.2
CONS,MIO_T,EU28,HAZ_NHAZ,2005-01-01,346.1
CONS,MIO_T,EU28,HAZ_NHAZ,2006-01-01,350.2
CONS,MIO_T,EU28,HAZ_NHAZ,2007-01-01,360.7
CONS,MIO_T,EU28,HAZ_NHAZ,2008-01-01,336.8
CONS,MIO_T,EU28,HAZ_NHAZ,2009-01-01,286.7
CONS,MIO_T,EU28,HAZ_NHAZ,2010-01-01,327.8
CONS,MIO_T,EU28,HAZ_NHAZ,2011-01-01,315.7
CONS,MIO_T,EU28,HAZ_NHAZ,2012-01-01,308.5
CONS,MIO_T,EU28,HAZ_NHAZ,2013-01-01,309.0
CONS,MIO_T,EU28,HAZ_NHAZ,2014-01-01,312.6
CONS,MIO_T,EU28,HAZ_NHAZ,2015-01-01,309.6
CONS,MIO_T,EU28,HAZ_NHAZ,2016-01-01,303.9
CONS,MIO_T,EU28,HAZ_NHAZ,2017-01-01,307.9
CONS,MIO_T,EU28,HLTH,2004-01-01,250.4
CONS,MIO_T,EU28,HLTH,2005-01-01,259.9
CONS,MIO_T,EU28,HLTH,2006-01-01,260.9
CONS,MIO_T,EU28,HLTH,2007-01-01,267.7
CONS,MIO_T,EU28,HLTH,2008-01-01,255.0
CONS,MIO_T,EU28,HLTH,2009-01-01,214.2
CONS,MIO_T,EU28,HLTH,2010-01-01,245.2
CONS,MIO_T,EU28,HLTH,2011-01-01,235.4
CONS,MIO_T,EU28,HLTH,2012-01-01,226.6
CONS,MIO_T,EU28,HLTH,2013-01-01,225.9
CONS,MIO_T,EU28,HLTH,2014-01-01,227.3
CONS,MIO_T,EU28,HLTH,2015-01-01,222.4
CONS,MIO_T,EU28,HLTH,2016-01-01,217.8
CONS,MIO_T,EU28,HLTH,2017-01-01,219.7
