indic_env,geotime,date,value
GHG_I90,AT,1990-01-01,100
GHG_I90,AT,1991-01-01,104
GHG_I90,AT,1992-01-01,96
GHG_I90,AT,1993-01-01,96
GHG_I90,AT,1994-01-01,97
GHG_I90,AT,1995-01-01,101
GHG_I90,AT,1996-01-01,106
GHG_I90,AT,1997-01-01,105
GHG_I90,AT,1998-01-01,104
GHG_I90,AT,1999-01-01,102
GHG_I90,AT,2000-01-01,103
GHG_I90,AT,2001-01-01,108
GHG_I90,AT,2002-01-01,
GHG_I90,AT,2003-01-01,
GHG_I90,AT,2004-01-01,
GHG_I90,AT,2005-01-01,
GHG_I90,AT,2006-01-01,
GHG_I90,AT,2007-01-01,
GHG_I90,AT,2008-01-01,112
GHG_I90,AT,2009-01-01,
GHG_I90,AT,2010-01-01,109
GHG_I90,AT,2011-01-01,106
GHG_I90,AT,2012-01-01,103
GHG_I90,AT,2013-01-01,103
GHG_I90,AT,2014-01-01,98
GHG_I90,AT,2015-01-01,101
GHG_I90,AT,2016-01-01,103
GHG_I90,BE,1990-01-01,100
GHG_I90,BE,1991-01-01,101
GHG_I90,BE,1992-01-01,101
GHG_I90,BE,1993-01-01,100
GHG_I90,BE,1994-01-01,103
GHG_I90,BE,1995-01-01,105
GHG_I90,BE,1996-01-01,108
GHG_I90,BE,1997-01-01,102
GHG_I90,BE,1998-01-01,106
GHG_I90,BE,1999-01-01,102
GHG_I90,BE,2000-01-01,103
GHG_I90,BE,2001-01-01,101
GHG_I90,BE,2002-01-01,
GHG_I90,BE,2003-01-01,
GHG_I90,BE,2004-01-01,
GHG_I90,BE,2005-01-01,
GHG_I90,BE,2006-01-01,
GHG_I90,BE,2007-01-01,
GHG_I90,BE,2008-01-01,95
GHG_I90,BE,2009-01-01,
GHG_I90,BE,2010-01-01,91
GHG_I90,BE,2011-01-01,84
GHG_I90,BE,2012-01-01,82
GHG_I90,BE,2013-01-01,82
GHG_I90,BE,2014-01-01,78
GHG_I90,BE,2015-01-01,81
GHG_I90,BE,2016-01-01,81
GHG_I90,BG,1990-01-01,100
GHG_I90,BG,1991-01-01,79
GHG_I90,BG,1992-01-01,75
GHG_I90,BG,1993-01-01,74
GHG_I90,BG,1994-01-01,70
GHG_I90,BG,1995-01-01,72
GHG_I90,BG,1996-01-01,72
GHG_I90,BG,1997-01-01,68
GHG_I90,BG,1998-01-01,64
GHG_I90,BG,1999-01-01,58
GHG_I90,BG,2000-01-01,57
GHG_I90,BG,2001-01-01,60
GHG_I90,BG,2002-01-01,
GHG_I90,BG,2003-01-01,
GHG_I90,BG,2004-01-01,
GHG_I90,BG,2005-01-01,
GHG_I90,BG,2006-01-01,
GHG_I90,BG,2007-01-01,
GHG_I90,BG,2008-01-01,64
GHG_I90,BG,2009-01-01,
GHG_I90,BG,2010-01-01,58
GHG_I90,BG,2011-01-01,63
GHG_I90,BG,2012-01-01,58
GHG_I90,BG,2013-01-01,53
GHG_I90,BG,2014-01-01,56
GHG_I90,BG,2015-01-01,59
GHG_I90,BG,2016-01-01,57
GHG_I90,CH,1990-01-01,100
GHG_I90,CH,1991-01-01,103
GHG_I90,CH,1992-01-01,103
GHG_I90,CH,1993-01-01,98
GHG_I90,CH,1994-01-01,97
GHG_I90,CH,1995-01-01,98
GHG_I90,CH,1996-01-01,100
GHG_I90,CH,1997-01-01,98
GHG_I90,CH,1998-01-01,101
GHG_I90,CH,1999-01-01,101
GHG_I90,CH,2000-01-01,100
GHG_I90,CH,2001-01-01,103
GHG_I90,CH,2002-01-01,
GHG_I90,CH,2003-01-01,
GHG_I90,CH,2004-01-01,
GHG_I90,CH,2005-01-01,
GHG_I90,CH,2006-01-01,
GHG_I90,CH,2007-01-01,
GHG_I90,CH,2008-01-01,102
GHG_I90,CH,2009-01-01,
GHG_I90,CH,2010-01-01,103
GHG_I90,CH,2011-01-01,96
GHG_I90,CH,2012-01-01,99
GHG_I90,CH,2013-01-01,100
GHG_I90,CH,2014-01-01,93
GHG_I90,CH,2015-01-01,93
GHG_I90,CH,2016-01-01,94
GHG_I90,CY,1990-01-01,100
GHG_I90,CY,1991-01-01,110
GHG_I90,CY,1992-01-01,116
GHG_I90,CY,1993-01-01,119
GHG_I90,CY,1994-01-01,123
GHG_I90,CY,1995-01-01,123
GHG_I90,CY,1996-01-01,128
GHG_I90,CY,1997-01-01,129
GHG_I90,CY,1998-01-01,135
GHG_I90,CY,1999-01-01,139
GHG_I90,CY,2000-01-01,144
GHG_I90,CY,2001-01-01,145
GHG_I90,CY,2002-01-01,
GHG_I90,CY,2003-01-01,
GHG_I90,CY,2004-01-01,
GHG_I90,CY,2005-01-01,
GHG_I90,CY,2006-01-01,
GHG_I90,CY,2007-01-01,
GHG_I90,CY,2008-01-01,171
GHG_I90,CY,2009-01-01,
GHG_I90,CY,2010-01-01,162
GHG_I90,CY,2011-01-01,158
GHG_I90,CY,2012-01-01,149
GHG_I90,CY,2013-01-01,137
GHG_I90,CY,2014-01-01,143
GHG_I90,CY,2015-01-01,143
GHG_I90,CY,2016-01-01,152
GHG_I90,CZ,1990-01-01,100
GHG_I90,CZ,1991-01-01,90
GHG_I90,CZ,1992-01-01,87
GHG_I90,CZ,1993-01-01,83
GHG_I90,CZ,1994-01-01,79
GHG_I90,CZ,1995-01-01,79
GHG_I90,CZ,1996-01-01,80
GHG_I90,CZ,1997-01-01,78
GHG_I90,CZ,1998-01-01,75
GHG_I90,CZ,1999-01-01,70
GHG_I90,CZ,2000-01-01,75
GHG_I90,CZ,2001-01-01,75
GHG_I90,CZ,2002-01-01,
GHG_I90,CZ,2003-01-01,
GHG_I90,CZ,2004-01-01,
GHG_I90,CZ,2005-01-01,
GHG_I90,CZ,2006-01-01,
GHG_I90,CZ,2007-01-01,
GHG_I90,CZ,2008-01-01,73
GHG_I90,CZ,2009-01-01,
GHG_I90,CZ,2010-01-01,70
GHG_I90,CZ,2011-01-01,69
GHG_I90,CZ,2012-01-01,67
GHG_I90,CZ,2013-01-01,65
GHG_I90,CZ,2014-01-01,64
GHG_I90,CZ,2015-01-01,64
GHG_I90,CZ,2016-01-01,65
GHG_I90,DE,1990-01-01,100
GHG_I90,DE,1991-01-01,96
GHG_I90,DE,1992-01-01,92
GHG_I90,DE,1993-01-01,91
GHG_I90,DE,1994-01-01,90
GHG_I90,DE,1995-01-01,90
GHG_I90,DE,1996-01-01,91
GHG_I90,DE,1997-01-01,88
GHG_I90,DE,1998-01-01,86
GHG_I90,DE,1999-01-01,84
GHG_I90,DE,2000-01-01,84
GHG_I90,DE,2001-01-01,85
GHG_I90,DE,2002-01-01,
GHG_I90,DE,2003-01-01,
GHG_I90,DE,2004-01-01,
GHG_I90,DE,2005-01-01,
GHG_I90,DE,2006-01-01,
