stk_flow,geo\time,date,value
LOSS_CLIM_MEUR,EU28,1980-01-01,3170 
LOSS_CLIM_MEUR,EU28,1981-01-01,2 
LOSS_CLIM_MEUR,EU28,1982-01-01,7026 
LOSS_CLIM_MEUR,EU28,1983-01-01,4149 
LOSS_CLIM_MEUR,EU28,1984-01-01,2 
LOSS_CLIM_MEUR,EU28,1985-01-01,2806 
LOSS_CLIM_MEUR,EU28,1986-01-01,2876 
LOSS_CLIM_MEUR,EU28,1987-01-01,3112 
LOSS_CLIM_MEUR,EU28,1988-01-01,2572 
LOSS_CLIM_MEUR,EU28,1989-01-01,2849 
LOSS_CLIM_MEUR,EU28,1990-01-01,4185 
LOSS_CLIM_MEUR,EU28,1991-01-01,1636 
LOSS_CLIM_MEUR,EU28,1992-01-01,7951 
LOSS_CLIM_MEUR,EU28,1993-01-01,79 
LOSS_CLIM_MEUR,EU28,1994-01-01,577 
LOSS_CLIM_MEUR,EU28,1995-01-01,1086 
LOSS_CLIM_MEUR,EU28,1996-01-01,1189 
LOSS_CLIM_MEUR,EU28,1997-01-01,2103 
LOSS_CLIM_MEUR,EU28,1998-01-01,833 
LOSS_CLIM_MEUR,EU28,1999-01-01,4347 
LOSS_CLIM_MEUR,EU28,2000-01-01,2449 
LOSS_CLIM_MEUR,EU28,2001-01-01,495 
LOSS_CLIM_MEUR,EU28,2002-01-01,2 
LOSS_CLIM_MEUR,EU28,2003-01-01,16556 
LOSS_CLIM_MEUR,EU28,2004-01-01,1 
LOSS_CLIM_MEUR,EU28,2005-01-01,3511 
LOSS_CLIM_MEUR,EU28,2006-01-01,2616 
LOSS_CLIM_MEUR,EU28,2007-01-01,2444 
LOSS_CLIM_MEUR,EU28,2008-01-01,34 
LOSS_CLIM_MEUR,EU28,2009-01-01,1775 
LOSS_CLIM_MEUR,EU28,2010-01-01,4674 
LOSS_CLIM_MEUR,EU28,2011-01-01,533 
LOSS_CLIM_MEUR,EU28,2012-01-01,3468 
LOSS_CLIM_MEUR,EU28,2013-01-01,730 
LOSS_CLIM_MEUR,EU28,2014-01-01,789 
LOSS_CLIM_MEUR,EU28,2015-01-01,2116 
LOSS_CLIM_MEUR,EU28,2016-01-01,681
LOSS_CUM_EUR_HAB,AT,1980-01-01,: 
LOSS_CUM_EUR_HAB,AT,1981-01-01,: 
LOSS_CUM_EUR_HAB,AT,1982-01-01,: 
LOSS_CUM_EUR_HAB,AT,1983-01-01,: 
LOSS_CUM_EUR_HAB,AT,1984-01-01,: 
LOSS_CUM_EUR_HAB,AT,1985-01-01,: 
LOSS_CUM_EUR_HAB,AT,1986-01-01,: 
LOSS_CUM_EUR_HAB,AT,1987-01-01,: 
LOSS_CUM_EUR_HAB,AT,1988-01-01,: 
LOSS_CUM_EUR_HAB,AT,1989-01-01,: 
LOSS_CUM_EUR_HAB,AT,1990-01-01,: 
LOSS_CUM_EUR_HAB,AT,1991-01-01,: 
LOSS_CUM_EUR_HAB,AT,1992-01-01,: 
LOSS_CUM_EUR_HAB,AT,1993-01-01,: 
LOSS_CUM_EUR_HAB,AT,1994-01-01,: 
LOSS_CUM_EUR_HAB,AT,1995-01-01,: 
LOSS_CUM_EUR_HAB,AT,1996-01-01,: 
LOSS_CUM_EUR_HAB,AT,1997-01-01,: 
LOSS_CUM_EUR_HAB,AT,1998-01-01,: 
LOSS_CUM_EUR_HAB,AT,1999-01-01,: 
LOSS_CUM_EUR_HAB,AT,2000-01-01,: 
LOSS_CUM_EUR_HAB,AT,2001-01-01,: 
LOSS_CUM_EUR_HAB,AT,2002-01-01,: 
LOSS_CUM_EUR_HAB,AT,2003-01-01,: 
LOSS_CUM_EUR_HAB,AT,2004-01-01,: 
LOSS_CUM_EUR_HAB,AT,2005-01-01,: 
LOSS_CUM_EUR_HAB,AT,2006-01-01,: 
LOSS_CUM_EUR_HAB,AT,2007-01-01,: 
LOSS_CUM_EUR_HAB,AT,2008-01-01,: 
