fishreg,indic_envtime,date,value
27,FSTK_ASS_NR,2003-01-01,
27,FSTK_ASS_NR,2004-01-01,
27,FSTK_ASS_NR,2005-01-01,
27,FSTK_ASS_NR,2006-01-01,
27,FSTK_ASS_NR,2007-01-01,
27,FSTK_ASS_NR,2008-01-01,
27,FSTK_ASS_NR,2009-01-01,
27,FSTK_ASS_NR,2010-01-01,
27,FSTK_ASS_NR,2011-01-01,
27,FSTK_ASS_NR,2012-01-01,
27,FSTK_ASS_NR,2013-01-01,
27,FSTK_ASS_NR,2014-01-01,
27,FSTK_ASS_NR,2015-01-01,
27,FSTK_ASS_NR,2016-01-01,
27,FSTK_MBMEAN,2003-01-01,
27,FSTK_MBMEAN,2004-01-01,
27,FSTK_MBMEAN,2005-01-01,
27,FSTK_MBMEAN,2006-01-01,
27,FSTK_MBMEAN,2007-01-01,
27,FSTK_MBMEAN,2008-01-01,
27,FSTK_MBMEAN,2009-01-01,
27,FSTK_MBMEAN,2010-01-01,
27,FSTK_MBMEAN,2011-01-01,
27,FSTK_MBMEAN,2012-01-01,
27,FSTK_MBMEAN,2013-01-01,
27,FSTK_MBMEAN,2014-01-01,
27,FSTK_MBMEAN,2015-01-01,
27,FSTK_MBMEAN,2016-01-01,
27,FSTK_OVF_NR,2003-01-01,
27,FSTK_OVF_NR,2004-01-01,
27,FSTK_OVF_NR,2005-01-01,
27,FSTK_OVF_NR,2006-01-01,
27,FSTK_OVF_NR,2007-01-01,
27,FSTK_OVF_NR,2008-01-01,
27,FSTK_OVF_NR,2009-01-01,
27,FSTK_OVF_NR,2010-01-01,
27,FSTK_OVF_NR,2011-01-01,
27,FSTK_OVF_NR,2012-01-01,
27,FSTK_OVF_NR,2013-01-01,
27,FSTK_OVF_NR,2014-01-01,
27,FSTK_OVF_NR,2015-01-01,
27,FSTK_OVF_NR,2016-01-01,
27,FSTK_OVF_PC,2003-01-01,
27,FSTK_OVF_PC,2004-01-01,
27,FSTK_OVF_PC,2005-01-01,
27,FSTK_OVF_PC,2006-01-01,
27,FSTK_OVF_PC,2007-01-01,
27,FSTK_OVF_PC,2008-01-01,
27,FSTK_OVF_PC,2009-01-01,
27,FSTK_OVF_PC,2010-01-01,
27,FSTK_OVF_PC,2011-01-01,
27,FSTK_OVF_PC,2012-01-01,
27,FSTK_OVF_PC,2013-01-01,
27,FSTK_OVF_PC,2014-01-01,
27,FSTK_OVF_PC,2015-01-01,
27,FSTK_OVF_PC,2016-01-01,
