unit,icd10,age,sex,geotime,date,value
RT,X85-Y09_Y871,TOTAL,F,AL,2000-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2001-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2002-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2003-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2004-01-01,1.4 
RT,X85-Y09_Y871,TOTAL,F,AL,2005-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2006-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2007-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2008-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2009-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2010-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2011-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2012-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2013-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2014-01-01,
RT,X85-Y09_Y871,TOTAL,F,AL,2015-01-01,
RT,X85-Y09_Y871,TOTAL,F,AT,2000-01-01,1.2 
RT,X85-Y09_Y871,TOTAL,F,AT,2001-01-01,1.1 
RT,X85-Y09_Y871,TOTAL,F,AT,2002-01-01,1.0 
RT,X85-Y09_Y871,TOTAL,F,AT,2003-01-01,0.5 
RT,X85-Y09_Y871,TOTAL,F,AT,2004-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,AT,2005-01-01,0.7 
RT,X85-Y09_Y871,TOTAL,F,AT,2006-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,AT,2007-01-01,0.6 
RT,X85-Y09_Y871,TOTAL,F,AT,2008-01-01,0.6 
RT,X85-Y09_Y871,TOTAL,F,AT,2009-01-01,0.7 
RT,X85-Y09_Y871,TOTAL,F,AT,2010-01-01,0.6 
RT,X85-Y09_Y871,TOTAL,F,AT,2011-01-01,0.44 
RT,X85-Y09_Y871,TOTAL,F,AT,2012-01-01,0.48 
RT,X85-Y09_Y871,TOTAL,F,AT,2013-01-01,0.45 
RT,X85-Y09_Y871,TOTAL,F,AT,2014-01-01,0.39 
RT,X85-Y09_Y871,TOTAL,F,AT,2015-01-01,0.66 
RT,X85-Y09_Y871,TOTAL,F,BE,2000-01-01,
RT,X85-Y09_Y871,TOTAL,F,BE,2001-01-01,
RT,X85-Y09_Y871,TOTAL,F,BE,2002-01-01,
RT,X85-Y09_Y871,TOTAL,F,BE,2003-01-01,1.1 
RT,X85-Y09_Y871,TOTAL,F,BE,2004-01-01,1.6 
RT,X85-Y09_Y871,TOTAL,F,BE,2005-01-01,1.3 
RT,X85-Y09_Y871,TOTAL,F,BE,2006-01-01,1.1 
RT,X85-Y09_Y871,TOTAL,F,BE,2007-01-01,1.2 
RT,X85-Y09_Y871,TOTAL,F,BE,2008-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,BE,2009-01-01,1.0 
RT,X85-Y09_Y871,TOTAL,F,BE,2010-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,BE,2011-01-01,1.13 
RT,X85-Y09_Y871,TOTAL,F,BE,2012-01-01,0.85 
RT,X85-Y09_Y871,TOTAL,F,BE,2013-01-01,0.92 
RT,X85-Y09_Y871,TOTAL,F,BE,2014-01-01,0.77 
RT,X85-Y09_Y871,TOTAL,F,BE,2015-01-01,0.94 
RT,X85-Y09_Y871,TOTAL,F,BG,2000-01-01,2.1 
RT,X85-Y09_Y871,TOTAL,F,BG,2001-01-01,1.2 
RT,X85-Y09_Y871,TOTAL,F,BG,2002-01-01,1.3 
RT,X85-Y09_Y871,TOTAL,F,BG,2003-01-01,1.2 
RT,X85-Y09_Y871,TOTAL,F,BG,2004-01-01,1.3 
RT,X85-Y09_Y871,TOTAL,F,BG,2005-01-01,1.1 
RT,X85-Y09_Y871,TOTAL,F,BG,2006-01-01,1.1 
RT,X85-Y09_Y871,TOTAL,F,BG,2007-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,BG,2008-01-01,1.1 
RT,X85-Y09_Y871,TOTAL,F,BG,2009-01-01,1.0 
RT,X85-Y09_Y871,TOTAL,F,BG,2010-01-01,0.9 
RT,X85-Y09_Y871,TOTAL,F,BG,2011-01-01,0.72 
RT,X85-Y09_Y871,TOTAL,F,BG,2012-01-01,0.71 
RT,X85-Y09_Y871,TOTAL,F,BG,2013-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,BG,2014-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,BG,2015-01-01,0.61 
RT,X85-Y09_Y871,TOTAL,F,CH,2000-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,CH,2001-01-01,0.9 
RT,X85-Y09_Y871,TOTAL,F,CH,2002-01-01,1.1 
RT,X85-Y09_Y871,TOTAL,F,CH,2003-01-01,0.7 
RT,X85-Y09_Y871,TOTAL,F,CH,2004-01-01,0.9 
RT,X85-Y09_Y871,TOTAL,F,CH,2005-01-01,0.8 
RT,X85-Y09_Y871,TOTAL,F,CH,2006-01-01,0.7 
RT,X85-Y09_Y871,TOTAL,F,CH,2007-01-01,0.6 
RT,X85-Y09_Y871,TOTAL,F,CH,2008-01-01,0.5 
RT,X85-Y09_Y871,TOTAL,F,CH,2009-01-01,0.7 
RT,X85-Y09_Y871,TOTAL,F,CH,2010-01-01,0.5 
RT,X85-Y09_Y871,TOTAL,F,CH,2011-01-01,0.56 
RT,X85-Y09_Y871,TOTAL,F,CH,2012-01-01,0.44 
RT,X85-Y09_Y871,TOTAL,F,CH,2013-01-01,0.61 
RT,X85-Y09_Y871,TOTAL,F,CH,2014-01-01,0.5 
RT,X85-Y09_Y871,TOTAL,F,CH,2015-01-01,0.49 
RT,X85-Y09_Y871,TOTAL,F,CY,2000-01-01,
RT,X85-Y09_Y871,TOTAL,F,CY,2001-01-01,
RT,X85-Y09_Y871,TOTAL,F,CY,2002-01-01,
RT,X85-Y09_Y871,TOTAL,F,CY,2003-01-01,
RT,X85-Y09_Y871,TOTAL,F,CY,2004-01-01,1.1 
RT,X85-Y09_Y871,TOTAL,F,CY,2005-01-01,0.2 
RT,X85-Y09_Y871,TOTAL,F,CY,2006-01-01,0.7 
