lev_perc,unit,geotime,date,value
FBAD,PC,AT,2016-01-01,
FBAD,PC,AT,2017-01-01,
FBAD,PC,AT,2018-01-01,
FBAD,PC,BE,2016-01-01,
FBAD,PC,BE,2017-01-01,
FBAD,PC,BE,2018-01-01,
FBAD,PC,BG,2016-01-01,
FBAD,PC,BG,2017-01-01,
FBAD,PC,BG,2018-01-01,
FBAD,PC,CY,2016-01-01,
FBAD,PC,CY,2017-01-01,
FBAD,PC,CY,2018-01-01,
FBAD,PC,CZ,2016-01-01,
FBAD,PC,CZ,2017-01-01,
FBAD,PC,CZ,2018-01-01,
FBAD,PC,DE,2016-01-01,
FBAD,PC,DE,2017-01-01,
FBAD,PC,DE,2018-01-01,
FBAD,PC,DK,2016-01-01,
FBAD,PC,DK,2017-01-01,
FBAD,PC,DK,2018-01-01,
FBAD,PC,EE,2016-01-01,
FBAD,PC,EE,2017-01-01,
FBAD,PC,EE,2018-01-01,
FBAD,PC,EL,2016-01-01,
FBAD,PC,EL,2017-01-01,
FBAD,PC,EL,2018-01-01,
FBAD,PC,ES,2016-01-01,
FBAD,PC,ES,2017-01-01,
FBAD,PC,ES,2018-01-01,
FBAD,PC,EU28,2016-01-01,
FBAD,PC,EU28,2017-01-01,
FBAD,PC,EU28,2018-01-01,
FBAD,PC,FI,2016-01-01,
FBAD,PC,FI,2017-01-01,
FBAD,PC,FI,2018-01-01,
FBAD,PC,FR,2016-01-01,
FBAD,PC,FR,2017-01-01,
FBAD,PC,FR,2018-01-01,
FBAD,PC,HR,2016-01-01,
FBAD,PC,HR,2017-01-01,
FBAD,PC,HR,2018-01-01,
FBAD,PC,HU,2016-01-01,
FBAD,PC,HU,2017-01-01,
FBAD,PC,HU,2018-01-01,
FBAD,PC,IE,2016-01-01,
FBAD,PC,IE,2017-01-01,
FBAD,PC,IE,2018-01-01,
FBAD,PC,IT,2016-01-01,
FBAD,PC,IT,2017-01-01,
FBAD,PC,IT,2018-01-01,
FBAD,PC,LT,2016-01-01,
FBAD,PC,LT,2017-01-01,
FBAD,PC,LT,2018-01-01,
FBAD,PC,LU,2016-01-01,
FBAD,PC,LU,2017-01-01,
FBAD,PC,LU,2018-01-01,
FBAD,PC,LV,2016-01-01,
FBAD,PC,LV,2017-01-01,
FBAD,PC,LV,2018-01-01,
FBAD,PC,MT,2016-01-01,
FBAD,PC,MT,2017-01-01,
FBAD,PC,MT,2018-01-01,
FBAD,PC,NL,2016-01-01,
FBAD,PC,NL,2017-01-01,
FBAD,PC,NL,2018-01-01,
FBAD,PC,PL,2016-01-01,
FBAD,PC,PL,2017-01-01,
FBAD,PC,PL,2018-01-01,
