fin_source,geotime,date,value
EXPCRED_OSUP,AT,2000-01-01,228
EXPCRED_OSUP,AT,2001-01-01,145
EXPCRED_OSUP,AT,2002-01-01,274
EXPCRED_OSUP,AT,2003-01-01,91
EXPCRED_OSUP,AT,2004-01-01,271
EXPCRED_OSUP,AT,2005-01-01,61
EXPCRED_OSUP,AT,2006-01-01,70
EXPCRED_OSUP,AT,2007-01-01,2048
EXPCRED_OSUP,AT,2008-01-01,1266
EXPCRED_OSUP,AT,2009-01-01,438
EXPCRED_OSUP,AT,2010-01-01,536
EXPCRED_OSUP,AT,2011-01-01,337
EXPCRED_OSUP,AT,2012-01-01,327
EXPCRED_OSUP,AT,2013-01-01,6
EXPCRED_OSUP,AT,2014-01-01,18
EXPCRED_OSUP,AT,2015-01-01,24
EXPCRED_OSUP,AT,2016-01-01,67
EXPCRED_OSUP,BE,2000-01-01,483
EXPCRED_OSUP,BE,2001-01-01,158
EXPCRED_OSUP,BE,2002-01-01,496
EXPCRED_OSUP,BE,2003-01-01,1549
EXPCRED_OSUP,BE,2004-01-01,454
EXPCRED_OSUP,BE,2005-01-01,710
EXPCRED_OSUP,BE,2006-01-01,15
EXPCRED_OSUP,BE,2007-01-01,144
EXPCRED_OSUP,BE,2008-01-01,135
EXPCRED_OSUP,BE,2009-01-01,103
EXPCRED_OSUP,BE,2010-01-01,195
EXPCRED_OSUP,BE,2011-01-01,5
EXPCRED_OSUP,BE,2012-01-01,259
EXPCRED_OSUP,BE,2013-01-01,587
EXPCRED_OSUP,BE,2014-01-01,141
EXPCRED_OSUP,BE,2015-01-01,224
EXPCRED_OSUP,BE,2016-01-01,94
EXPCRED_OSUP,CH,2000-01-01,541
EXPCRED_OSUP,CH,2001-01-01,160
EXPCRED_OSUP,CH,2002-01-01,140
EXPCRED_OSUP,CH,2003-01-01,47
EXPCRED_OSUP,CH,2004-01-01,191
EXPCRED_OSUP,CH,2005-01-01,586
EXPCRED_OSUP,CH,2006-01-01,414
EXPCRED_OSUP,CH,2007-01-01,2
EXPCRED_OSUP,CH,2008-01-01,456
EXPCRED_OSUP,CH,2009-01-01,425
EXPCRED_OSUP,CH,2010-01-01,17
EXPCRED_OSUP,CH,2011-01-01,198
EXPCRED_OSUP,CH,2012-01-01,151
EXPCRED_OSUP,CH,2013-01-01,25
EXPCRED_OSUP,CH,2014-01-01,484
EXPCRED_OSUP,CH,2015-01-01,127
EXPCRED_OSUP,CH,2016-01-01,182
EXPCRED_OSUP,CZ,2000-01-01,
EXPCRED_OSUP,CZ,2001-01-01,
EXPCRED_OSUP,CZ,2002-01-01,
EXPCRED_OSUP,CZ,2003-01-01,
EXPCRED_OSUP,CZ,2004-01-01,
EXPCRED_OSUP,CZ,2005-01-01,
EXPCRED_OSUP,CZ,2006-01-01,
EXPCRED_OSUP,CZ,2007-01-01,
EXPCRED_OSUP,CZ,2008-01-01,
EXPCRED_OSUP,CZ,2009-01-01,
EXPCRED_OSUP,CZ,2010-01-01,
EXPCRED_OSUP,CZ,2011-01-01,
EXPCRED_OSUP,CZ,2012-01-01,
EXPCRED_OSUP,CZ,2013-01-01,
EXPCRED_OSUP,CZ,2014-01-01,50
EXPCRED_OSUP,CZ,2015-01-01,46
EXPCRED_OSUP,CZ,2016-01-01,33
EXPCRED_OSUP,DE,2000-01-01,1219
EXPCRED_OSUP,DE,2001-01-01,422
EXPCRED_OSUP,DE,2002-01-01,559
EXPCRED_OSUP,DE,2003-01-01,1218
EXPCRED_OSUP,DE,2004-01-01,158
EXPCRED_OSUP,DE,2005-01-01,2997
EXPCRED_OSUP,DE,2006-01-01,2310
EXPCRED_OSUP,DE,2007-01-01,467
EXPCRED_OSUP,DE,2008-01-01,1197
EXPCRED_OSUP,DE,2009-01-01,690
EXPCRED_OSUP,DE,2010-01-01,2796
EXPCRED_OSUP,DE,2011-01-01,7384
EXPCRED_OSUP,DE,2012-01-01,4881
EXPCRED_OSUP,DE,2013-01-01,4081
EXPCRED_OSUP,DE,2014-01-01,120
EXPCRED_OSUP,DE,2015-01-01,1682
EXPCRED_OSUP,DE,2016-01-01,3116
EXPCRED_OSUP,DK,2000-01-01,
EXPCRED_OSUP,DK,2001-01-01,
EXPCRED_OSUP,DK,2002-01-01,
EXPCRED_OSUP,DK,2003-01-01,
EXPCRED_OSUP,DK,2004-01-01,13
EXPCRED_OSUP,DK,2005-01-01,17
EXPCRED_OSUP,DK,2006-01-01,88
EXPCRED_OSUP,DK,2007-01-01,87
EXPCRED_OSUP,DK,2008-01-01,56
EXPCRED_OSUP,DK,2009-01-01,
EXPCRED_OSUP,DK,2010-01-01,33
EXPCRED_OSUP,DK,2011-01-01,0
EXPCRED_OSUP,DK,2012-01-01,1
EXPCRED_OSUP,DK,2013-01-01,1
EXPCRED_OSUP,DK,2014-01-01,481
EXPCRED_OSUP,DK,2015-01-01,334
EXPCRED_OSUP,DK,2016-01-01,236
EXPCRED_OSUP,EL,2000-01-01,2
EXPCRED_OSUP,EL,2001-01-01,
EXPCRED_OSUP,EL,2002-01-01,
EXPCRED_OSUP,EL,2003-01-01,
EXPCRED_OSUP,EL,2004-01-01,
EXPCRED_OSUP,EL,2005-01-01,
EXPCRED_OSUP,EL,2006-01-01,
EXPCRED_OSUP,EL,2007-01-01,
EXPCRED_OSUP,EL,2008-01-01,
EXPCRED_OSUP,EL,2009-01-01,
EXPCRED_OSUP,EL,2010-01-01,
EXPCRED_OSUP,EL,2011-01-01,
EXPCRED_OSUP,EL,2012-01-01,
EXPCRED_OSUP,EL,2013-01-01,
EXPCRED_OSUP,EL,2014-01-01,
EXPCRED_OSUP,EL,2015-01-01,
EXPCRED_OSUP,EL,2016-01-01,
EXPCRED_OSUP,ES,2000-01-01,14
EXPCRED_OSUP,ES,2001-01-01,580
EXPCRED_OSUP,ES,2002-01-01,143
EXPCRED_OSUP,ES,2003-01-01,98
EXPCRED_OSUP,ES,2004-01-01,163
EXPCRED_OSUP,ES,2005-01-01,355
EXPCRED_OSUP,ES,2006-01-01,219
EXPCRED_OSUP,ES,2007-01-01,81
EXPCRED_OSUP,ES,2008-01-01,77
EXPCRED_OSUP,ES,2009-01-01,50
EXPCRED_OSUP,ES,2010-01-01,236
EXPCRED_OSUP,ES,2011-01-01,10
EXPCRED_OSUP,ES,2012-01-01,49
EXPCRED_OSUP,ES,2013-01-01,181
EXPCRED_OSUP,ES,2014-01-01,
EXPCRED_OSUP,ES,2015-01-01,65
EXPCRED_OSUP,ES,2016-01-01,242
EXPCRED_OSUP,EU15,2000-01-01,4067
EXPCRED_OSUP,EU15,2001-01-01,1922
EXPCRED_OSUP,EU15,2002-01-01,1174
EXPCRED_OSUP,EU15,2003-01-01,4154
EXPCRED_OSUP,EU15,2004-01-01,1650
EXPCRED_OSUP,EU15,2005-01-01,3110
EXPCRED_OSUP,EU15,2006-01-01,3036
EXPCRED_OSUP,EU15,2007-01-01,2751
EXPCRED_OSUP,EU15,2008-01-01,5239
EXPCRED_OSUP,EU15,2009-01-01,4615
EXPCRED_OSUP,EU15,2010-01-01,8774
