indic_eu,geotime,date,value
T2020_30,AT,1990-01-01,100
T2020_30,AT,1991-01-01,104
T2020_30,AT,1992-01-01,96
T2020_30,AT,1993-01-01,96
T2020_30,AT,1994-01-01,97
T2020_30,AT,1995-01-01,101
T2020_30,AT,1996-01-01,106
T2020_30,AT,1997-01-01,105
T2020_30,AT,1998-01-01,104
T2020_30,AT,1999-01-01,102
T2020_30,AT,2000-01-01,103
T2020_30,AT,2001-01-01,108
T2020_30,AT,2002-01-01,110
T2020_30,AT,2003-01-01,117
T2020_30,AT,2004-01-01,117
T2020_30,AT,2005-01-01,118
T2020_30,AT,2006-01-01,115
T2020_30,AT,2007-01-01,112
T2020_30,AT,2008-01-01,112
T2020_30,AT,2009-01-01,103
T2020_30,AT,2010-01-01,109
T2020_30,AT,2011-01-01,106
T2020_30,AT,2012-01-01,103
T2020_30,AT,2013-01-01,103
T2020_30,AT,2014-01-01,98
T2020_30,AT,2015-01-01,101
T2020_30,AT,2016-01-01,103
T2020_30,BE,1990-01-01,100
T2020_30,BE,1991-01-01,101
T2020_30,BE,1992-01-01,101
T2020_30,BE,1993-01-01,100
T2020_30,BE,1994-01-01,103
T2020_30,BE,1995-01-01,105
T2020_30,BE,1996-01-01,108
T2020_30,BE,1997-01-01,102
T2020_30,BE,1998-01-01,106
T2020_30,BE,1999-01-01,102
T2020_30,BE,2000-01-01,103
T2020_30,BE,2001-01-01,101
T2020_30,BE,2002-01-01,100
T2020_30,BE,2003-01-01,101
T2020_30,BE,2004-01-01,102
T2020_30,BE,2005-01-01,99
T2020_30,BE,2006-01-01,97
T2020_30,BE,2007-01-01,95
T2020_30,BE,2008-01-01,95
T2020_30,BE,2009-01-01,86
T2020_30,BE,2010-01-01,91
T2020_30,BE,2011-01-01,84
T2020_30,BE,2012-01-01,82
T2020_30,BE,2013-01-01,82
T2020_30,BE,2014-01-01,78
T2020_30,BE,2015-01-01,81
T2020_30,BE,2016-01-01,81
T2020_30,BG,1990-01-01,100
T2020_30,BG,1991-01-01,79
T2020_30,BG,1992-01-01,75
T2020_30,BG,1993-01-01,74
T2020_30,BG,1994-01-01,70
T2020_30,BG,1995-01-01,72
T2020_30,BG,1996-01-01,71
T2020_30,BG,1997-01-01,68
T2020_30,BG,1998-01-01,64
T2020_30,BG,1999-01-01,57
T2020_30,BG,2000-01-01,57
T2020_30,BG,2001-01-01,60
T2020_30,BG,2002-01-01,57
T2020_30,BG,2003-01-01,61
T2020_30,BG,2004-01-01,60
T2020_30,BG,2005-01-01,61
T2020_30,BG,2006-01-01,62
T2020_30,BG,2007-01-01,65
T2020_30,BG,2008-01-01,64
T2020_30,BG,2009-01-01,55
T2020_30,BG,2010-01-01,58
