na_item,landcover,unit,geo\time,date,value
B1GQ,B1GQ_LCA,MPPS_KM2,AT,2009-01-01,78.9 
B1GQ,B1GQ_LCA,MPPS_KM2,AT,2012-01-01,85.0 
B1GQ,B1GQ_LCA,MPPS_KM2,AT,2015-01-01,90.6 
B1GQ,B1GQ_LCA,MPPS_KM2,BE,2009-01-01,102.6 
B1GQ,B1GQ_LCA,MPPS_KM2,BE,2012-01-01,107.1 
B1GQ,B1GQ_LCA,MPPS_KM2,BE,2015-01-01,110.9 
B1GQ,B1GQ_LCA,MPPS_KM2,BG,2009-01-01,: 
B1GQ,B1GQ_LCA,MPPS_KM2,BG,2012-01-01,46.8 
B1GQ,B1GQ_LCA,MPPS_KM2,BG,2015-01-01,47.9 
B1GQ,B1GQ_LCA,MPPS_KM2,CY,2009-01-01,: 
B1GQ,B1GQ_LCA,MPPS_KM2,CY,2012-01-01,44.0 
B1GQ,B1GQ_LCA,MPPS_KM2,CY,2015-01-01,40.8 
B1GQ,B1GQ_LCA,MPPS_KM2,CZ,2009-01-01,65.2 
B1GQ,B1GQ_LCA,MPPS_KM2,CZ,2012-01-01,66.3 
B1GQ,B1GQ_LCA,MPPS_KM2,CZ,2015-01-01,73.1 
B1GQ,B1GQ_LCA,MPPS_KM2,DE,2009-01-01,94.3 
B1GQ,B1GQ_LCA,MPPS_KM2,DE,2012-01-01,104.8 
B1GQ,B1GQ_LCA,MPPS_KM2,DE,2015-01-01,111.9 
B1GQ,B1GQ_LCA,MPPS_KM2,DK,2009-01-01,61.0 
B1GQ,B1GQ_LCA,MPPS_KM2,DK,2012-01-01,65.9 
B1GQ,B1GQ_LCA,MPPS_KM2,DK,2015-01-01,70.4 
B1GQ,B1GQ_LCA,MPPS_KM2,EE,2009-01-01,25.6 
B1GQ,B1GQ_LCA,MPPS_KM2,EE,2012-01-01,30.5 
B1GQ,B1GQ_LCA,MPPS_KM2,EE,2015-01-01,32.2 
B1GQ,B1GQ_LCA,MPPS_KM2,EL,2009-01-01,67.1 
B1GQ,B1GQ_LCA,MPPS_KM2,EL,2012-01-01,49.2 p
B1GQ,B1GQ_LCA,MPPS_KM2,EL,2015-01-01,48.9 p
