unit,landcover,geo\time,date,value
KM2,LCA1,AT,2009-01-01,1103 
KM2,LCA1,AT,2012-01-01,1173 
KM2,LCA1,AT,2015-01-01,1204 
KM2,LCA1,BE,2009-01-01,1455 
KM2,LCA1,BE,2012-01-01,1654 
KM2,LCA1,BE,2015-01-01,1681 
KM2,LCA1,BG,2009-01-01,: 
KM2,LCA1,BG,2012-01-01,702 
KM2,LCA1,BG,2015-01-01,711 
KM2,LCA1,CY,2009-01-01,: 
KM2,LCA1,CY,2012-01-01,133 
KM2,LCA1,CY,2015-01-01,133 
KM2,LCA1,CZ,2009-01-01,1054 
KM2,LCA1,CZ,2012-01-01,1105 
KM2,LCA1,CZ,2015-01-01,1186 
KM2,LCA1,DE,2009-01-01,8105 
KM2,LCA1,DE,2012-01-01,8541 
KM2,LCA1,DE,2015-01-01,8811 
KM2,LCA1,DK,2009-01-01,937 
KM2,LCA1,DK,2012-01-01,976 
KM2,LCA1,DK,2015-01-01,990 
KM2,LCA1,EE,2009-01-01,269 
KM2,LCA1,EE,2012-01-01,271 
KM2,LCA1,EE,2015-01-01,271 
KM2,LCA1,EL,2009-01-01,1143 
KM2,LCA1,EL,2012-01-01,1255 
KM2,LCA1,EL,2015-01-01,1324 
KM2,LCA1,ES,2009-01-01,4837 
KM2,LCA1,ES,2012-01-01,5167 
KM2,LCA1,ES,2015-01-01,5223 
KM2,LCA1,EU27,2009-01-01,: 
KM2,LCA1,EU27,2012-01-01,56442 
KM2,LCA1,EU27,2015-01-01,57960 
KM2,LCA1,EU28,2009-01-01,: 
KM2,LCA1,EU28,2012-01-01,: 
KM2,LCA1,EU28,2015-01-01,58527 
KM2,LCA1,EU_V,2009-01-01,50836 
KM2,LCA1,EU_V,2012-01-01,: 
KM2,LCA1,EU_V,2015-01-01,: 
KM2,LCA1,FI,2009-01-01,957 
KM2,LCA1,FI,2012-01-01,978 
KM2,LCA1,FI,2015-01-01,999 
KM2,LCA1,FR,2009-01-01,7612 
KM2,LCA1,FR,2012-01-01,8052 
KM2,LCA1,FR,2015-01-01,8197 
KM2,LCA1,HR,2009-01-01,: 
KM2,LCA1,HR,2012-01-01,: 
KM2,LCA1,HR,2015-01-01,566 
KM2,LCA1,HU,2009-01-01,1387 
KM2,LCA1,HU,2012-01-01,1453 
KM2,LCA1,HU,2015-01-01,1489 
KM2,LCA1,IE,2009-01-01,800 
