unit,na_item,geotime,date,value
EUR_KGOE,B1GQ,AL,1990-01-01,
EUR_KGOE,B1GQ,AL,1991-01-01,
EUR_KGOE,B1GQ,AL,1992-01-01,
EUR_KGOE,B1GQ,AL,1993-01-01,
EUR_KGOE,B1GQ,AL,1994-01-01,
EUR_KGOE,B1GQ,AL,1995-01-01,
EUR_KGOE,B1GQ,AL,1996-01-01,
EUR_KGOE,B1GQ,AL,1997-01-01,3.3
EUR_KGOE,B1GQ,AL,1998-01-01,3.4
EUR_KGOE,B1GQ,AL,1999-01-01,2.7
EUR_KGOE,B1GQ,AL,2000-01-01,2.9
EUR_KGOE,B1GQ,AL,2001-01-01,3.1
EUR_KGOE,B1GQ,AL,2002-01-01,2.9
EUR_KGOE,B1GQ,AL,2003-01-01,3.1
EUR_KGOE,B1GQ,AL,2004-01-01,3.0
EUR_KGOE,B1GQ,AL,2005-01-01,3.1
EUR_KGOE,B1GQ,AL,2006-01-01,3.5
EUR_KGOE,B1GQ,AL,2007-01-01,3.9
EUR_KGOE,B1GQ,AL,2008-01-01,4.0
EUR_KGOE,B1GQ,AL,2009-01-01,4.0
EUR_KGOE,B1GQ,AL,2010-01-01,4.2
EUR_KGOE,B1GQ,AL,2011-01-01,4.1
EUR_KGOE,B1GQ,AL,2012-01-01,4.5
EUR_KGOE,B1GQ,AL,2013-01-01,4.0
EUR_KGOE,B1GQ,AL,2014-01-01,4.1
EUR_KGOE,B1GQ,AL,2015-01-01,4.5
EUR_KGOE,B1GQ,AL,2016-01-01,4.5
EUR_KGOE,B1GQ,AT,1990-01-01,
EUR_KGOE,B1GQ,AT,1991-01-01,
EUR_KGOE,B1GQ,AT,1992-01-01,
EUR_KGOE,B1GQ,AT,1993-01-01,
EUR_KGOE,B1GQ,AT,1994-01-01,
EUR_KGOE,B1GQ,AT,1995-01-01,8.1
EUR_KGOE,B1GQ,AT,1996-01-01,7.8
EUR_KGOE,B1GQ,AT,1997-01-01,8.0
EUR_KGOE,B1GQ,AT,1998-01-01,8.1
EUR_KGOE,B1GQ,AT,1999-01-01,8.5
EUR_KGOE,B1GQ,AT,2000-01-01,8.8
EUR_KGOE,B1GQ,AT,2001-01-01,8.4
EUR_KGOE,B1GQ,AT,2002-01-01,8.5
EUR_KGOE,B1GQ,AT,2003-01-01,8.1
EUR_KGOE,B1GQ,AT,2004-01-01,8.2
EUR_KGOE,B1GQ,AT,2005-01-01,8.1
EUR_KGOE,B1GQ,AT,2006-01-01,8.4
EUR_KGOE,B1GQ,AT,2007-01-01,8.8
EUR_KGOE,B1GQ,AT,2008-01-01,8.9
EUR_KGOE,B1GQ,AT,2009-01-01,9.1
EUR_KGOE,B1GQ,AT,2010-01-01,8.7
EUR_KGOE,B1GQ,AT,2011-01-01,9.2
EUR_KGOE,B1GQ,AT,2012-01-01,9.2
EUR_KGOE,B1GQ,AT,2013-01-01,9.1
EUR_KGOE,B1GQ,AT,2014-01-01,9.5
EUR_KGOE,B1GQ,AT,2015-01-01,9.3
EUR_KGOE,B1GQ,AT,2016-01-01,9.4
EUR_KGOE,B1GQ,BA,1990-01-01,
EUR_KGOE,B1GQ,BA,1991-01-01,
EUR_KGOE,B1GQ,BA,1992-01-01,
EUR_KGOE,B1GQ,BA,1993-01-01,
EUR_KGOE,B1GQ,BA,1994-01-01,
EUR_KGOE,B1GQ,BA,1995-01-01,
EUR_KGOE,B1GQ,BA,1996-01-01,
EUR_KGOE,B1GQ,BA,1997-01-01,
EUR_KGOE,B1GQ,BA,1998-01-01,
EUR_KGOE,B1GQ,BA,1999-01-01,
EUR_KGOE,B1GQ,BA,2000-01-01,
EUR_KGOE,B1GQ,BA,2001-01-01,
EUR_KGOE,B1GQ,BA,2002-01-01,
EUR_KGOE,B1GQ,BA,2003-01-01,
EUR_KGOE,B1GQ,BA,2004-01-01,
EUR_KGOE,B1GQ,BA,2005-01-01,
EUR_KGOE,B1GQ,BA,2006-01-01,
EUR_KGOE,B1GQ,BA,2007-01-01,
EUR_KGOE,B1GQ,BA,2008-01-01,
EUR_KGOE,B1GQ,BA,2009-01-01,
EUR_KGOE,B1GQ,BA,2010-01-01,
EUR_KGOE,B1GQ,BA,2011-01-01,
EUR_KGOE,B1GQ,BA,2012-01-01,
EUR_KGOE,B1GQ,BA,2013-01-01,
EUR_KGOE,B1GQ,BA,2014-01-01,2.3
EUR_KGOE,B1GQ,BA,2015-01-01,2.2
EUR_KGOE,B1GQ,BA,2016-01-01,2.1
EUR_KGOE,B1GQ,BE,1990-01-01,
EUR_KGOE,B1GQ,BE,1991-01-01,
EUR_KGOE,B1GQ,BE,1992-01-01,
EUR_KGOE,B1GQ,BE,1993-01-01,
EUR_KGOE,B1GQ,BE,1994-01-01,
EUR_KGOE,B1GQ,BE,1995-01-01,5.0
EUR_KGOE,B1GQ,BE,1996-01-01,4.8
EUR_KGOE,B1GQ,BE,1997-01-01,5.0
EUR_KGOE,B1GQ,BE,1998-01-01,5.0
EUR_KGOE,B1GQ,BE,1999-01-01,5.1
EUR_KGOE,B1GQ,BE,2000-01-01,5.2
EUR_KGOE,B1GQ,BE,2001-01-01,5.3
EUR_KGOE,B1GQ,BE,2002-01-01,5.6
EUR_KGOE,B1GQ,BE,2003-01-01,5.4
EUR_KGOE,B1GQ,BE,2004-01-01,5.6
EUR_KGOE,B1GQ,BE,2005-01-01,5.8
EUR_KGOE,B1GQ,BE,2006-01-01,6.0
EUR_KGOE,B1GQ,BE,2007-01-01,6.3
EUR_KGOE,B1GQ,BE,2008-01-01,6.1
EUR_KGOE,B1GQ,BE,2009-01-01,6.3
EUR_KGOE,B1GQ,BE,2010-01-01,6.0
EUR_KGOE,B1GQ,BE,2011-01-01,6.5
EUR_KGOE,B1GQ,BE,2012-01-01,6.8
EUR_KGOE,B1GQ,BE,2013-01-01,6.6
EUR_KGOE,B1GQ,BE,2014-01-01,7.1
EUR_KGOE,B1GQ,BE,2015-01-01,7.1
EUR_KGOE,B1GQ,BE,2016-01-01,6.8
EUR_KGOE,B1GQ,BG,1990-01-01,
EUR_KGOE,B1GQ,BG,1991-01-01,
EUR_KGOE,B1GQ,BG,1992-01-01,
EUR_KGOE,B1GQ,BG,1993-01-01,
EUR_KGOE,B1GQ,BG,1994-01-01,
EUR_KGOE,B1GQ,BG,1995-01-01,1.2
EUR_KGOE,B1GQ,BG,1996-01-01,1.3
EUR_KGOE,B1GQ,BG,1997-01-01,1.2
EUR_KGOE,B1GQ,BG,1998-01-01,1.3
EUR_KGOE,B1GQ,BG,1999-01-01,1.3
EUR_KGOE,B1GQ,BG,2000-01-01,1.3
EUR_KGOE,B1GQ,BG,2001-01-01,1.3
EUR_KGOE,B1GQ,BG,2002-01-01,1.4
EUR_KGOE,B1GQ,BG,2003-01-01,1.5
EUR_KGOE,B1GQ,BG,2004-01-01,1.6
EUR_KGOE,B1GQ,BG,2005-01-01,1.6
EUR_KGOE,B1GQ,BG,2006-01-01,1.7
EUR_KGOE,B1GQ,BG,2007-01-01,1.8
EUR_KGOE,B1GQ,BG,2008-01-01,2.0
EUR_KGOE,B1GQ,BG,2009-01-01,2.2
EUR_KGOE,B1GQ,BG,2010-01-01,2.2
EUR_KGOE,B1GQ,BG,2011-01-01,2.0
EUR_KGOE,B1GQ,BG,2012-01-01,2.1
EUR_KGOE,B1GQ,BG,2013-01-01,2.3
EUR_KGOE,B1GQ,BG,2014-01-01,2.2
EUR_KGOE,B1GQ,BG,2015-01-01,2.2
EUR_KGOE,B1GQ,BG,2016-01-01,2.4
EUR_KGOE,B1GQ,CY,1990-01-01,
EUR_KGOE,B1GQ,CY,1991-01-01,
EUR_KGOE,B1GQ,CY,1992-01-01,
EUR_KGOE,B1GQ,CY,1993-01-01,
EUR_KGOE,B1GQ,CY,1994-01-01,
EUR_KGOE,B1GQ,CY,1995-01-01,5.8
EUR_KGOE,B1GQ,CY,1996-01-01,5.4
EUR_KGOE,B1GQ,CY,1997-01-01,5.7
