unit,geotime,date,value
PC,AT,2000-01-01,37.14
PC,AT,2001-01-01,97.25
PC,AT,2002-01-01,22.39
PC,AT,2003-01-01,93.91
PC,AT,2004-01-01,21.81
PC,AT,2005-01-01,59.28
PC,AT,2006-01-01,65.3
PC,AT,2007-01-01,28.77
PC,AT,2008-01-01,9.31
PC,AT,2009-01-01,6.57
PC,AT,2010-01-01,49.57
PC,AT,2011-01-01,48.85
PC,AT,2012-01-01,0.7
PC,AT,2013-01-01,5.56
PC,AT,2014-01-01,0.22
PC,AT,2015-01-01,0.0
PC,BE,2000-01-01,46.6
PC,BE,2001-01-01,82.06
PC,BE,2002-01-01,82.2
PC,BE,2003-01-01,82.8
PC,BE,2004-01-01,48.09
PC,BE,2005-01-01,24.37
PC,BE,2006-01-01,51.3
PC,BE,2007-01-01,31.18
PC,BE,2008-01-01,1.67
PC,BE,2009-01-01,46.14
PC,BE,2010-01-01,17.68
PC,BE,2011-01-01,38.57
PC,BE,2012-01-01,15.48
PC,BE,2013-01-01,10.79
PC,BE,2014-01-01,1.48
PC,BE,2015-01-01,0.0
PC,BG,2000-01-01,100.0
PC,BG,2001-01-01,0.0
PC,BG,2002-01-01,
PC,BG,2003-01-01,100.0
PC,BG,2004-01-01,100.0
PC,BG,2005-01-01,90.1
PC,BG,2006-01-01,95.82
PC,BG,2007-01-01,95.69
PC,BG,2008-01-01,100.0
PC,BG,2009-01-01,99.81
PC,BG,2010-01-01,100.0
PC,BG,2011-01-01,100.0
PC,BG,2012-01-01,97.2
PC,BG,2013-01-01,90.87
PC,BG,2014-01-01,96.68
PC,BG,2015-01-01,77.76
PC,CH,2000-01-01,8.1
PC,CH,2001-01-01,6.8
PC,CH,2002-01-01,4.72
PC,CH,2003-01-01,15.96
PC,CH,2004-01-01,0.29
PC,CH,2005-01-01,4.43
PC,CH,2006-01-01,36.48
PC,CH,2007-01-01,0.29
PC,CH,2008-01-01,0.0
PC,CH,2009-01-01,0.0
PC,CH,2010-01-01,0.0
PC,CH,2011-01-01,13.59
PC,CH,2012-01-01,0.0
PC,CH,2013-01-01,0.0
PC,CH,2014-01-01,
PC,CH,2015-01-01,0.0
PC,CY,2000-01-01,100.0
PC,CY,2001-01-01,100.0
PC,CY,2002-01-01,100.0
PC,CY,2003-01-01,100.0
PC,CY,2004-01-01,100.0
PC,CY,2005-01-01,100.0
PC,CY,2006-01-01,100.0
PC,CY,2007-01-01,100.0
PC,CY,2008-01-01,100.0
PC,CY,2009-01-01,100.0
PC,CY,2010-01-01,100.0
PC,CY,2011-01-01,100.0
PC,CY,2012-01-01,100.0
PC,CY,2013-01-01,100.0
PC,CY,2014-01-01,6.09
PC,CY,2015-01-01,6.09
PC,CZ,2000-01-01,43.84
PC,CZ,2001-01-01,63.92
PC,CZ,2002-01-01,96.41
PC,CZ,2003-01-01,96.22
PC,CZ,2004-01-01,82.15
PC,CZ,2005-01-01,80.41
PC,CZ,2006-01-01,89.69
PC,CZ,2007-01-01,21.35
PC,CZ,2008-01-01,18.62
PC,CZ,2009-01-01,23.42
PC,CZ,2010-01-01,52.81
PC,CZ,2011-01-01,64.19
PC,CZ,2012-01-01,25.46
PC,CZ,2013-01-01,19.61
PC,CZ,2014-01-01,27.08
PC,CZ,2015-01-01,18.67
PC,DE,2000-01-01,4.85
PC,DE,2001-01-01,7.64
PC,DE,2002-01-01,38.75
PC,DE,2003-01-01,48.07
PC,DE,2004-01-01,6.4
PC,DE,2005-01-01,5.43
PC,DE,2006-01-01,16.06
PC,DE,2007-01-01,1.34
PC,DE,2008-01-01,0.73
PC,DE,2009-01-01,1.53
PC,DE,2010-01-01,8.7
PC,DE,2011-01-01,8.17
PC,DE,2012-01-01,0.49
PC,DE,2013-01-01,0.59
PC,DE,2014-01-01,0.75
PC,DE,2015-01-01,0.07
PC,DK,2000-01-01,
PC,DK,2001-01-01,0.0
PC,DK,2002-01-01,15.65
PC,DK,2003-01-01,6.83
PC,DK,2004-01-01,3.12
PC,DK,2005-01-01,3.44
PC,DK,2006-01-01,5.44
PC,DK,2007-01-01,3.68
PC,DK,2008-01-01,0.0
PC,DK,2009-01-01,0.0
PC,DK,2010-01-01,0.0
PC,DK,2011-01-01,35.32
PC,DK,2012-01-01,0.0
PC,DK,2013-01-01,0.0
PC,DK,2014-01-01,0.0
PC,DK,2015-01-01,0.0
PC,EE,2000-01-01,
PC,EE,2001-01-01,0.0
PC,EE,2002-01-01,2.8
PC,EE,2003-01-01,2.8
PC,EE,2004-01-01,0.0
PC,EE,2005-01-01,0.0
PC,EE,2006-01-01,2.8
PC,EE,2007-01-01,2.8
PC,EE,2008-01-01,0.0
PC,EE,2009-01-01,0.0
PC,EE,2010-01-01,0.0
PC,EE,2011-01-01,0.0
PC,EE,2012-01-01,0.0
PC,EE,2013-01-01,0.0
PC,EE,2014-01-01,0.0
PC,EE,2015-01-01,0.0
PC,EL,2000-01-01,
PC,EL,2001-01-01,100.0
PC,EL,2002-01-01,100.0
PC,EL,2003-01-01,100.0
PC,EL,2004-01-01,100.0
PC,EL,2005-01-01,68.08
PC,EL,2006-01-01,52.06
PC,EL,2007-01-01,36.23
PC,EL,2008-01-01,52.48
PC,EL,2009-01-01,52.17
PC,EL,2010-01-01,52.27
PC,EL,2011-01-01,4.42
PC,EL,2012-01-01,48.23
PC,EL,2013-01-01,52.03
PC,EL,2014-01-01,2.34
PC,EL,2015-01-01,4.21
PC,ES,2000-01-01,99.26
PC,ES,2001-01-01,91.52
PC,ES,2002-01-01,59.71
PC,ES,2003-01-01,77.13
PC,ES,2004-01-01,79.59
PC,ES,2005-01-01,63.3
PC,ES,2006-01-01,68.6
PC,ES,2007-01-01,49.36
PC,ES,2008-01-01,36.38
PC,ES,2009-01-01,29.01
PC,ES,2010-01-01,2.8
PC,ES,2011-01-01,9.04
PC,ES,2012-01-01,4.25
PC,ES,2013-01-01,1.08
PC,ES,2014-01-01,1.55
PC,ES,2015-01-01,4.69
PC,EU28,2000-01-01,31.61
PC,EU28,2001-01-01,30.09
PC,EU28,2002-01-01,31.76
PC,EU28,2003-01-01,43.13
PC,EU28,2004-01-01,30.35
PC,EU28,2005-01-01,33.18
PC,EU28,2006-01-01,38.02
PC,EU28,2007-01-01,31.75
PC,EU28,2008-01-01,24.72
PC,EU28,2009-01-01,24.86
PC,EU28,2010-01-01,25.18
PC,EU28,2011-01-01,30.0
PC,EU28,2012-01-01,21.61
PC,EU28,2013-01-01,20.0
PC,EU28,2014-01-01,16.06
PC,EU28,2015-01-01,18.72
PC,FI,2000-01-01,0.0
PC,FI,2001-01-01,0.0
PC,FI,2002-01-01,0.0
PC,FI,2003-01-01,0.55
PC,FI,2004-01-01,0.0
PC,FI,2005-01-01,1.22
PC,FI,2006-01-01,1.1
PC,FI,2007-01-01,0.0
PC,FI,2008-01-01,0.0
PC,FI,2009-01-01,0.0
PC,FI,2010-01-01,0.0
PC,FI,2011-01-01,0.0
PC,FI,2012-01-01,0.0
PC,FI,2013-01-01,0.0
PC,FI,2014-01-01,0.0
PC,FI,2015-01-01,0.0
PC,FR,2000-01-01,
PC,FR,2001-01-01,0.05
PC,FR,2002-01-01,1.32
PC,FR,2003-01-01,3.37
PC,FR,2004-01-01,3.23
PC,FR,2005-01-01,1.36
PC,FR,2006-01-01,1.41
PC,FR,2007-01-01,21.05
PC,FR,2008-01-01,5.87
PC,FR,2009-01-01,11.86
PC,FR,2010-01-01,3.85
PC,FR,2011-01-01,19.29
PC,FR,2012-01-01,7.65
PC,FR,2013-01-01,1.76
PC,FR,2014-01-01,0.63
PC,FR,2015-01-01,1.35
PC,HR,2000-01-01,
PC,HR,2001-01-01,
PC,HR,2002-01-01,
PC,HR,2003-01-01,
PC,HR,2004-01-01,
PC,HR,2005-01-01,
PC,HR,2006-01-01,87.56
PC,HR,2007-01-01,
PC,HR,2008-01-01,87.56
PC,HR,2009-01-01,87.56
PC,HR,2010-01-01,38.52
PC,HR,2011-01-01,87.56
PC,HR,2012-01-01,0.0
PC,HR,2013-01-01,86.66
PC,HR,2014-01-01,86.66
PC,HR,2015-01-01,81.47
PC,HU,2000-01-01,100.0
PC,HU,2001-01-01,100.0
PC,HU,2002-01-01,
PC,HU,2003-01-01,99.69
PC,HU,2004-01-01,20.59
PC,HU,2005-01-01,97.76
PC,HU,2006-01-01,97.76
PC,HU,2007-01-01,59.26
PC,HU,2008-01-01,67.13
PC,HU,2009-01-01,31.3
PC,HU,2010-01-01,89.42
PC,HU,2011-01-01,100.0
PC,HU,2012-01-01,54.77
PC,HU,2013-01-01,2.74
PC,HU,2014-01-01,28.72
PC,HU,2015-01-01,27.31
PC,IE,2000-01-01,
PC,IE,2001-01-01,0.0
PC,IE,2002-01-01,1.5
PC,IE,2003-01-01,3.0
PC,IE,2004-01-01,0.0
PC,IE,2005-01-01,0.0
PC,IE,2006-01-01,0.0
PC,IE,2007-01-01,0.0
PC,IE,2008-01-01,0.0
PC,IE,2009-01-01,0.0
PC,IE,2010-01-01,0.0
PC,IE,2011-01-01,0.0
PC,IE,2012-01-01,0.0
PC,IE,2013-01-01,0.0
PC,IE,2014-01-01,0.0
PC,IE,2015-01-01,0.0
PC,IS,2000-01-01,
PC,IS,2001-01-01,
PC,IS,2002-01-01,
PC,IS,2003-01-01,0.0
PC,IS,2004-01-01,99.3
PC,IS,2005-01-01,0.0
PC,IS,2006-01-01,0.0
PC,IS,2007-01-01,0.0
PC,IS,2008-01-01,0.0
PC,IS,2009-01-01,0.0
PC,IS,2010-01-01,0.0
PC,IS,2011-01-01,0.0
PC,IS,2012-01-01,0.0
