unit,geotime,date,value
I_EU,AT,2010-01-01,127.0
I_EU,AT,2011-01-01,118.0
I_EU,AT,2012-01-01,116.0
I_EU,AT,2013-01-01,107.0
I_EU,AT,2014-01-01,103.0
I_EU,AT,2015-01-01,105.0
I_EU,AT,2016-01-01,109.0
I_EU,AT,2017-01-01,113.0
I_EU,BE,2010-01-01,109.0
I_EU,BE,2011-01-01,114.0
I_EU,BE,2012-01-01,112.0
I_EU,BE,2013-01-01,98.0
I_EU,BE,2014-01-01,90.0
I_EU,BE,2015-01-01,90.0
I_EU,BE,2016-01-01,82.0
I_EU,BE,2017-01-01,83.0
I_EU,BG,2010-01-01,31.0
I_EU,BG,2011-01-01,43.0
I_EU,BG,2012-01-01,55.0
I_EU,BG,2013-01-01,20.0
I_EU,BG,2014-01-01,31.0
I_EU,BG,2015-01-01,29.0
I_EU,BG,2016-01-01,29.0
I_EU,BG,2017-01-01,38.0
I_EU,CY,2010-01-01,62.0
I_EU,CY,2011-01-01,66.0
I_EU,CY,2012-01-01,65.0
I_EU,CY,2013-01-01,33.0
I_EU,CY,2014-01-01,44.0
I_EU,CY,2015-01-01,43.0
I_EU,CY,2016-01-01,56.0
I_EU,CY,2017-01-01,45.0
I_EU,CZ,2010-01-01,74.0
I_EU,CZ,2011-01-01,84.0
I_EU,CZ,2012-01-01,81.0
I_EU,CZ,2013-01-01,66.0
I_EU,CZ,2014-01-01,84.0
I_EU,CZ,2015-01-01,87.0
I_EU,CZ,2016-01-01,80.0
I_EU,CZ,2017-01-01,82.0
I_EU,DE,2010-01-01,134.0
I_EU,DE,2011-01-01,126.0
I_EU,DE,2012-01-01,127.0
I_EU,DE,2013-01-01,138.0
I_EU,DE,2014-01-01,135.0
I_EU,DE,2015-01-01,132.0
I_EU,DE,2016-01-01,135.0
I_EU,DE,2017-01-01,139.0
I_EU,DK,2010-01-01,149.0
I_EU,DK,2011-01-01,140.0
I_EU,DK,2012-01-01,135.0
I_EU,DK,2013-01-01,129.0
I_EU,DK,2014-01-01,131.0
I_EU,DK,2015-01-01,131.0
I_EU,DK,2016-01-01,129.0
I_EU,DK,2017-01-01,120.0
I_EU,EE,2010-01-01,49.0
I_EU,EE,2011-01-01,62.0
I_EU,EE,2012-01-01,63.0
I_EU,EE,2013-01-01,56.0
I_EU,EE,2014-01-01,58.0
I_EU,EE,2015-01-01,59.0
I_EU,EE,2016-01-01,65.0
I_EU,EE,2017-01-01,62.0
I_EU,EL,2010-01-01,43.0
I_EU,EL,2011-01-01,56.0
I_EU,EL,2012-01-01,69.0
I_EU,EL,2013-01-01,61.0
I_EU,EL,2014-01-01,65.0
I_EU,EL,2015-01-01,66.0
I_EU,EL,2016-01-01,78.0
I_EU,EL,2017-01-01,77.0
I_EU,ES,2010-01-01,105.0
I_EU,ES,2011-01-01,134.0
I_EU,ES,2012-01-01,125.0
I_EU,ES,2013-01-01,120.0
I_EU,ES,2014-01-01,111.0
I_EU,ES,2015-01-01,109.0
I_EU,ES,2016-01-01,99.0
I_EU,ES,2017-01-01,112.0
I_EU,EU27,2010-01-01,100.0
I_EU,EU27,2011-01-01,100.0
I_EU,EU27,2012-01-01,100.0
I_EU,EU27,2013-01-01,
I_EU,EU27,2014-01-01,
I_EU,EU27,2015-01-01,
I_EU,EU27,2016-01-01,
I_EU,EU27,2017-01-01,
I_EU,EU28,2010-01-01,
I_EU,EU28,2011-01-01,
I_EU,EU28,2012-01-01,
I_EU,EU28,2013-01-01,100.0
I_EU,EU28,2014-01-01,100.0
I_EU,EU28,2015-01-01,100.0
I_EU,EU28,2016-01-01,100.0
I_EU,EU28,2017-01-01,100.0
I_EU,FI,2010-01-01,139.0
I_EU,FI,2011-01-01,143.0
I_EU,FI,2012-01-01,136.0
I_EU,FI,2013-01-01,133.0
I_EU,FI,2014-01-01,129.0
I_EU,FI,2015-01-01,131.0
I_EU,FI,2016-01-01,133.0
I_EU,FI,2017-01-01,141.0
I_EU,FR,2010-01-01,109.0
I_EU,FR,2011-01-01,108.0
I_EU,FR,2012-01-01,100.0
I_EU,FR,2013-01-01,113.0
I_EU,FR,2014-01-01,112.0
I_EU,FR,2015-01-01,113.0
I_EU,FR,2016-01-01,106.0
I_EU,FR,2017-01-01,99.0
I_EU,HR,2010-01-01,
I_EU,HR,2011-01-01,
I_EU,HR,2012-01-01,
I_EU,HR,2013-01-01,53.0
I_EU,HR,2014-01-01,91.0
I_EU,HR,2015-01-01,61.0
I_EU,HR,2016-01-01,80.0
I_EU,HR,2017-01-01,75.0
I_EU,HU,2010-01-01,69.0
I_EU,HU,2011-01-01,76.0
I_EU,HU,2012-01-01,70.0
I_EU,HU,2013-01-01,58.0
I_EU,HU,2014-01-01,74.0
I_EU,HU,2015-01-01,73.0
I_EU,HU,2016-01-01,61.0
I_EU,HU,2017-01-01,63.0
I_EU,IE,2010-01-01,100.0
I_EU,IE,2011-01-01,116.0
I_EU,IE,2012-01-01,102.0
I_EU,IE,2013-01-01,96.0
I_EU,IE,2014-01-01,98.0
I_EU,IE,2015-01-01,94.0
I_EU,IE,2016-01-01,95.0
I_EU,IE,2017-01-01,99.0
I_EU,IT,2010-01-01,105.0
I_EU,IT,2011-01-01,91.0
I_EU,IT,2012-01-01,98.0
I_EU,IT,2013-01-01,97.0
I_EU,IT,2014-01-01,100.0
I_EU,IT,2015-01-01,104.0
I_EU,IT,2016-01-01,110.0
I_EU,IT,2017-01-01,113.0
I_EU,LT,2010-01-01,47.0
I_EU,LT,2011-01-01,50.0
I_EU,LT,2012-01-01,49.0
I_EU,LT,2013-01-01,63.0
I_EU,LT,2014-01-01,66.0
I_EU,LT,2015-01-01,66.0
I_EU,LT,2016-01-01,82.0
I_EU,LT,2017-01-01,82.0
I_EU,LU,2010-01-01,112.0
I_EU,LU,2011-01-01,120.0
I_EU,LU,2012-01-01,110.0
I_EU,LU,2013-01-01,114.0
I_EU,LU,2014-01-01,139.0
I_EU,LU,2015-01-01,125.0
I_EU,LU,2016-01-01,140.0
I_EU,LU,2017-01-01,139.0
I_EU,LV,2010-01-01,51.0
I_EU,LV,2011-01-01,72.0
I_EU,LV,2012-01-01,65.0
I_EU,LV,2013-01-01,43.0
I_EU,LV,2014-01-01,65.0
I_EU,LV,2015-01-01,65.0
I_EU,LV,2016-01-01,86.0
I_EU,LV,2017-01-01,73.0
I_EU,MT,2010-01-01,67.0
I_EU,MT,2011-01-01,79.0
I_EU,MT,2012-01-01,76.0
I_EU,MT,2013-01-01,68.0
I_EU,MT,2014-01-01,50.0
I_EU,MT,2015-01-01,59.0
I_EU,MT,2016-01-01,65.0
I_EU,MT,2017-01-01,86.0
I_EU,NL,2010-01-01,117.0
I_EU,NL,2011-01-01,112.0
I_EU,NL,2012-01-01,109.0
I_EU,NL,2013-01-01,96.0
I_EU,NL,2014-01-01,98.0
I_EU,NL,2015-01-01,100.0
I_EU,NL,2016-01-01,92.0
I_EU,NL,2017-01-01,88.0
I_EU,PL,2010-01-01,40.0
I_EU,PL,2011-01-01,38.0
I_EU,PL,2012-01-01,41.0
I_EU,PL,2013-01-01,30.0
I_EU,PL,2014-01-01,53.0
I_EU,PL,2015-01-01,44.0
I_EU,PL,2016-01-01,56.0
I_EU,PL,2017-01-01,59.0
I_EU,PT,2010-01-01,71.0
I_EU,PT,2011-01-01,88.0
I_EU,PT,2012-01-01,88.0
I_EU,PT,2013-01-01,81.0
I_EU,PT,2014-01-01,92.0
I_EU,PT,2015-01-01,92.0
I_EU,PT,2016-01-01,96.0
I_EU,PT,2017-01-01,105.0
I_EU,RO,2010-01-01,48.0
I_EU,RO,2011-01-01,58.0
I_EU,RO,2012-01-01,71.0
I_EU,RO,2013-01-01,55.0
I_EU,RO,2014-01-01,68.0
I_EU,RO,2015-01-01,71.0
I_EU,RO,2016-01-01,67.0
I_EU,RO,2017-01-01,65.0
I_EU,SE,2010-01-01,143.0
I_EU,SE,2011-01-01,130.0
I_EU,SE,2012-01-01,128.0
I_EU,SE,2013-01-01,140.0
I_EU,SE,2014-01-01,121.0
I_EU,SE,2015-01-01,121.0
I_EU,SE,2016-01-01,128.0
I_EU,SE,2017-01-01,144.0
I_EU,SI,2010-01-01,87.0
I_EU,SI,2011-01-01,99.0
I_EU,SI,2012-01-01,105.0
I_EU,SI,2013-01-01,71.0
I_EU,SI,2014-01-01,93.0
I_EU,SI,2015-01-01,93.0
I_EU,SI,2016-01-01,102.0
I_EU,SI,2017-01-01,117.0
I_EU,SK,2010-01-01,43.0
I_EU,SK,2011-01-01,49.0
I_EU,SK,2012-01-01,50.0
I_EU,SK,2013-01-01,42.0
I_EU,SK,2014-01-01,61.0
I_EU,SK,2015-01-01,61.0
I_EU,SK,2016-01-01,79.0
I_EU,SK,2017-01-01,74.0
I_EU,UK,2010-01-01,116.0
I_EU,UK,2011-01-01,103.0
I_EU,UK,2012-01-01,106.0
I_EU,UK,2013-01-01,130.0
I_EU,UK,2014-01-01,104.0
I_EU,UK,2015-01-01,113.0
I_EU,UK,2016-01-01,113.0
I_EU,UK,2017-01-01,105.0
