unit,tax,nace_r2,geotime,date,value
PC,NRG,A,AT,1995-01-01,8.1
PC,NRG,A,AT,1996-01-01,7.2
PC,NRG,A,AT,1997-01-01,6.8
PC,NRG,A,AT,1998-01-01,6.7
PC,NRG,A,AT,1999-01-01,6.8
PC,NRG,A,AT,2000-01-01,6.3
PC,NRG,A,AT,2001-01-01,5.9
PC,NRG,A,AT,2002-01-01,5.9
PC,NRG,A,AT,2003-01-01,5.7
PC,NRG,A,AT,2004-01-01,5.6
PC,NRG,A,AT,2005-01-01,5.3
PC,NRG,A,AT,2006-01-01,5.4
PC,NRG,A,AT,2007-01-01,5.4
PC,NRG,A,AT,2008-01-01,5.5
PC,NRG,A,AT,2009-01-01,5.5
PC,NRG,A,AT,2010-01-01,5.4
PC,NRG,A,AT,2011-01-01,5.5
PC,NRG,A,AT,2012-01-01,5.4
PC,NRG,A,AT,2013-01-01,5.3
PC,NRG,A,AT,2014-01-01,5.3
PC,NRG,A,AT,2015-01-01,5.2
PC,NRG,A,AT,2016-01-01,
PC,NRG,A,BE,1995-01-01,
PC,NRG,A,BE,1996-01-01,
PC,NRG,A,BE,1997-01-01,
PC,NRG,A,BE,1998-01-01,
PC,NRG,A,BE,1999-01-01,
PC,NRG,A,BE,2000-01-01,
PC,NRG,A,BE,2001-01-01,
PC,NRG,A,BE,2002-01-01,
PC,NRG,A,BE,2003-01-01,
PC,NRG,A,BE,2004-01-01,
PC,NRG,A,BE,2005-01-01,
PC,NRG,A,BE,2006-01-01,
PC,NRG,A,BE,2007-01-01,
PC,NRG,A,BE,2008-01-01,0.4
PC,NRG,A,BE,2009-01-01,0.4
PC,NRG,A,BE,2010-01-01,0.2
PC,NRG,A,BE,2011-01-01,0.2
PC,NRG,A,BE,2012-01-01,0.3
PC,NRG,A,BE,2013-01-01,0.2
PC,NRG,A,BE,2014-01-01,0.2
PC,NRG,A,BE,2015-01-01,0.2
PC,NRG,A,BE,2016-01-01,
PC,NRG,A,BG,1995-01-01,
PC,NRG,A,BG,1996-01-01,
PC,NRG,A,BG,1997-01-01,
PC,NRG,A,BG,1998-01-01,
PC,NRG,A,BG,1999-01-01,
PC,NRG,A,BG,2000-01-01,
PC,NRG,A,BG,2001-01-01,
PC,NRG,A,BG,2002-01-01,
PC,NRG,A,BG,2003-01-01,
PC,NRG,A,BG,2004-01-01,
PC,NRG,A,BG,2005-01-01,
PC,NRG,A,BG,2006-01-01,
PC,NRG,A,BG,2007-01-01,
PC,NRG,A,BG,2008-01-01,4.2
PC,NRG,A,BG,2009-01-01,5.2
PC,NRG,A,BG,2010-01-01,5.7
PC,NRG,A,BG,2011-01-01,5.5
PC,NRG,A,BG,2012-01-01,5.7
PC,NRG,A,BG,2013-01-01,6.0
PC,NRG,A,BG,2014-01-01,5.7
PC,NRG,A,BG,2015-01-01,5.3
PC,NRG,A,BG,2016-01-01,
PC,NRG,A,CH,1995-01-01,
PC,NRG,A,CH,1996-01-01,
PC,NRG,A,CH,1997-01-01,
PC,NRG,A,CH,1998-01-01,
PC,NRG,A,CH,1999-01-01,
PC,NRG,A,CH,2000-01-01,1.9
PC,NRG,A,CH,2001-01-01,1.9
PC,NRG,A,CH,2002-01-01,1.8
PC,NRG,A,CH,2003-01-01,1.8
PC,NRG,A,CH,2004-01-01,1.8
PC,NRG,A,CH,2005-01-01,1.8
PC,NRG,A,CH,2006-01-01,1.8
PC,NRG,A,CH,2007-01-01,1.8
PC,NRG,A,CH,2008-01-01,1.8
PC,NRG,A,CH,2009-01-01,1.9
PC,NRG,A,CH,2010-01-01,1.7
PC,NRG,A,CH,2011-01-01,1.8
PC,NRG,A,CH,2012-01-01,1.8
PC,NRG,A,CH,2013-01-01,1.9
PC,NRG,A,CH,2014-01-01,2.0
PC,NRG,A,CH,2015-01-01,2.1
PC,NRG,A,CH,2016-01-01,
PC,NRG,A,CY,1995-01-01,
PC,NRG,A,CY,1996-01-01,
PC,NRG,A,CY,1997-01-01,
PC,NRG,A,CY,1998-01-01,
PC,NRG,A,CY,1999-01-01,
PC,NRG,A,CY,2000-01-01,
PC,NRG,A,CY,2001-01-01,
PC,NRG,A,CY,2002-01-01,
PC,NRG,A,CY,2003-01-01,
PC,NRG,A,CY,2004-01-01,
PC,NRG,A,CY,2005-01-01,
PC,NRG,A,CY,2006-01-01,
PC,NRG,A,CY,2007-01-01,
PC,NRG,A,CY,2008-01-01,0.3
PC,NRG,A,CY,2009-01-01,0.3
PC,NRG,A,CY,2010-01-01,0.3
PC,NRG,A,CY,2011-01-01,0.3
PC,NRG,A,CY,2012-01-01,0.3
PC,NRG,A,CY,2013-01-01,0.3
PC,NRG,A,CY,2014-01-01,0.3
PC,NRG,A,CY,2015-01-01,0.3
PC,NRG,A,CY,2016-01-01,
PC,NRG,A,CZ,1995-01-01,
PC,NRG,A,CZ,1996-01-01,
PC,NRG,A,CZ,1997-01-01,
PC,NRG,A,CZ,1998-01-01,
PC,NRG,A,CZ,1999-01-01,
PC,NRG,A,CZ,2000-01-01,
PC,NRG,A,CZ,2001-01-01,
PC,NRG,A,CZ,2002-01-01,
PC,NRG,A,CZ,2003-01-01,
PC,NRG,A,CZ,2004-01-01,
PC,NRG,A,CZ,2005-01-01,3.7
PC,NRG,A,CZ,2006-01-01,3.5
PC,NRG,A,CZ,2007-01-01,3.9
PC,NRG,A,CZ,2008-01-01,3.8
PC,NRG,A,CZ,2009-01-01,3.7
PC,NRG,A,CZ,2010-01-01,3.6
PC,NRG,A,CZ,2011-01-01,3.8
PC,NRG,A,CZ,2012-01-01,4.0
PC,NRG,A,CZ,2013-01-01,4.4
