currency,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geotime,date,value
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2017-09-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2017-10-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2017-11-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2017-12-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2018-01-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2018-02-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2018-03-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2018-04-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2018-05-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2018-06-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2018-07-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,AT,2018-08-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2017-09-01,799.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2017-10-01,495.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2017-11-01,-1230.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2017-12-01,884.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2018-01-01,942.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2018-02-01,285.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2018-03-01,4.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2018-04-01,779.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2018-05-01,-3126.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2018-06-01,-41.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2018-07-01,-812.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BE,2018-08-01,-1759.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2017-09-01,568.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2017-10-01,78.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2017-11-01,-26.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2017-12-01,-282.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2018-01-01,-233.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2018-02-01,176.7 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2018-03-01,-73.4 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2018-04-01,-111.7 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2018-05-01,-10.5 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2018-06-01,238.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2018-07-01,924.4 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,BG,2018-08-01,1062.4 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2017-09-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2017-10-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2017-11-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2017-12-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2018-01-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2018-02-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2018-03-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2018-04-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2018-05-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2018-06-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2018-07-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CY,2018-08-01,: c
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2017-09-01,-99.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2017-10-01,474.5 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2017-11-01,-210.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2017-12-01,-293.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2018-01-01,1375.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2018-02-01,1230.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2018-03-01,-407.4 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2018-04-01,1202.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2018-05-01,17.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2018-06-01,-869.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2018-07-01,-4.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,CZ,2018-08-01,-271.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2017-09-01,26583.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2017-10-01,19221.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2017-11-01,26146.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2017-12-01,28062.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2018-01-01,20211.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2018-02-01,21437.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2018-03-01,29463.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2018-04-01,23791.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2018-05-01,13712.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2018-06-01,26645.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2018-07-01,15094.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DE,2018-08-01,15331.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2017-09-01,2200.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2017-10-01,2125.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2017-11-01,1625.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2017-12-01,1653.8 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2018-01-01,935.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2018-02-01,1411.7 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2018-03-01,-91.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2018-04-01,-177.2 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2018-05-01,1923.3 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2018-06-01,2051.6 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2018-07-01,2324.1 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,DK,2018-08-01,1222.9 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2017-09-01,47516.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2017-10-01,37385.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2017-11-01,37201.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2017-12-01,44807.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2018-01-01,9705.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2018-02-01,24904.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2018-03-01,47018.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2018-04-01,33307.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2018-05-01,13370.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2018-06-01,32782.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2018-07-01,29960.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EA19,2018-08-01,20493.0 
MIO_EUR,CA,S1,S1,BAL,WRL_REST,NSA,EE,2017-09-01,105.3 
