s_adj,bop_item,sector10,sectpart,stk_flow,partner,currency,geo\time,date,value
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2017-09-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2017-10-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2017-11-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2017-12-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2018-01-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2018-02-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2018-03-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2018-04-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2018-05-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2018-06-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2018-07-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,AT,2018-08-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2017-09-01,253.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2017-10-01,-12.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2017-11-01,-5.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2017-12-01,31.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2018-01-01,11.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2018-02-01,-29.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2018-03-01,-17.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2018-04-01,3.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2018-05-01,-12.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2018-06-01,12.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2018-07-01,-34.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BE,2018-08-01,-36.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2017-09-01,17.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2017-10-01,40.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2017-11-01,52.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2017-12-01,98.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2018-01-01,16.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2018-02-01,-17.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2018-03-01,3.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2018-04-01,66.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2018-05-01,34.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2018-06-01,92.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2018-07-01,62.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,BG,2018-08-01,134.8 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,CY,2017-09-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,CY,2017-10-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,CY,2017-11-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,CY,2017-12-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,CY,2018-01-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,CY,2018-02-01,: c
