currency,s_adj,sector10,sectpart,stk_flow,partner,bop_item,geotime,date,value
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2017-09-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2017-10-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2017-11-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2017-12-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2018-01-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2018-02-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2018-03-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2018-04-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2018-05-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2018-06-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2018-07-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,AT,2018-08-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2017-09-01,1932
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2017-10-01,837
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2017-11-01,1089
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2017-12-01,554
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2018-01-01,84
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2018-02-01,896
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2018-03-01,581
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2018-04-01,1063
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2018-05-01,1740
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2018-06-01,1274
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2018-07-01,663
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BE,2018-08-01,2347
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2017-09-01,238
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2017-10-01,288
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2017-11-01,326
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2017-12-01,659
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2018-01-01,64
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2018-02-01,292
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2018-03-01,180
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2018-04-01,62
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2018-05-01,322
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2018-06-01,244
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2018-07-01,168
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,BG,2018-08-01,526
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,CY,2017-09-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,CY,2017-10-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,CY,2017-11-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,CY,2017-12-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,CY,2018-01-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,CY,2018-02-01,
MIO_EUR,NSA,S1,S1,NET,WRL_REST,EO,CY,2018-03-01,
