currency,partner,sector10,sectpart,stk_flow,bop_item,geotime,date,value
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2016-10-01,4825
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AL,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2016-10-01,13033
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,AT,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2016-10-01,242154
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BE,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2016-10-01,23663
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,BG,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2016-10-01,728980
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CH,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2016-10-01,22746
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CY,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2016-10-01,47485
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,CZ,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2016-10-01,1602511
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DE,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2016-10-01,153538
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,DK,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2016-10-01,764675
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EA19,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2016-10-01,8430
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EE,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2016-10-01,243271
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,EL,2018-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2016-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2016-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2016-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2016-10-01,954546
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2017-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2017-04-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2017-07-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2017-10-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2018-01-01,
MIO_EUR,WRL_REST,S1,S1,N_LE,FA,ES,2018-04-01,
