currency,partner,sector10,sectpart,s_adj,stk_flow,bop_item,geotime,date,value
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2016-01-01,197
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2016-04-01,287
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2016-07-01,148
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2016-10-01,177
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2017-01-01,157
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2017-04-01,255
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2017-07-01,143
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2017-10-01,309
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2018-01-01,165
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AL,2018-04-01,172
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2016-01-01,5195
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2016-04-01,1036
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2016-07-01,1642
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2016-10-01,951
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2017-01-01,4352
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2017-04-01,125
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2017-07-01,388
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2017-10-01,2352
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2018-01-01,5320
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,AT,2018-04-01,992
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2016-01-01,2463
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2016-04-01,578
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2016-07-01,3499
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2016-10-01,2104
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2017-01-01,899
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2017-04-01,1135
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2017-07-01,1010
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2017-10-01,149
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2018-01-01,1231
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BE,2018-04-01,2389
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2016-01-01,138
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2016-04-01,460
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2016-07-01,1362
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2016-10-01,440
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2017-01-01,255
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2017-04-01,711
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2017-07-01,2630
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2017-10-01,229
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2018-01-01,129
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,BG,2018-04-01,115
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2016-01-01,6067
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2016-04-01,17623
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2016-07-01,15059
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2016-10-01,21080
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2017-01-01,12123
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2017-04-01,18815
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2017-07-01,12712
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2017-10-01,13516
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2018-01-01,14961
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CH,2018-04-01,18858
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2016-01-01,101
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2016-04-01,454
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2016-07-01,383
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2016-10-01,965
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2017-01-01,777
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2017-04-01,69
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2017-07-01,261
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2017-10-01,1196
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2018-01-01,128
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CY,2018-04-01,263
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2016-01-01,4421
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2016-04-01,370
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2016-07-01,710
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2016-10-01,595
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2017-01-01,3608
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2017-04-01,305
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2017-07-01,1324
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2017-10-01,26
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2018-01-01,2196
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,CZ,2018-04-01,332
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2016-01-01,66589
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2016-04-01,69819
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2016-07-01,61051
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2016-10-01,71353
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2017-01-01,67578
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2017-04-01,53573
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2017-07-01,63145
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2017-10-01,73429
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2018-01-01,71111
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DE,2018-04-01,63757
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2016-01-01,3633
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2016-04-01,6254
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2016-07-01,5409
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2016-10-01,7041
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2017-01-01,5395
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2017-04-01,6700
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2017-07-01,5790
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2017-10-01,5405
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2018-01-01,2255
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,DK,2018-04-01,3797
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2016-01-01,60676
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2016-04-01,81392
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2016-07-01,98483
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2016-10-01,106087
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2017-01-01,56824
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2017-04-01,58339
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2017-07-01,120532
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2017-10-01,119393
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2018-01-01,81627
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EA19,2018-04-01,79458
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2016-01-01,90
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2016-04-01,157
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2016-07-01,276
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2016-10-01,80
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2017-01-01,102
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2017-04-01,134
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2017-07-01,257
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2017-10-01,256
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2018-01-01,80
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EE,2018-04-01,117
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2016-01-01,2641
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2016-04-01,688
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2016-07-01,3742
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2016-10-01,2606
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2017-01-01,2874
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2017-04-01,519
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2017-07-01,4483
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2017-10-01,2871
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2018-01-01,2913
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EL,2018-04-01,1106
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2016-01-01,399
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2016-04-01,6826
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2016-07-01,8896
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2016-10-01,9921
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2017-01-01,1367
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2017-04-01,5811
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2017-07-01,6656
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2017-10-01,10412
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2018-01-01,2091
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,ES,2018-04-01,2181
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2016-01-01,31228
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2016-04-01,38468
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2016-07-01,60128
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2016-10-01,72484
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2017-01-01,14218
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2017-04-01,18158
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2017-07-01,73125
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2017-10-01,77737
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2018-01-01,50366
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,EU28,2018-04-01,36550
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2016-01-01,610
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2016-04-01,1250
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2016-07-01,858
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2016-10-01,612
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2017-01-01,770
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2017-04-01,1539
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2017-07-01,374
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2017-10-01,428
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2018-01-01,702
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FI,2018-04-01,2066
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FR,2015-07-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FR,2015-10-01,
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FR,2016-01-01,14415
MIO_EUR,WRL_REST,S1,S1,NSA,BAL,CA,FR,2016-04-01,3331
