unit,s_adj,partner,stk_flow,bop_item,geotime,date,value
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2015-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2015-10-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2016-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2016-04-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2016-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2016-10-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2017-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2017-04-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2017-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2017-10-01,10
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2018-01-01,5
PC_GDP,NSA,WRL_REST,BAL,CA,AL,2018-04-01,5
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2015-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2015-10-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2016-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2016-04-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2016-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2016-10-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2017-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2017-04-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2017-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2017-10-01,2
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2018-01-01,5
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2018-04-01,1
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2015-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2015-10-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2016-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2016-04-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2016-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2016-10-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2017-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2017-04-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2017-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2017-10-01,0
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2018-01-01,1
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2018-04-01,2
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2015-07-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2015-10-01,
