currency,bop_item,sector10,sectpart,s_adj,stk_flow,partner,geotime,date,value
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2018-01-01,146
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AL,2018-04-01,151
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2017-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2018-01-01,5181
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,AT,2018-04-01,937
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2015-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2015-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2016-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2016-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2016-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2016-10-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2017-01-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2017-04-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2017-07-01,
MIO_EUR,CKA,S1,S1,NSA,BAL,WRL_REST,BE,2017-10-01,
