indic,s_adj,geotime,date,value
BS-ICU-PC,NSA,AT,2015-10-01,83.3
BS-ICU-PC,NSA,AT,2016-01-01,84.6
BS-ICU-PC,NSA,AT,2016-04-01,83.9
BS-ICU-PC,NSA,AT,2016-07-01,83.8
BS-ICU-PC,NSA,AT,2016-10-01,85.0
BS-ICU-PC,NSA,AT,2017-01-01,84.8
BS-ICU-PC,NSA,AT,2017-04-01,86.6
BS-ICU-PC,NSA,AT,2017-07-01,87.4
BS-ICU-PC,NSA,AT,2017-10-01,87.8
BS-ICU-PC,NSA,AT,2018-01-01,88.5
BS-ICU-PC,NSA,AT,2018-04-01,88.5
BS-ICU-PC,NSA,AT,2018-07-01,88.8
BS-ICU-PC,NSA,BE,2015-10-01,79.0
BS-ICU-PC,NSA,BE,2016-01-01,79.6
BS-ICU-PC,NSA,BE,2016-04-01,79.4
BS-ICU-PC,NSA,BE,2016-07-01,80.2
BS-ICU-PC,NSA,BE,2016-10-01,80.9
BS-ICU-PC,NSA,BE,2017-01-01,80.5
BS-ICU-PC,NSA,BE,2017-04-01,81.4
BS-ICU-PC,NSA,BE,2017-07-01,82.5
BS-ICU-PC,NSA,BE,2017-10-01,82.8
BS-ICU-PC,NSA,BE,2018-01-01,81.6
BS-ICU-PC,NSA,BE,2018-04-01,80.9
BS-ICU-PC,NSA,BE,2018-07-01,80.2
BS-ICU-PC,NSA,BG,2015-10-01,73.7
BS-ICU-PC,NSA,BG,2016-01-01,74.2
BS-ICU-PC,NSA,BG,2016-04-01,73.6
BS-ICU-PC,NSA,BG,2016-07-01,74.6
BS-ICU-PC,NSA,BG,2016-10-01,74.4
BS-ICU-PC,NSA,BG,2017-01-01,73.5
BS-ICU-PC,NSA,BG,2017-04-01,74.6
BS-ICU-PC,NSA,BG,2017-07-01,75.5
BS-ICU-PC,NSA,BG,2017-10-01,76.6
BS-ICU-PC,NSA,BG,2018-01-01,76.1
BS-ICU-PC,NSA,BG,2018-04-01,75.2
BS-ICU-PC,NSA,BG,2018-07-01,77.8
BS-ICU-PC,NSA,CY,2015-10-01,60.7
BS-ICU-PC,NSA,CY,2016-01-01,55.7
BS-ICU-PC,NSA,CY,2016-04-01,62.9
BS-ICU-PC,NSA,CY,2016-07-01,60.6
BS-ICU-PC,NSA,CY,2016-10-01,59.6
BS-ICU-PC,NSA,CY,2017-01-01,56.1
BS-ICU-PC,NSA,CY,2017-04-01,57.7
BS-ICU-PC,NSA,CY,2017-07-01,64.3
BS-ICU-PC,NSA,CY,2017-10-01,59.5
BS-ICU-PC,NSA,CY,2018-01-01,58.8
BS-ICU-PC,NSA,CY,2018-04-01,61.3
BS-ICU-PC,NSA,CY,2018-07-01,64.0
BS-ICU-PC,NSA,CZ,2015-10-01,84.1
BS-ICU-PC,NSA,CZ,2016-01-01,83.7
BS-ICU-PC,NSA,CZ,2016-04-01,85.2
BS-ICU-PC,NSA,CZ,2016-07-01,84.4
BS-ICU-PC,NSA,CZ,2016-10-01,84.7
BS-ICU-PC,NSA,CZ,2017-01-01,84.4
BS-ICU-PC,NSA,CZ,2017-04-01,83.4
BS-ICU-PC,NSA,CZ,2017-07-01,84.2
BS-ICU-PC,NSA,CZ,2017-10-01,84.7
BS-ICU-PC,NSA,CZ,2018-01-01,85.8
BS-ICU-PC,NSA,CZ,2018-04-01,85.4
BS-ICU-PC,NSA,CZ,2018-07-01,86.2
BS-ICU-PC,NSA,DE,2015-10-01,84.1
BS-ICU-PC,NSA,DE,2016-01-01,83.9
BS-ICU-PC,NSA,DE,2016-04-01,84.4
BS-ICU-PC,NSA,DE,2016-07-01,84.9
BS-ICU-PC,NSA,DE,2016-10-01,85.3
BS-ICU-PC,NSA,DE,2017-01-01,84.9
BS-ICU-PC,NSA,DE,2017-04-01,86.3
BS-ICU-PC,NSA,DE,2017-07-01,87.3
BS-ICU-PC,NSA,DE,2017-10-01,87.7
BS-ICU-PC,NSA,DE,2018-01-01,87.5
BS-ICU-PC,NSA,DE,2018-04-01,87.8
BS-ICU-PC,NSA,DE,2018-07-01,88.0
BS-ICU-PC,NSA,DK,2015-10-01,81.0
BS-ICU-PC,NSA,DK,2016-01-01,79.6
BS-ICU-PC,NSA,DK,2016-04-01,79.7
BS-ICU-PC,NSA,DK,2016-07-01,81.5
BS-ICU-PC,NSA,DK,2016-10-01,78.7
BS-ICU-PC,NSA,DK,2017-01-01,79.2
BS-ICU-PC,NSA,DK,2017-04-01,80.0
BS-ICU-PC,NSA,DK,2017-07-01,81.0
BS-ICU-PC,NSA,DK,2017-10-01,78.8
BS-ICU-PC,NSA,DK,2018-01-01,80.9
BS-ICU-PC,NSA,DK,2018-04-01,81.0
BS-ICU-PC,NSA,DK,2018-07-01,81.1
BS-ICU-PC,NSA,EA19,2015-10-01,81.3
BS-ICU-PC,NSA,EA19,2016-01-01,81.1
BS-ICU-PC,NSA,EA19,2016-04-01,81.4
BS-ICU-PC,NSA,EA19,2016-07-01,81.9
BS-ICU-PC,NSA,EA19,2016-10-01,82.2
BS-ICU-PC,NSA,EA19,2017-01-01,82.0
BS-ICU-PC,NSA,EA19,2017-04-01,82.7
BS-ICU-PC,NSA,EA19,2017-07-01,83.7
BS-ICU-PC,NSA,EA19,2017-10-01,84.0
BS-ICU-PC,NSA,EA19,2018-01-01,84.1
BS-ICU-PC,NSA,EA19,2018-04-01,84.2
BS-ICU-PC,NSA,EA19,2018-07-01,84.3
BS-ICU-PC,NSA,EE,2015-10-01,72.9
BS-ICU-PC,NSA,EE,2016-01-01,69.7
BS-ICU-PC,NSA,EE,2016-04-01,72.9
BS-ICU-PC,NSA,EE,2016-07-01,75.3
BS-ICU-PC,NSA,EE,2016-10-01,76.8
BS-ICU-PC,NSA,EE,2017-01-01,71.3
BS-ICU-PC,NSA,EE,2017-04-01,75.4
BS-ICU-PC,NSA,EE,2017-07-01,75.8
BS-ICU-PC,NSA,EE,2017-10-01,76.5
BS-ICU-PC,NSA,EE,2018-01-01,72.3
BS-ICU-PC,NSA,EE,2018-04-01,73.2
BS-ICU-PC,NSA,EE,2018-07-01,77.2
BS-ICU-PC,NSA,EL,2015-10-01,64.2
BS-ICU-PC,NSA,EL,2016-01-01,66.3
BS-ICU-PC,NSA,EL,2016-04-01,68.6
BS-ICU-PC,NSA,EL,2016-07-01,67.4
BS-ICU-PC,NSA,EL,2016-10-01,68.8
BS-ICU-PC,NSA,EL,2017-01-01,69.0
BS-ICU-PC,NSA,EL,2017-04-01,68.5
BS-ICU-PC,NSA,EL,2017-07-01,71.7
BS-ICU-PC,NSA,EL,2017-10-01,70.6
BS-ICU-PC,NSA,EL,2018-01-01,70.5
BS-ICU-PC,NSA,EL,2018-04-01,71.5
BS-ICU-PC,NSA,EL,2018-07-01,70.5
BS-ICU-PC,NSA,ES,2015-10-01,78.0
BS-ICU-PC,NSA,ES,2016-01-01,77.8
BS-ICU-PC,NSA,ES,2016-04-01,78.2
BS-ICU-PC,NSA,ES,2016-07-01,79.0
BS-ICU-PC,NSA,ES,2016-10-01,79.2
BS-ICU-PC,NSA,ES,2017-01-01,77.7
BS-ICU-PC,NSA,ES,2017-04-01,78.3
BS-ICU-PC,NSA,ES,2017-07-01,79.3
BS-ICU-PC,NSA,ES,2017-10-01,79.4
BS-ICU-PC,NSA,ES,2018-01-01,79.4
BS-ICU-PC,NSA,ES,2018-04-01,80.2
BS-ICU-PC,NSA,ES,2018-07-01,79.5
BS-ICU-PC,NSA,EU28,2015-10-01,81.1
BS-ICU-PC,NSA,EU28,2016-01-01,80.9
BS-ICU-PC,NSA,EU28,2016-04-01,80.9
BS-ICU-PC,NSA,EU28,2016-07-01,81.7
BS-ICU-PC,NSA,EU28,2016-10-01,81.8
BS-ICU-PC,NSA,EU28,2017-01-01,81.7
BS-ICU-PC,NSA,EU28,2017-04-01,82.3
BS-ICU-PC,NSA,EU28,2017-07-01,83.3
BS-ICU-PC,NSA,EU28,2017-10-01,83.8
BS-ICU-PC,NSA,EU28,2018-01-01,83.6
BS-ICU-PC,NSA,EU28,2018-04-01,83.8
BS-ICU-PC,NSA,EU28,2018-07-01,84.0
BS-ICU-PC,NSA,FI,2015-10-01,79.3
BS-ICU-PC,NSA,FI,2016-01-01,78.6
BS-ICU-PC,NSA,FI,2016-04-01,78.6
BS-ICU-PC,NSA,FI,2016-07-01,74.2
BS-ICU-PC,NSA,FI,2016-10-01,80.7
BS-ICU-PC,NSA,FI,2017-01-01,80.8
BS-ICU-PC,NSA,FI,2017-04-01,82.8
BS-ICU-PC,NSA,FI,2017-07-01,82.2
BS-ICU-PC,NSA,FI,2017-10-01,83.5
BS-ICU-PC,NSA,FI,2018-01-01,82.5
BS-ICU-PC,NSA,FI,2018-04-01,84.9
BS-ICU-PC,NSA,FI,2018-07-01,83.5
BS-ICU-PC,NSA,FR,2015-10-01,83.2
BS-ICU-PC,NSA,FR,2016-01-01,82.2
BS-ICU-PC,NSA,FR,2016-04-01,83.0
BS-ICU-PC,NSA,FR,2016-07-01,84.1
BS-ICU-PC,NSA,FR,2016-10-01,83.5
BS-ICU-PC,NSA,FR,2017-01-01,84.4
BS-ICU-PC,NSA,FR,2017-04-01,84.4
BS-ICU-PC,NSA,FR,2017-07-01,85.0
BS-ICU-PC,NSA,FR,2017-10-01,85.1
BS-ICU-PC,NSA,FR,2018-01-01,86.0
BS-ICU-PC,NSA,FR,2018-04-01,85.9
BS-ICU-PC,NSA,FR,2018-07-01,85.9
BS-ICU-PC,NSA,HR,2015-10-01,69.1
BS-ICU-PC,NSA,HR,2016-01-01,69.9
BS-ICU-PC,NSA,HR,2016-04-01,73.3
BS-ICU-PC,NSA,HR,2016-07-01,74.8
BS-ICU-PC,NSA,HR,2016-10-01,74.4
BS-ICU-PC,NSA,HR,2017-01-01,71.4
BS-ICU-PC,NSA,HR,2017-04-01,75.7
BS-ICU-PC,NSA,HR,2017-07-01,73.8
BS-ICU-PC,NSA,HR,2017-10-01,73.8
BS-ICU-PC,NSA,HR,2018-01-01,71.7
BS-ICU-PC,NSA,HR,2018-04-01,73.2
BS-ICU-PC,NSA,HR,2018-07-01,78.0
BS-ICU-PC,NSA,HU,2015-10-01,82.0
BS-ICU-PC,NSA,HU,2016-01-01,81.6
BS-ICU-PC,NSA,HU,2016-04-01,81.3
BS-ICU-PC,NSA,HU,2016-07-01,82.2
BS-ICU-PC,NSA,HU,2016-10-01,81.6
BS-ICU-PC,NSA,HU,2017-01-01,80.3
BS-ICU-PC,NSA,HU,2017-04-01,83.1
BS-ICU-PC,NSA,HU,2017-07-01,83.8
BS-ICU-PC,NSA,HU,2017-10-01,83.5
BS-ICU-PC,NSA,HU,2018-01-01,84.7
BS-ICU-PC,NSA,HU,2018-04-01,84.2
BS-ICU-PC,NSA,HU,2018-07-01,85.9
BS-ICU-PC,NSA,IT,2015-10-01,76.3
BS-ICU-PC,NSA,IT,2016-01-01,76.6
BS-ICU-PC,NSA,IT,2016-04-01,75.7
BS-ICU-PC,NSA,IT,2016-07-01,76.4
BS-ICU-PC,NSA,IT,2016-10-01,76.1
BS-ICU-PC,NSA,IT,2017-01-01,76.5
BS-ICU-PC,NSA,IT,2017-04-01,75.6
BS-ICU-PC,NSA,IT,2017-07-01,77.4
BS-ICU-PC,NSA,IT,2017-10-01,78.0
BS-ICU-PC,NSA,IT,2018-01-01,78.5
BS-ICU-PC,NSA,IT,2018-04-01,77.5
BS-ICU-PC,NSA,IT,2018-07-01,78.0
BS-ICU-PC,NSA,LT,2015-10-01,75.1
BS-ICU-PC,NSA,LT,2016-01-01,75.8
BS-ICU-PC,NSA,LT,2016-04-01,75.8
BS-ICU-PC,NSA,LT,2016-07-01,75.4
BS-ICU-PC,NSA,LT,2016-10-01,76.6
BS-ICU-PC,NSA,LT,2017-01-01,76.3
BS-ICU-PC,NSA,LT,2017-04-01,77.1
BS-ICU-PC,NSA,LT,2017-07-01,77.3
BS-ICU-PC,NSA,LT,2017-10-01,77.9
BS-ICU-PC,NSA,LT,2018-01-01,77.6
BS-ICU-PC,NSA,LT,2018-04-01,77.4
BS-ICU-PC,NSA,LT,2018-07-01,76.8
BS-ICU-PC,NSA,LU,2015-10-01,72.4
BS-ICU-PC,NSA,LU,2016-01-01,71.7
BS-ICU-PC,NSA,LU,2016-04-01,76.3
BS-ICU-PC,NSA,LU,2016-07-01,78.5
BS-ICU-PC,NSA,LU,2016-10-01,81.0
BS-ICU-PC,NSA,LU,2017-01-01,81.2
BS-ICU-PC,NSA,LU,2017-04-01,81.5
BS-ICU-PC,NSA,LU,2017-07-01,80.2
BS-ICU-PC,NSA,LU,2017-10-01,81.9
