coicop,unit,geotime,date,value
CP00,I15,AT,2017-10-01,104.12
CP00,I15,AT,2017-11-01,104.27
CP00,I15,AT,2017-12-01,104.94
CP00,I15,AT,2018-01-01,103.86
CP00,I15,AT,2018-02-01,104.12
CP00,I15,AT,2018-03-01,105.05
CP00,I15,AT,2018-04-01,105.29
CP00,I15,AT,2018-05-01,105.4
CP00,I15,AT,2018-06-01,105.46
CP00,I15,AT,2018-07-01,104.83
CP00,I15,AT,2018-08-01,104.82
CP00,I15,AT,2018-09-01,106.07
CP00,I15,BE,2017-10-01,104.44
CP00,I15,BE,2017-11-01,104.61
CP00,I15,BE,2017-12-01,105.08
CP00,I15,BE,2018-01-01,103.82
CP00,I15,BE,2018-02-01,105.53
CP00,I15,BE,2018-03-01,105.56
CP00,I15,BE,2018-04-01,106.01
CP00,I15,BE,2018-05-01,106.38
CP00,I15,BE,2018-06-01,106.68
CP00,I15,BE,2018-07-01,105.93
CP00,I15,BE,2018-08-01,107.41
CP00,I15,BE,2018-09-01,107.1
CP00,I15,BG,2017-10-01,99.94
CP00,I15,BG,2017-11-01,100.21
CP00,I15,BG,2017-12-01,100.88
CP00,I15,BG,2018-01-01,101.08
CP00,I15,BG,2018-02-01,101.31
CP00,I15,BG,2018-03-01,101.13
CP00,I15,BG,2018-04-01,101.45
CP00,I15,BG,2018-05-01,101.84
CP00,I15,BG,2018-06-01,102.34
CP00,I15,BG,2018-07-01,103.41
CP00,I15,BG,2018-08-01,103.75
CP00,I15,BG,2018-09-01,103.39
CP00,I15,CH,2017-10-01,100.5
CP00,I15,CH,2017-11-01,100.22
CP00,I15,CH,2017-12-01,100.45
CP00,I15,CH,2018-01-01,99.95
CP00,I15,CH,2018-02-01,100.24
CP00,I15,CH,2018-03-01,100.56
CP00,I15,CH,2018-04-01,100.76
CP00,I15,CH,2018-05-01,101.15
CP00,I15,CH,2018-06-01,101.11
CP00,I15,CH,2018-07-01,101.47
CP00,I15,CH,2018-08-01,101.46
CP00,I15,CH,2018-09-01,101.47
CP00,I15,CY,2017-10-01,99.84
CP00,I15,CY,2017-11-01,98.66
CP00,I15,CY,2017-12-01,98.32
CP00,I15,CY,2018-01-01,96.47
CP00,I15,CY,2018-02-01,97.58
CP00,I15,CY,2018-03-01,98.43
CP00,I15,CY,2018-04-01,99.51
CP00,I15,CY,2018-05-01,100.87
CP00,I15,CY,2018-06-01,101.92
CP00,I15,CY,2018-07-01,101.67
CP00,I15,CY,2018-08-01,102.91
CP00,I15,CY,2018-09-01,102.11
CP00,I15,CZ,2017-10-01,103.6
CP00,I15,CZ,2017-11-01,103.7
CP00,I15,CZ,2017-12-01,103.7
CP00,I15,CZ,2018-01-01,104.4
CP00,I15,CZ,2018-02-01,104.3
CP00,I15,CZ,2018-03-01,104.3
CP00,I15,CZ,2018-04-01,104.6
CP00,I15,CZ,2018-05-01,105.1
CP00,I15,CZ,2018-06-01,105.5
CP00,I15,CZ,2018-07-01,105.7
CP00,I15,CZ,2018-08-01,105.7
CP00,I15,CZ,2018-09-01,105.3
CP00,I15,DE,2017-10-01,102.3
CP00,I15,DE,2017-11-01,102.6
CP00,I15,DE,2017-12-01,103.4
CP00,I15,DE,2018-01-01,102.4
CP00,I15,DE,2018-02-01,102.9
CP00,I15,DE,2018-03-01,103.3
CP00,I15,DE,2018-04-01,103.2
CP00,I15,DE,2018-05-01,103.8
CP00,I15,DE,2018-06-01,103.9
CP00,I15,DE,2018-07-01,104.3
CP00,I15,DE,2018-08-01,104.3
CP00,I15,DE,2018-09-01,104.7
CP00,I15,DK,2017-10-01,101.6
CP00,I15,DK,2017-11-01,101.3
CP00,I15,DK,2017-12-01,100.9
CP00,I15,DK,2018-01-01,100.6
CP00,I15,DK,2018-02-01,101.2
CP00,I15,DK,2018-03-01,101.2
CP00,I15,DK,2018-04-01,101.8
CP00,I15,DK,2018-05-01,102.0
CP00,I15,DK,2018-06-01,101.9
CP00,I15,DK,2018-07-01,102.7
CP00,I15,DK,2018-08-01,102.2
CP00,I15,DK,2018-09-01,102.0
CP00,I15,EA,2017-10-01,102.24
CP00,I15,EA,2017-11-01,102.31
CP00,I15,EA,2017-12-01,102.68
CP00,I15,EA,2018-01-01,101.78
CP00,I15,EA,2018-02-01,101.98
CP00,I15,EA,2018-03-01,103.01
CP00,I15,EA,2018-04-01,103.32
CP00,I15,EA,2018-05-01,103.83
CP00,I15,EA,2018-06-01,103.95
CP00,I15,EA,2018-07-01,103.61
CP00,I15,EA,2018-08-01,103.77
CP00,I15,EA,2018-09-01,104.25
CP00,I15,EA18,2017-10-01,102.22
CP00,I15,EA18,2017-11-01,102.29
CP00,I15,EA18,2017-12-01,102.67
CP00,I15,EA18,2018-01-01,101.76
CP00,I15,EA18,2018-02-01,101.96
CP00,I15,EA18,2018-03-01,103.0
CP00,I15,EA18,2018-04-01,103.3
CP00,I15,EA18,2018-05-01,103.82
CP00,I15,EA18,2018-06-01,103.94
CP00,I15,EA18,2018-07-01,103.6
CP00,I15,EA18,2018-08-01,103.75
CP00,I15,EA18,2018-09-01,104.23
CP00,I15,EA19,2017-10-01,102.24
CP00,I15,EA19,2017-11-01,102.31
CP00,I15,EA19,2017-12-01,102.68
CP00,I15,EA19,2018-01-01,101.78
CP00,I15,EA19,2018-02-01,101.98
CP00,I15,EA19,2018-03-01,103.01
CP00,I15,EA19,2018-04-01,103.32
CP00,I15,EA19,2018-05-01,103.83
CP00,I15,EA19,2018-06-01,103.95
CP00,I15,EA19,2018-07-01,103.61
CP00,I15,EA19,2018-08-01,103.77
CP00,I15,EA19,2018-09-01,104.25
CP00,I15,EE,2017-10-01,105.16
CP00,I15,EE,2017-11-01,105.56
CP00,I15,EE,2017-12-01,105.15
CP00,I15,EE,2018-01-01,105.28
CP00,I15,EE,2018-02-01,106.37
CP00,I15,EE,2018-03-01,106.44
CP00,I15,EE,2018-04-01,107.04
CP00,I15,EE,2018-05-01,107.61
CP00,I15,EE,2018-06-01,108.65
CP00,I15,EE,2018-07-01,108.87
CP00,I15,EE,2018-08-01,109.55
CP00,I15,EE,2018-09-01,109.26
CP00,I15,EL,2017-10-01,101.8
CP00,I15,EL,2017-11-01,100.9
CP00,I15,EL,2017-12-01,101.24
CP00,I15,EL,2018-01-01,100.0
CP00,I15,EL,2018-02-01,100.09
CP00,I15,EL,2018-03-01,101.26
CP00,I15,EL,2018-04-01,102.23
CP00,I15,EL,2018-05-01,102.33
CP00,I15,EL,2018-06-01,103.29
CP00,I15,EL,2018-07-01,101.87
CP00,I15,EL,2018-08-01,101.66
CP00,I15,EL,2018-09-01,103.08
CP00,I15,ES,2017-10-01,102.4
CP00,I15,ES,2017-11-01,102.73
CP00,I15,ES,2017-12-01,102.74
CP00,I15,ES,2018-01-01,101.22
CP00,I15,ES,2018-02-01,101.37
CP00,I15,ES,2018-03-01,102.59
CP00,I15,ES,2018-04-01,103.36
CP00,I15,ES,2018-05-01,104.32
CP00,I15,ES,2018-06-01,104.56
CP00,I15,ES,2018-07-01,103.31
CP00,I15,ES,2018-08-01,103.41
CP00,I15,ES,2018-09-01,104.06
CP00,I15,EU,2017-10-01,102.48
CP00,I15,EU,2017-11-01,102.62
CP00,I15,EU,2017-12-01,102.96
CP00,I15,EU,2018-01-01,102.27
CP00,I15,EU,2018-02-01,102.49
CP00,I15,EU,2018-03-01,103.25
CP00,I15,EU,2018-04-01,103.6
CP00,I15,EU,2018-05-01,104.07
CP00,I15,EU,2018-06-01,104.18
CP00,I15,EU,2018-07-01,103.95
CP00,I15,EU,2018-08-01,104.16
CP00,I15,EU,2018-09-01,104.58
CP00,I15,EU28,2017-10-01,102.48
CP00,I15,EU28,2017-11-01,102.62
CP00,I15,EU28,2017-12-01,102.96
CP00,I15,EU28,2018-01-01,102.27
CP00,I15,EU28,2018-02-01,102.49
CP00,I15,EU28,2018-03-01,103.25
CP00,I15,EU28,2018-04-01,103.6
CP00,I15,EU28,2018-05-01,104.07
CP00,I15,EU28,2018-06-01,104.18
CP00,I15,EU28,2018-07-01,103.95
CP00,I15,EU28,2018-08-01,104.16
CP00,I15,EU28,2018-09-01,104.58
CP00,I15,FI,2017-10-01,101.32
CP00,I15,FI,2017-11-01,101.67
