coicop,unit,geo\time,date,value
CP06,I15,AT,2017-10-01,104.32 
CP06,I15,AT,2017-11-01,104.48 
CP06,I15,AT,2017-12-01,104.68 
CP06,I15,AT,2018-01-01,105.99 
CP06,I15,AT,2018-02-01,105.72 
CP06,I15,AT,2018-03-01,105.52 
CP06,I15,AT,2018-04-01,105.92 
CP06,I15,AT,2018-05-01,106.01 
CP06,I15,AT,2018-06-01,106.42 
CP06,I15,AT,2018-07-01,106.87 
CP06,I15,AT,2018-08-01,106.55 
CP06,I15,AT,2018-09-01,106.54 
CP06,I15,BE,2017-10-01,102.88 
CP06,I15,BE,2017-11-01,102.94 
CP06,I15,BE,2017-12-01,103.02 
CP06,I15,BE,2018-01-01,103.95 
CP06,I15,BE,2018-02-01,104.15 
CP06,I15,BE,2018-03-01,104.21 
CP06,I15,BE,2018-04-01,104.08 
CP06,I15,BE,2018-05-01,104.10 
CP06,I15,BE,2018-06-01,104.16 
CP06,I15,BE,2018-07-01,104.27 
CP06,I15,BE,2018-08-01,104.35 
CP06,I15,BE,2018-09-01,104.38 
CP06,I15,BG,2017-10-01,100.25 
CP06,I15,BG,2017-11-01,100.31 
CP06,I15,BG,2017-12-01,100.26 
CP06,I15,BG,2018-01-01,100.28 
CP06,I15,BG,2018-02-01,100.40 
CP06,I15,BG,2018-03-01,100.31 
CP06,I15,BG,2018-04-01,100.33 
CP06,I15,BG,2018-05-01,100.33 
CP06,I15,BG,2018-06-01,100.45 
CP06,I15,BG,2018-07-01,100.41 
CP06,I15,BG,2018-08-01,100.52 
CP06,I15,BG,2018-09-01,100.57 
CP06,I15,CH,2017-10-01,98.90 
CP06,I15,CH,2017-11-01,98.88 
CP06,I15,CH,2017-12-01,98.88 
CP06,I15,CH,2018-01-01,98.20 
CP06,I15,CH,2018-02-01,98.10 
CP06,I15,CH,2018-03-01,97.71 
CP06,I15,CH,2018-04-01,97.62 
CP06,I15,CH,2018-05-01,97.51 
CP06,I15,CH,2018-06-01,97.61 
CP06,I15,CH,2018-07-01,98.32 
CP06,I15,CH,2018-08-01,98.32 
CP06,I15,CH,2018-09-01,98.24 
CP06,I15,CY,2017-10-01,102.39 
CP06,I15,CY,2017-11-01,102.39 
CP06,I15,CY,2017-12-01,102.38 
CP06,I15,CY,2018-01-01,102.30 
CP06,I15,CY,2018-02-01,102.30 
CP06,I15,CY,2018-03-01,102.18 
CP06,I15,CY,2018-04-01,102.18 
CP06,I15,CY,2018-05-01,102.26 
CP06,I15,CY,2018-06-01,101.66 
CP06,I15,CY,2018-07-01,102.07 
CP06,I15,CY,2018-08-01,102.07 
CP06,I15,CY,2018-09-01,102.07 
CP06,I15,CZ,2017-10-01,107.5 
CP06,I15,CZ,2017-11-01,107.4 
CP06,I15,CZ,2017-12-01,107.2 
CP06,I15,CZ,2018-01-01,108.0 
CP06,I15,CZ,2018-02-01,108.2 
CP06,I15,CZ,2018-03-01,108.8 
CP06,I15,CZ,2018-04-01,109.5 
CP06,I15,CZ,2018-05-01,110.2 
CP06,I15,CZ,2018-06-01,110.6 
CP06,I15,CZ,2018-07-01,110.9 
CP06,I15,CZ,2018-08-01,111.2 
CP06,I15,CZ,2018-09-01,110.9 
CP06,I15,DE,2017-10-01,103.3 
CP06,I15,DE,2017-11-01,103.3 
CP06,I15,DE,2017-12-01,103.3 
CP06,I15,DE,2018-01-01,103.5 
CP06,I15,DE,2018-02-01,103.6 
CP06,I15,DE,2018-03-01,103.8 
CP06,I15,DE,2018-04-01,104.0 
CP06,I15,DE,2018-05-01,104.1 
CP06,I15,DE,2018-06-01,104.2 
CP06,I15,DE,2018-07-01,104.3 
CP06,I15,DE,2018-08-01,104.4 
CP06,I15,DE,2018-09-01,104.5 
CP06,I15,DK,2017-10-01,101.0 
CP06,I15,DK,2017-11-01,101.0 
CP06,I15,DK,2017-12-01,100.8 
CP06,I15,DK,2018-01-01,100.1 
CP06,I15,DK,2018-02-01,100.5 
CP06,I15,DK,2018-03-01,100.9 
CP06,I15,DK,2018-04-01,101.3 
CP06,I15,DK,2018-05-01,101.1 
CP06,I15,DK,2018-06-01,101.2 
CP06,I15,DK,2018-07-01,101.1 
CP06,I15,DK,2018-08-01,101.1 
CP06,I15,DK,2018-09-01,100.9 
CP06,I15,EA,2017-10-01,102.01 
CP06,I15,EA,2017-11-01,101.98 
CP06,I15,EA,2017-12-01,102.06 
CP06,I15,EA,2018-01-01,102.26 
CP06,I15,EA,2018-02-01,102.40 
CP06,I15,EA,2018-03-01,102.44 
CP06,I15,EA,2018-04-01,102.65 
CP06,I15,EA,2018-05-01,102.71 
CP06,I15,EA,2018-06-01,102.79 
CP06,I15,EA,2018-07-01,102.84 
CP06,I15,EA,2018-08-01,102.63 
CP06,I15,EA,2018-09-01,102.81 
CP06,I15,EA18,2017-10-01,102.00 
CP06,I15,EA18,2017-11-01,101.97 
CP06,I15,EA18,2017-12-01,102.04 
CP06,I15,EA18,2018-01-01,102.25 
CP06,I15,EA18,2018-02-01,102.39 
CP06,I15,EA18,2018-03-01,102.43 
CP06,I15,EA18,2018-04-01,102.64 
CP06,I15,EA18,2018-05-01,102.69 
CP06,I15,EA18,2018-06-01,102.78 
CP06,I15,EA18,2018-07-01,102.83 
CP06,I15,EA18,2018-08-01,102.62 
CP06,I15,EA18,2018-09-01,102.80 
CP06,I15,EA19,2017-10-01,102.01 
CP06,I15,EA19,2017-11-01,101.98 
