,coicop,unit,geo\time,date,value
1,CP07,I15,AT,2017-10-01,101.35 
2,CP07,I15,AT,2017-11-01,101.43 
3,CP07,I15,AT,2017-12-01,102.93 
4,CP07,I15,AT,2018-01-01,102.34 
5,CP07,I15,AT,2018-02-01,102.58 
6,CP07,I15,AT,2018-03-01,102.00 
7,CP07,I15,AT,2018-04-01,103.79 
8,CP07,I15,AT,2018-05-01,104.84 
9,CP07,I15,AT,2018-06-01,105.25 
10,CP07,I15,AT,2018-07-01,105.68 
11,CP07,I15,AT,2018-08-01,106.18 r
12,CP07,I15,AT,2018-09-01,105.91 
13,CP07,I15,BE,2017-10-01,104.13 
14,CP07,I15,BE,2017-11-01,105.16 
15,CP07,I15,BE,2017-12-01,105.08 
16,CP07,I15,BE,2018-01-01,105.60 
17,CP07,I15,BE,2018-02-01,105.79 
18,CP07,I15,BE,2018-03-01,105.64 
19,CP07,I15,BE,2018-04-01,106.72 
20,CP07,I15,BE,2018-05-01,107.84 
21,CP07,I15,BE,2018-06-01,108.61 
22,CP07,I15,BE,2018-07-01,109.42 
23,CP07,I15,BE,2018-08-01,109.90 
24,CP07,I15,BE,2018-09-01,109.65 
25,CP07,I15,BG,2017-10-01,93.29 
26,CP07,I15,BG,2017-11-01,93.88 
27,CP07,I15,BG,2017-12-01,95.93 
28,CP07,I15,BG,2018-01-01,95.52 
29,CP07,I15,BG,2018-02-01,95.24 
30,CP07,I15,BG,2018-03-01,94.97 
31,CP07,I15,BG,2018-04-01,95.03 
32,CP07,I15,BG,2018-05-01,97.04 
33,CP07,I15,BG,2018-06-01,98.83 
34,CP07,I15,BG,2018-07-01,99.56 
35,CP07,I15,BG,2018-08-01,100.35 
36,CP07,I15,BG,2018-09-01,100.53 
37,CP07,I15,CH,2017-10-01,98.59 
38,CP07,I15,CH,2017-11-01,97.66 
39,CP07,I15,CH,2017-12-01,98.47 
40,CP07,I15,CH,2018-01-01,97.48 
41,CP07,I15,CH,2018-02-01,97.79 
42,CP07,I15,CH,2018-03-01,98.48 
43,CP07,I15,CH,2018-04-01,99.73 
44,CP07,I15,CH,2018-05-01,101.50 
45,CP07,I15,CH,2018-06-01,101.58 
46,CP07,I15,CH,2018-07-01,103.19 
47,CP07,I15,CH,2018-08-01,102.32 
48,CP07,I15,CH,2018-09-01,102.06 
49,CP07,I15,CY,2017-10-01,95.36 
50,CP07,I15,CY,2017-11-01,94.91 
51,CP07,I15,CY,2017-12-01,95.45 
52,CP07,I15,CY,2018-01-01,91.43 
53,CP07,I15,CY,2018-02-01,95.72 
54,CP07,I15,CY,2018-03-01,95.24 
55,CP07,I15,CY,2018-04-01,97.53 
56,CP07,I15,CY,2018-05-01,96.71 
57,CP07,I15,CY,2018-06-01,99.52 
58,CP07,I15,CY,2018-07-01,100.77 
59,CP07,I15,CY,2018-08-01,104.97 
60,CP07,I15,CY,2018-09-01,97.25 
61,CP07,I15,CZ,2017-10-01,101.7 
62,CP07,I15,CZ,2017-11-01,102.2 
63,CP07,I15,CZ,2017-12-01,102.6 
64,CP07,I15,CZ,2018-01-01,102.8 
65,CP07,I15,CZ,2018-02-01,103.3 
