stk_flow,sitc06,partner,unit,geotime,date,value
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-09-01,5.7
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-10-01,10.8
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-11-01,9.3
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-12-01,2.9
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-01-01,6.2
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-02-01,1.9
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-03-01,-1.9
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-04-01,8.1
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-05-01,0.7
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-06-01,8.7
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-07-01,13.4
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-08-01,8.5
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-09-01,3.8
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-10-01,11.3
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-11-01,7.4
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-12-01,1.6
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-01-01,7.6
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-02-01,0.1
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-03-01,-4.0
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-04-01,6.6
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-05-01,-1.2
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-06-01,8.7
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-07-01,15.5
IMP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-08-01,10.4
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2017-09-01,-1.0
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2017-10-01,1.4
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2017-11-01,3.1
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2017-12-01,0.4
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-01-01,1.0
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-02-01,-2.9
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-03-01,0.8
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-04-01,1.3
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-05-01,1.1
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-06-01,1.9
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-07-01,1.2
IMP,TOTAL,WRL_REST,PCH_M1_SA,EA19,2018-08-01,0.0
IMP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2017-09-01,0.8
IMP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2017-10-01,0.2
IMP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2017-11-01,1.9
IMP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2017-12-01,1.2
IMP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-01-01,3.2
IMP,TOTAL,WRL_REST,PCH_M1_SA,EU28,2018-02-01,-5.4
